batch_idx,source_id,frame_num,buf_pts_ns,ntp_ns
0,1,0,587347852,1783476329902735000
1,1,1,720681184,1783476330105770000
2,2,0,1154423844,1783476330325030000
3,2,1,1187757177,1783476330327578000
4,1,2,1320681178,1783476330908190000
4,2,2,1321090509,1783476330731690000
5,1,3,1554014509,1783476331142485000
5,2,3,1554423840,1783476331052426000
5,3,0,1722655612,1783476330889886000
6,1,4,1754014507,1783476331342241000
6,2,4,1754423838,1783476331252113000
6,3,1,1755988945,1783476330892927000
7,1,5,1954014505,1783476331542355000
7,2,5,1954423836,1783476331453259000
7,3,2,1955988943,1783476331452204000
8,0,0,2290061548,1783476331483008000
8,1,6,2054014504,1783476331642678000
8,2,6,2054423835,1783476331544926000
8,3,3,2055988942,1783476331543866000
9,0,1,2323394881,1783476331509954000
9,1,7,2087347837,1783476331674286000
9,2,7,2087757168,1783476331560879000
9,3,4,2089322275,1783476331561926000
10,0,2,2356728214,1783476331541293000
10,1,8,2120681170,1783476331710446000
10,2,8,2121090501,1783476331621402000
10,3,5,2122655608,1783476331620344000
11,0,3,2390061547,1783476331573489000
11,1,9,2154014503,1783476331742537000
11,2,9,2154423834,1783476331653847000
11,3,6,2155988941,1783476331652788000
12,0,4,2423394880,1783476331654901000
12,1,10,2187347836,1783476331774400000
12,2,10,2187757167,1783476331657001000
12,3,7,2189322274,1783476331656014000
13,0,5,2456728213,1783476331684394000
13,1,11,2220681169,1783476331810390000
13,2,11,2221090500,1783476331685436000
13,3,8,2222655607,1783476331686492000
14,0,6,2490061546,1783476331720474000
14,1,12,2254014502,1783476331842396000
14,2,12,2254423833,1783476331721510000
14,3,9,2255988940,1783476331722569000
15,0,7,2523394879,1783476331753657000
15,1,13,2287347835,1783476331878752000
15,2,13,2287757166,1783476331752604000
15,3,10,2289322273,1783476331754703000
16,0,8,2556728212,1783476331784445000
16,1,14,2320681168,1783476331910388000
16,2,14,2321090499,1783476331785492000
16,3,11,2322655606,1783476331786545000
17,0,9,2590061545,1783476331820353000
17,1,15,2354014501,1783476331942409000
17,2,15,2354423832,1783476331821403000
17,3,12,2355988939,1783476331822457000
18,0,10,2623394878,1783476331853519000
18,1,16,2387347834,1783476331978535000
18,2,16,2387757165,1783476331852462000
18,3,13,2389322272,1783476331854560000
19,0,11,2656728211,1783476331888916000
19,1,17,2420681167,1783476332010521000
19,2,17,2421090498,1783476331889963000
19,3,14,2422655605,1783476331891013000
20,0,12,2690061544,1783476331920409000
20,1,18,2454014500,1783476332042375000
20,2,18,2454423831,1783476331921459000
20,3,15,2455988938,1783476331922516000
21,0,13,2723394877,1783476331952410000
21,1,19,2487347833,1783476332078361000
21,2,19,2487757164,1783476331953464000
21,3,16,2489322271,1783476331954519000
22,0,14,2756728210,1783476331990862000
22,1,20,2520681166,1783476332110397000
22,2,20,2521090497,1783476331988763000
22,3,17,2522655604,1783476331989804000
23,0,15,2790061543,1783476332020610000
23,1,21,2554014499,1783476332142536000
23,2,21,2554423830,1783476332021659000
23,3,18,2555988937,1783476332022712000
24,0,16,2823394876,1783476332052302000
24,1,22,2587347832,1783476332178493000
24,2,22,2587757163,1783476332053343000
24,3,19,2589322270,1783476332054400000
25,0,17,2856728209,1783476332088322000
25,1,23,2620681165,1783476332211020000
25,2,23,2621090496,1783476332090424000
25,3,20,2622655603,1783476332089376000
26,0,18,2890061542,1783476332120256000
26,1,24,2654014498,1783476332242732000
26,2,24,2654423829,1783476332121304000
26,3,21,2655988936,1783476332122352000
27,0,19,2923394875,1783476332152614000
27,1,25,2687347831,1783476332278481000
27,2,25,2687757162,1783476332154712000
27,3,22,2689322269,1783476332153662000
28,0,20,2956728208,1783476332188580000
28,1,26,2720681164,1783476332310562000
28,2,26,2721090495,1783476332190704000
28,3,23,2722655602,1783476332189629000
29,0,21,2990061541,1783476332221169000
29,1,27,2754014497,1783476332346927000
29,2,27,2754423828,1783476332222208000
29,3,24,2755988935,1783476332223272000
30,0,22,3023394874,1783476332252897000
30,1,28,2787347830,1783476332378731000
30,2,28,2787757161,1783476332253943000
30,3,25,2789322268,1783476332255005000
31,0,23,3056728207,1783476332289620000
31,1,29,2820681163,1783476332410517000
31,2,29,2821090494,1783476332288573000
31,3,26,2822655601,1783476332290682000
32,0,24,3090061540,1783476332320594000
32,1,30,2854014496,1783476332446627000
32,2,30,2854423827,1783476332322696000
32,3,27,2855988934,1783476332321644000
33,0,25,3123394873,1783476332357233000
33,1,31,2887347829,1783476332478529000
33,2,31,2887757160,1783476332359340000
33,3,28,2889322267,1783476332358272000
34,0,26,3156728206,1783476332388926000
34,1,32,2920681162,1783476332510629000
34,2,32,2921090493,1783476332391033000
34,3,29,2922655600,1783476332389986000
35,0,27,3190061539,1783476332420490000
35,1,33,2954014495,1783476332546505000
35,2,33,2954423826,1783476332422598000
35,3,30,2955988933,1783476332421545000
36,0,28,3223394872,1783476332456666000
36,1,34,2987347828,1783476332578622000
36,2,34,2987757159,1783476332457722000
36,3,31,2989322266,1783476332458778000
37,0,29,3256728205,1783476332488642000
37,1,35,3020681161,1783476332610522000
37,2,35,3021090492,1783476332489697000
37,3,32,3022655599,1783476332490745000
38,0,30,3290061538,1783476332520594000
38,1,36,3054014494,1783476332646720000
38,2,36,3054423825,1783476332522707000
38,3,33,3055988932,1783476332521649000
39,0,31,3323394871,1783476332556476000
39,1,37,3087347827,1783476332678610000
39,2,37,3087757158,1783476332558605000
39,3,34,3089322265,1783476332557532000
40,0,32,3356728204,1783476332588670000
40,1,38,3120681160,1783476332710692000
40,2,38,3121090491,1783476332589726000
40,3,35,3122655598,1783476332590778000
41,0,33,3390061537,1783476332620503000
41,1,39,3154014493,1783476332746793000
41,2,39,3154423824,1783476332621559000
41,3,36,3155988931,1783476332622608000
42,0,34,3423394870,1783476332656801000
42,1,40,3187347826,1783476332778638000
42,2,40,3187757157,1783476332657861000
42,3,37,3189322264,1783476332658916000
43,0,35,3456728203,1783476332688677000
43,1,41,3220681159,1783476332810692000
43,2,41,3221090490,1783476332689731000
43,3,38,3222655597,1783476332690783000
44,0,36,3490061536,1783476332720665000
44,1,42,3254014492,1783476332846629000
44,2,42,3254423823,1783476332721724000
44,3,39,3255988930,1783476332722773000
45,0,37,3523394869,1783476332756852000
45,1,43,3287347825,1783476332878550000
45,2,43,3287757156,1783476332757913000
45,3,40,3289322263,1783476332758963000
46,0,38,3556728202,1783476332788684000
46,1,44,3320681158,1783476332914768000
46,2,44,3321090489,1783476332790788000
46,3,41,3322655596,1783476332789737000
47,0,39,3590061535,1783476332820670000
47,1,45,3354014491,1783476332946773000
47,2,45,3354423822,1783476332821725000
47,3,42,3355988929,1783476332822771000
48,0,40,3623394868,1783476332856655000
48,1,46,3387347824,1783476332979062000
48,2,46,3387757155,1783476332857716000
48,3,43,3389322262,1783476332858766000
49,0,41,3656728201,1783476332888612000
49,1,47,3420681157,1783476333015055000
49,2,47,3421090488,1783476332889664000
49,3,44,3422655595,1783476332890726000
50,0,42,3690061534,1783476332924741000
50,1,48,3454014490,1783476333046939000
50,2,48,3454423821,1783476332925802000
50,3,45,3455988928,1783476332926852000
51,0,43,3723394867,1783476332959001000
51,1,49,3487347823,1783476333078833000
51,2,49,3487757154,1783476332957850000
51,3,46,3489322261,1783476332956786000
52,0,44,3756728200,1783476332989295000
52,1,50,3520681156,1783476333114902000
52,2,50,3521090487,1783476332990283000
52,3,47,3522655594,1783476332991317000
53,0,45,3790061533,1783476333027452000
53,1,51,3554014489,1783476333147098000
53,2,51,3554423820,1783476333025319000
53,3,48,3555988927,1783476333026402000
54,0,46,3823394866,1783476333057092000
54,1,52,3587347822,1783476333178975000
54,2,52,3587757153,1783476333058167000
54,3,49,3589322260,1783476333059154000
55,0,47,3856728199,1783476333088892000
55,1,53,3620681155,1783476333215061000
55,2,53,3621090486,1783476333089970000
55,3,50,3622655593,1783476333090980000
56,0,48,3890061532,1783476333124978000
56,1,54,3654014488,1783476333246937000
56,2,54,3654423819,1783476333126054000
56,3,51,3655988926,1783476333127086000
57,0,49,3923394865,1783476333157167000
57,1,55,3687347821,1783476333282927000
57,2,55,3687757152,1783476333158323000
57,3,52,3689322259,1783476333159282000
58,0,50,3956728198,1783476333189050000
58,1,56,3720681154,1783476333315014000
58,2,56,3721090485,1783476333191180000
58,3,53,3722655592,1783476333190091000
59,0,51,3990061531,1783476333225183000
59,1,57,3754014487,1783476333347128000
59,2,57,3754423818,1783476333227274000
59,3,54,3755988925,1783476333226324000
60,0,52,4023394864,1783476333258199000
60,1,58,3787347820,1783476333379128000
60,2,58,3787757151,1783476333257212000
60,3,55,3789322258,1783476333259225000
61,0,53,4056728197,1783476333293064000
61,1,59,3820681153,1783476333415033000
61,2,59,3821090484,1783476333294137000
61,3,56,3822655591,1783476333295158000
62,0,54,4090061530,1783476333326057000
62,1,60,3854014486,1783476333447154000
62,2,60,3854423817,1783476333325068000
62,3,57,3855988924,1783476333327116000
63,0,55,4123394863,1783476333358273000
63,1,61,3887347819,1783476333483149000
63,2,61,3887757150,1783476333357227000
