batch_idx,batch_pts_ns,mono_ns,real_ns,n_frames
0,587347852,4587279604285,1783476330102984317,1
1,720681184,4587488358473,1783476330311738505,1
2,1154423844,4587696973140,1783476330520353140,1
3,1187757177,4587906096675,1783476330729476675,1
4,1321090509,4588114645870,1783476330938025870,2
5,1722655612,4588319282753,1783476331142662753,3
6,1755988945,4588527398535,1783476331350778599,3
7,1955988943,4588735973008,1783476331559353040,3
8,2290061548,4588827994399,1783476331651374431,4
9,2323394881,4588859434259,1783476331682814259,4
10,2356728214,4588895559105,1783476331718939137,4
11,2390061547,4588927686777,1783476331751066809,4
12,2423394880,4588959539407,1783476331782919439,4
13,2456728213,4588995501437,1783476331818881501,4
14,2490061546,4589027553460,1783476331850933460,4
15,2523394879,4589063943780,1783476331887323780,4
16,2556728212,4589095513209,1783476331918893209,4
17,2590061545,4589127534960,1783476331950915024,4
18,2623394878,4589163732767,1783476331987112799,4
19,2656728211,4589195673750,1783476332019053782,4
20,2690061544,4589227481579,1783476332050861611,4
21,2723394877,4589263493497,1783476332086873497,4
22,2756728210,4589295491216,1783476332118871216,4
23,2790061543,4589327720648,1783476332151100680,4
24,2823394876,4589363656789,1783476332187036789,4
25,2856728209,4589396202862,1783476332219582863,4
26,2890061542,4589427916036,1783476332251296036,4
27,2923394875,4589463655664,1783476332287035696,4
28,2956728208,4589495676646,1783476332319056710,4
29,2990061541,4589532209367,1783476332355589399,4
30,3023394874,4589563911628,1783476332387291628,4
31,3056728207,4589595609953,1783476332418989953,4
32,3090061540,4589631759919,1783476332455139951,4
33,3123394873,4589663680134,1783476332487060134,4
34,3156728206,4589695738621,1783476332519118621,4
35,3190061539,4589731612009,1783476332554992009,4
36,3223394872,4589763765473,1783476332587145473,4
37,3256728205,4589795652631,1783476332619032663,4
38,3290061538,4589831897350,1783476332655277350,4
39,3323394871,4589863748508,1783476332687128508,4
40,3356728204,4589895791155,1783476332719171155,4
41,3390061537,4589931948929,1783476332755328929,4
42,3423394870,4589963783447,1783476332787163447,4
43,3456728203,4589995815246,1783476332819195246,4
44,3490061536,4590031766875,1783476332855146875,4
45,3523394869,4590063705073,1783476332887085105,4
46,3556728202,4590099888704,1783476332923268704,4
47,3590061535,4590131906967,1783476332955286967,4
48,3623394868,4590164255920,1783476332987635920,4
49,3656728201,4590200291069,1783476333023671069,4
50,3690061534,4590232133267,1783476333055513267,4
51,3723394867,4590263965160,1783476333087345192,4
52,3756728200,4590300081302,1783476333123461302,4
53,3790061533,4590332263149,1783476333155643149,4
54,3823394866,4590364136195,1783476333187516227,4
55,3856728199,4590400187728,1783476333223567760,4
56,3890061532,4590432153478,1783476333255533510,4
57,3923394865,4590468135188,1783476333291515220,4
58,3956728198,4590500116970,1783476333323497002,4
59,3990061531,4590532306497,1783476333355686497,4
60,4023394864,4590564297752,1783476333387677784,4
61,4056728197,4590600174084,1783476333423554116,4
62,4090061530,4590632291387,1783476333455671387,4
63,4123394863,4590668349673,1783476333491729673,4
64,4156728196,4590700231102,1783476333523611134,4
65,4190061529,4590732286901,1783476333555666901,4
66,4223394862,4590768862373,1783476333592242373,4
67,4256728195,4590800776827,1783476333624156859,4
68,4290061528,4590832126958,1783476333655506990,4
69,4323394861,4590868214556,1783476333691594588,4
70,4356728194,4590900172914,1783476333723552914,4
71,4390061527,4590932468490,1783476333755848490,4
72,4423394860,4590968526871,1783476333791906871,4
73,4456728193,4591000121291,1783476333823501291,4
74,4490061526,4591036406074,1783476333859786074,4
75,4523394859,4591068203247,1783476333891583279,4
76,4556728192,4591100114533,1783476333923494533,4
77,4590061525,4591136217011,1783476333959597011,4
78,4623394858,4591168254185,1783476333991634185,4
79,4656728191,4591200134431,1783476334023514463,4
80,4690061524,4591236137932,1783476334059517964,4
81,4723394857,4591268080961,1783476334091460961,4
82,4756728190,4591300025463,1783476334123405495,4
83,4790061523,4591336149413,1783476334159529445,4
84,4823394856,4591368112859,1783476334191492859,4
85,4856728189,4591404277704,1783476334227657736,4
86,4890061522,4591436164286,1783476334259544318,4
87,4923394855,4591468117619,1783476334291497683,4
88,4956728188,4591504223969,1783476334327604001,4
89,4990061521,4591536119766,1783476334359499830,4
90,5023394854,4591568412334,1783476334391792366,4
91,5056728187,4591600172771,1783476334423552835,4
92,5090061520,4591636259376,1783476334459639376,4
93,5123394853,4591668223846,1783476334491603878,4
94,5156728186,4591704158642,1783476334527538674,4
95,5190061519,4591736129256,1783476334559509288,4
96,5223394852,4591768310623,1783476334591690687,4
97,5256728185,4591804421228,1783476334627801260,4
98,5290061518,4591836249922,1783476334659629954,4
99,5323394851,4591868315704,1783476334691695736,4
100,5356728184,4591904371109,1783476334727751141,4
101,5390061517,4591936537756,1783476334759917820,4
102,5423394850,4591972356584,1783476334795736584,4
103,5456728183,4592004221021,1783476334827601053,4
104,5490061516,4592036200403,1783476334859580435,4
105,5523394849,4592072255744,1783476334895635776,4
106,5556728182,4592104572920,1783476334927952984,4
107,5590061515,4592136418061,1783476334959798093,4
108,5623394848,4592168283714,1783476334991663778,4
109,5656728181,4592204548592,1783476335027928624,4
110,5690061514,4592236144420,1783476335059524452,4
111,5723394847,4592272130416,1783476335095510416,4
112,5756728180,4592304107270,1783476335127487302,4
113,5790061513,4592336254236,1783476335159634236,4
114,5823394846,4592368343474,1783476335191723474,4
115,5856728179,4592404218494,1783476335227598494,4
116,5890061512,4592436323092,1783476335259703124,4
117,5923394845,4592472644131,1783476335296024131,4
118,5956728178,4592504427607,1783476335327807639,4
119,5990061511,4592536172523,1783476335359552523,4
120,6023394844,4592572222712,1783476335395602744,4
121,6056728177,4592604595152,1783476335427975120,4
122,6090061510,4592636537189,1783476335459917221,4
123,6123394843,4592672469425,1783476335495849425,4
124,6156728176,4592704340742,1783476335527720742,4
125,6190061509,4592740624788,1783476335564004820,4
126,6223394842,4592772539050,1783476335595919050,4
127,6256728175,4592804446815,1783476335627826815,4
128,6290061508,4592836294196,1783476335659674196,4
129,6323394841,4592872363008,1783476335695743040,4
130,6356728174,4592904389398,1783476335727769398,4
131,6390061507,4592940291490,1783476335763671490,4
132,6423394840,4592972405497,1783476335795785497,4
133,6456728173,4593004291470,1783476335827671470,4
134,6490061506,4593040405051,1783476335863785083,4
135,6523394839,4593072320016,1783476335895700080,4
136,6556728172,4593104338790,1783476335927718822,4
137,6590061505,4593140235218,1783476335963615250,4
138,6623394838,4593172335784,1783476335995715784,4
139,6656728171,4593204383805,1783476336027763805,4
140,6690061504,4593240194632,1783476336063574632,4
141,6723394837,4593271926972,1783476336095307004,4
142,6756728170,4593307884872,1783476336131264872,4
143,6790061503,4593340439297,1783476336163819297,4
144,6823394836,4593371370512,1783476336194750544,4
145,6856728169,4593404309195,1783476336227689195,4
146,6890061502,4593440241206,1783476336263621238,4
147,6923394835,4593472346668,1783476336295726700,4
148,6956728168,4593508299288,1783476336331679288,4
149,6990061501,4593540222765,1783476336363602765,4
150,7023394834,4593572375779,1783476336395755779,4
151,7056728167,4593608842930,1783476336432222962,4
152,7090061500,4593640444005,1783476336463824005,4
153,7123394833,4593672353978,1783476336495733978,4
154,7156728166,4593708206853,1783476336531586821,4
155,7190061499,4593740193690,1783476336563573690,4
156,7223394832,4593772235824,1783476336595615824,4
157,7256728165,4593808378813,1783476336631758813,4
158,7290061498,4593840417555,1783476336663797619,4
159,7323394831,4593876305470,1783476336699685534,4
160,7356728164,4593908333972,1783476336731714004,4
161,7390061497,4593940200552,1783476336763580552,4
162,7423394830,4593972313054,1783476336795693086,4
163,7456728163,4594008312202,1783476336831692234,4
164,7490061496,4594040540833,1783476336863920865,4
165,7523394829,4594076801230,1783476336900181294,4
166,7556728162,4594108603459,1783476336931983491,4
167,7590061495,4594140472727,1783476336963852791,4
168,7623394828,4594176344579,1783476336999724611,4
169,7656728161,4594208559961,1783476337031939993,4
170,7690061494,4594240709039,1783476337064089071,4
171,7723394827,4594276433017,1783476337099813049,4
172,7756728160,4594308599631,1783476337131979663,4
173,7790061493,4594344375385,1783476337167755417,4
174,7823394826,4594375847371,1783476337199227403,4
175,7856728159,4594408220579,1783476337231600611,4
176,7890061492,4594440250168,1783476337263630200,4
177,7923394825,4594476414180,1783476337299794244,4
178,7956728158,4594508197464,1783476337331577496,4
179,7990061491,4594540215949,1783476337363595981,4
180,8023394824,4594576326970,1783476337399706970,4
181,8056728157,4594608223790,1783476337431603790,4
182,8090061490,4594644446171,1783476337467826203,4
183,8123394823,4594676339535,1783476337499719567,4
184,8156728156,4594708234788,1783476337531614788,4
185,8190061489,4594744216592,1783476337567596624,4
186,8223394822,4594776269445,1783476337599649477,4
187,8256728155,4594808425115,1783476337631805115,4
188,8290061488,4594844376806,1783476337667756838,4
189,8323394821,4594876274939,1783476337699654939,4
190,8356728154,4594908271088,1783476337731651120,4
191,8390061487,4594944140379,1783476337767520379,4
192,8423394820,4594976326001,1783476337799706001,4
193,8456728153,4595008233349,1783476337831613381,4
194,8490061486,4595044249585,1783476337867629617,4
195,8523394819,4595076363783,1783476337899743815,4
196,8556728152,4595108181083,1783476337931561115,4
197,8590061485,4595144274919,1783476337967654983,4
198,8623394818,4595176430749,1783476337999810813,4
199,8656728151,4595208253009,1783476338031633073,4
200,8690061484,4595244252668,1783476338067632668,4
201,8723394817,4595276290577,1783476338099670577,4
202,8756728150,4595312144923,1783476338135524955,4
203,8790061483,4595344111120,1783476338167491152,4
204,8823394816,4595376308838,1783476338199688838,4
205,8856728149,4595412258769,1783476338235638769,4
206,8890061482,4595444244357,1783476338267624357,4
207,8923394815,4595480715059,1783476338304095091,4
208,8956728148,4595512241733,1783476338335621733,4
209,8990061481,4595544303451,1783476338367683451,4
210,9023394814,4595576312463,1783476338399692527,4
211,9056728147,4595612264218,1783476338435644282,4
212,9090061480,4595644298511,1783476338467678543,4
213,9123394813,4595680465788,1783476338503845820,4
214,9156728146,4595712246607,1783476338535626607,4
215,9190061479,4595744299396,1783476338567679428,4
216,9223394812,4595776329081,1783476338599709113,4
217,9256728145,4595812423269,1783476338635803301,4
218,9290061478,4595844252729,1783476338667632761,4
219,9323394811,4595880338468,1783476338703718500,4
220,9356728144,4595912256953,1783476338735636985,4
221,9390061477,4595944127213,1783476338767507245,4
222,9423394810,4595980324345,1783476338803704377,4
223,9456728143,4596012264813,1783476338835644845,4
224,9490061476,4596044226850,1783476338867606882,4
225,9523394809,4596080319982,1783476338903700046,4
226,9556728142,4596112273410,1783476338935653442,4
227,9590061475,4596144167830,1783476338967547862,4
228,9623394808,4596180529028,1783476339003909060,4
229,9656728141,4596212475512,1783476339035855544,4
230,9690061474,4596244306923,1783476339067686923,4
231,9723394807,4596280180469,1783476339103560469,4
232,9756728140,4596312141034,1783476339135521066,4
233,9790061473,4596344319103,1783476339167699103,4
234,9823394806,4596380368170,1783476339203748170,4
235,9856728139,4596412245406,1783476339235625406,4
236,9890061472,4596448249033,1783476339271629033,4
237,9923394805,4596480240989,1783476339303621021,4
238,9956728138,4596512155057,1783476339335535057,4
239,9990061471,4596548201884,1783476339371581916,4
240,10023394804,4596580290033,1783476339403670033,4
241,10056728137,4596612119109,1783476339435499109,4
242,10090061470,4596648348689,1783476339471728721,4
243,10123394803,4596680307877,1783476339503687877,4
244,10156728136,4596712249913,1783476339535629945,4
245,10190061469,4596748250084,1783476339571630084,4
246,10223394802,4596780278681,1783476339603658713,4
247,10256728135,4596812672527,1783476339636052559,4
248,10290061468,4596848320504,1783476339671700536,4
249,10323394801,4596880579950,1783476339703959950,4
