cam,seq,pts_ns,mono_ns,real_ns
1,0,587347852,4586944178840,1783476329767558840
1,2,631020516,4587079531201,1783476329902911201
1,3,663032188,4587087486319,1783476329910866255
1,4,695016092,4587089729788,1783476329913109788
1,6,759049836,4587112026876,1783476329935406876
1,7,795032028,4587282537742,1783476330105917710
2,0,1154423844,4587487422468,1783476330310802468
1,8,827012868,4587490038195,1783476330313418227
1,9,859132932,4587494700685,1783476330318080717
1,12,959029964,4587497776671,1783476330321156639
1,13,995019196,4587500722192,1783476330324102192
2,2,1158425380,4587501739126,1783476330325119094
2,3,1166414060,4587511315277,1783476330334695213
2,4,1198412708,4587543398436,1783476330366778436
1,19,1195013028,4587556276814,1783476330379656846
2,5,1234403420,4587579368179,1783476330402748179
1,20,1227033804,4587698621470,1783476330522001502
2,6,1262423932,4587699622212,1783476330523002212
1,21,1263015900,4587701688368,1783476330525068368
1,22,1295014868,4587704590432,1783476330527970432
1,25,1395014868,4587748054265,1783476330571434297
2,7,1298402508,4587908486961,1783476330731866897
1,26,1427032604,4587910277179,1783476330733657147
1,27,1463014132,4587930175021,1783476330753555021
1,28,1495030900,4587933907714,1783476330757287714
1,31,1595053612,4587948156916,1783476330771536916
1,32,1627043036,4587980095211,1783476330803475179
1,33,1663018356,4588012051362,1783476330835431394
2,8,1330443676,4588025753840,1783476330849133872
1,34,1695030676,4588047964496,1783476330871344560
3,0,1722655612,4588051636613,1783476330875016613
2,10,1398415124,4588061491165,1783476330884871165
3,2,1722663188,4588066609339,1783476330889989371
3,3,1734653932,4588079555557,1783476330902935557
1,35,1727033028,4588079952039,1783476330903332039
2,16,1598442932,4588086489421,1783476330909869453
1,36,1763015388,4588111974975,1783476330935354975
3,4,1770653516,4588115587475,1783476330938967507
2,19,1698425900,4588116514617,1783476330939894617
3,5,1806641804,4588147577835,1783476330970957835
1,37,1795038900,4588147941421,1783476330971321421
2,21,1766433932,4588161303545,1783476330984683577
1,38,1827033900,4588179931748,1783476331003311748
2,22,1798444060,4588193118063,1783476331016498095
1,39,1863035900,4588215961970,1783476331039341970
2,23,1830444868,4588229145085,1783476331052525117
1,40,1895031932,4588247931113,1783476331071311113
2,24,1866575836,4588260996084,1783476331084376084
1,41,1927032868,4588279945472,1783476331103325504
2,25,1898441932,4588292873194,1783476331116253226
1,42,1963017900,4588315951918,1783476331139331918
2,26,1930442676,4588320752745,1783476331144132777
3,6,1830654452,4588321950864,1783476331145330864
2,27,1966412740,4588323640890,1783476331147020922
1,43,1995037932,4588347934277,1783476331171314277
1,44,2031018868,4588383939955,1783476331207320019
2,28,1998428996,4588396922397,1783476331220302397
1,45,2063017964,4588415924074,1783476331239304106
2,29,2030479028,4588428809267,1783476331252189299
1,46,2095031932,4588447931169,1783476331271311201
2,30,2066413932,4588460885643,1783476331284265675
1,47,2131020996,4588483950319,1783476331307330383
2,31,2098427964,4588496894905,1783476331320274937
1,48,2163014996,4588515927750,1783476331339307750
2,32,2130471836,4588528839792,1783476331352219824
3,7,1866658740,4588529908854,1783476331353288886
2,33,2166399932,4588531722080,1783476331355102080
1,49,2195034996,4588547933885,1783476331371313917
1,50,2231021900,4588583937291,1783476331407317323
2,34,2198475964,4588596876885,1783476331420256949
3,8,1898655124,4588597919195,1783476331421299195
1,51,2263018996,4588615925026,1783476331439305026
3,11,1998655836,4588628972588,1783476331452352620
2,35,2230475804,4588629965490,1783476331453345490
0,0,2290061548,4588647025140,1783476331470405140
1,52,2295034836,4588647933081,1783476331471313081
3,18,2234643188,4588656878092,1783476331480258124
2,36,2266413060,4588657840977,1783476331481220977
0,2,2334030964,4588682960001,1783476331506340001
1,53,2331019996,4588683930471,1783476331507310503
3,20,2298660060,4588689377830,1783476331512757862
2,37,2298410900,4588690376172,1783476331513756204
0,3,2370046612,4588714985464,1783476331538365464
1,54,2363023900,4588715924094,1783476331539304126
3,21,2334656060,4588720573400,1783476331543953400
2,38,2330421900,4588721636350,1783476331545016350
2,39,2366426964,4588737596858,1783476331560976858
3,22,2366676124,4588738628320,1783476331562008352
0,4,2398046612,4588746973967,1783476331570353999
1,55,2395038868,4588747929077,1783476331571309109
0,5,2430116612,4588782973821,1783476331606353821
1,56,2431029932,4588783933699,1783476331607313699
3,23,2398660028,4588797052654,1783476331620432686
2,40,2398427900,4588798108564,1783476331621488564
1,57,2463019132,4588815990682,1783476331639370682
