cam,pts_ns,mono_ns,real_ns
1,587347852,4587079312896,1783476329902692864
1,620681185,4587087426351,1783476329910806287
1,654014518,4587089651163,1783476329913031163
1,687347851,4587091825256,1783476329915205256
1,720681184,4587282367277,1783476330105747277
1,754014517,4587489914866,1783476330313294866
1,787347850,4587494570733,1783476330317950733
1,820681183,4587497637246,1783476330321017214
1,854014516,4587500589615,1783476330323969647
2,1154423844,4587501636021,1783476330325015989
2,1187757177,4587504188836,1783476330327568804
2,1221090510,4587514787041,1783476330338166977
2,1254423843,4587546086196,1783476330369466132
1,887347849,4587556093005,1783476330379473005
1,920681182,4587698474653,1783476330521854653
2,1287757176,4587699515683,1783476330522895683
1,954014515,4587701584303,1783476330524964303
1,987347848,4587704495712,1783476330527875744
1,1020681181,4587707382928,1783476330530762928
2,1321090509,4587908288495,1783476330731668463
1,1054014514,4587910095322,1783476330733475290
1,1087347847,4587929836939,1783476330753217003
1,1120681180,4587933553888,1783476330756933920
1,1154014513,4587937164821,1783476330760544885
1,1187347846,4587951406470,1783476330774786438
1,1220681179,4587983009788,1783476330806389756
1,1254014512,4588015468886,1783476330838848918
2,1354423842,4588025627088,1783476330849007088
1,1287347845,4588051110082,1783476330874490114
2,1387757175,4588061296476,1783476330884676540
3,1722655612,4588066492986,1783476330889872986
3,1755988945,4588069536971,1783476330892916971
3,1789322278,4588083742397,1783476330907122397
1,1320681178,4588084797763,1783476330908177763
2,1421090508,4588086343916,1783476330909723916
1,1354014511,4588115326322,1783476330938706322
2,1454423841,4588116353400,1783476330939733400
3,1822655611,4588119000295,1783476330942380295
1,1387347844,4588151057375,1783476330974437375
2,1487757174,4588161141176,1783476330984521208
1,1420681177,4588183022294,1783476331006402294
2,1521090507,4588192997487,1783476331016377487
1,1454014510,4588219070660,1783476331042450692
2,1554423840,4588229032477,1783476331052412477
1,1487347843,4588250921978,1783476331074301978
2,1587757173,4588260892467,1783476331084272467
1,1520681176,4588282907025,1783476331106287057
2,1621090506,4588292776169,1783476331116156201
1,1554014509,4588319091328,1783476331142471360
2,1654423839,4588320646729,1783476331144026761
3,1855988944,4588321798383,1783476331145178447
2,1687757172,4588323533401,1783476331146913401
1,1587347842,4588350941046,1783476331174321078
1,1620681175,4588386954980,1783476331210334980
2,1721090505,4588396813148,1783476331220193180
1,1654014508,4588418827322,1783476331242207322
2,1754423838,4588428720915,1783476331252100915
1,1687347841,4588450858930,1783476331274238930
2,1787757171,4588460782058,1783476331284162058
1,1720681174,4588486958656,1783476331310338656
2,1821090504,4588496797528,1783476331320177528
1,1754014507,4588518849686,1783476331342229686
2,1854423837,4588528740079,1783476331352120111
3,1889322277,4588529807989,1783476331353187989
2,1887757170,4588531625088,1783476331355005088
1,1787347840,4588550927470,1783476331374307502
1,1820681173,4588586874652,1783476331410254652
2,1921090503,4588596774036,1783476331420154036
3,1922655610,4588597825018,1783476331421205050
1,1854014506,4588618861011,1783476331442241043
3,1955988943,4588628811371,1783476331452191435
2,1954423836,4588629867569,1783476331453247601
1,1887347839,4588650852458,1783476331474232458
3,1989322276,4588656685643,1783476331480065643
2,1987757169,4588657749873,1783476331481129905
0,2290061548,4588659614972,1783476331482994972
0,2323394881,4588686557782,1783476331509937718
1,1920681172,4588687635100,1783476331511015132
3,2022655609,4588689221637,1783476331512601669
2,2021090502,4588690275979,1783476331513655979
0,2356728214,4588717893097,1783476331541273065
1,1954014505,4588718962511,1783476331542342511
3,2055988942,4588720475864,1783476331543855864
2,2054423835,4588721536190,1783476331544916190
2,2087757168,4588737486297,1783476331560866297
3,2089322275,4588738535935,1783476331561915935
0,2390061547,4588750093921,1783476331573473921
