batch_idx,t_mono,n_in_batch,n_real,n_active,active_mask,timeout_us,mux_batch,compute_ms,e2e_ms,total_dets,new_ids_cum,dets_cam0,dets_cam1,dets_cam2,dets_cam3,drops_cum,arrivals_cum
0,2.9120,4,4,4,1111,33333,4,1430.291,1431.187,0,0,0,0,0,0,0,20
1,2.9127,4,4,4,1111,33333,4,1420.813,1430.901,0,0,0,0,0,0,0,20
2,2.9128,4,4,4,1111,33333,4,1419.738,1428.931,0,0,0,0,0,0,0,20
3,2.9129,4,4,4,1111,33333,4,1418.802,1426.903,0,0,0,0,0,0,0,20
4,2.9130,4,4,4,1111,33333,4,1415.892,1424.843,0,0,0,0,0,0,0,20
5,2.9645,1,1,4,1111,33333,4,41.708,41.823,0,0,0,0,0,0,0,40
6,3.0816,4,4,4,1111,33333,4,149.845,158.797,1,1,1,0,0,0,0,41
7,3.0842,4,4,4,1111,33333,4,150.734,160.910,2,2,1,0,0,1,0,45
8,3.0901,4,4,4,1111,33333,4,155.691,165.171,2,2,1,0,0,1,0,49
9,3.0931,4,4,4,1111,33333,4,157.659,166.292,1,2,0,0,0,1,0,53
10,3.0953,4,4,4,1111,33333,4,121.055,163.417,1,2,0,0,0,1,0,57
11,3.1170,2,2,4,1111,33333,4,34.354,34.576,1,2,0,0,0,1,0,61
12,3.2512,4,4,4,1111,33333,4,164.677,168.568,2,3,0,0,1,1,0,63
13,3.2542,4,4,4,1111,33333,4,162.410,169.040,1,3,0,0,0,1,0,67
14,3.2622,4,4,4,1111,33333,4,167.023,171.251,2,3,0,0,1,1,0,69
15,3.2652,4,4,4,1111,33333,4,165.604,171.390,2,3,0,0,1,1,0,70
16,3.2684,4,4,4,1111,33333,4,150.123,172.136,2,3,0,0,1,1,0,71
17,3.3033,3,3,4,1111,33333,4,50.615,50.838,1,3,0,0,0,1,0,83
18,3.3348,4,4,4,1111,33333,4,67.809,82.292,2,3,0,0,1,1,0,86
19,3.3430,4,4,4,1111,33333,4,64.726,83.475,2,3,0,0,1,1,0,90
20,3.4558,4,4,4,1111,33333,4,166.863,183.426,2,3,0,0,1,1,0,94
21,3.4589,4,4,4,1111,33333,4,157.191,176.310,1,3,0,0,0,1,0,98
22,3.4619,4,4,4,1111,33333,4,157.490,171.012,1,3,0,0,0,1,0,99
23,3.4717,4,4,4,1111,33333,4,135.906,136.190,2,3,0,0,1,1,0,102
24,3.4767,4,4,4,1111,33333,4,118.135,132.800,1,3,0,0,0,1,0,103
