batch_idx,t_mono,n_in_batch,n_real,n_active,active_mask,timeout_us,mux_batch,compute_ms,e2e_ms,total_dets,new_ids_cum,dets_cam0,dets_cam1,dets_cam2,dets_cam3
0,1.7619,4,4,4,1111,33333,4,1287.679,1288.395,0,0,0,0,0,0
1,1.7633,4,4,4,1111,33333,4,1281.613,1289.380,0,0,0,0,0,0
2,1.7965,4,4,4,1111,33333,4,1312.899,1315.064,0,0,0,0,0,0
3,1.8299,4,4,4,1111,33333,4,1344.704,1346.347,0,0,0,0,0,0
4,1.8651,4,4,4,1111,33333,4,101.618,1379.996,0,0,0,0,0,0
5,1.8967,4,4,4,1111,33333,4,99.903,109.179,1,1,1,0,0,0
6,1.9312,4,4,4,1111,33333,4,101.076,134.348,1,1,1,0,0,0
7,1.9658,4,4,4,1111,33333,4,102.577,135.529,2,2,1,0,0,1
8,1.9966,4,4,4,1111,33333,4,99.664,132.738,1,2,0,0,0,1
9,2.1017,4,4,4,1111,33333,4,169.505,171.589,1,2,0,0,0,1
10,2.1042,4,4,4,1111,33333,4,138.011,172.122,2,3,0,0,1,1
11,2.1243,4,4,4,1111,33333,4,127.345,157.928,1,3,0,0,0,1
12,2.1327,4,4,4,1111,33333,4,101.966,135.739,2,3,0,0,1,1
13,2.2103,4,4,4,1111,33333,4,107.684,179.406,2,3,0,0,1,1
14,2.2206,4,4,4,1111,33333,4,115.437,117.276,2,3,0,0,1,1
15,2.2300,4,4,4,1111,33333,4,100.218,123.199,2,3,0,0,1,1
16,2.2858,4,4,4,1111,33333,4,122.485,155.569,2,3,0,0,1,1
17,2.2967,4,4,4,1111,33333,4,85.392,132.785,2,3,0,0,1,1
18,2.3302,4,4,4,1111,33333,4,99.796,118.470,1,3,0,0,0,1
19,2.3636,4,4,4,1111,33333,4,100.246,132.742,1,3,0,0,0,1
20,2.3969,4,4,4,1111,33333,4,99.786,132.993,2,3,0,0,1,1
21,2.4301,4,4,4,1111,33333,4,99.042,132.873,1,3,0,0,0,1
22,2.4638,4,4,4,1111,33333,4,99.795,133.043,2,3,0,0,1,1
23,2.4975,4,4,4,1111,33333,4,100.122,133.317,1,3,0,0,0,1
24,2.5301,4,4,4,1111,33333,4,99.526,132.673,2,3,0,0,1,1
25,2.5633,4,4,4,1111,33333,4,99.882,132.552,1,3,0,0,0,1
26,2.5966,4,4,4,1111,33333,4,98.382,132.346,1,3,0,0,0,1
27,2.6302,4,4,4,1111,33333,4,98.911,132.309,1,3,0,0,0,1
28,2.6640,4,4,4,1111,33333,4,99.563,132.562,2,3,0,0,1,1
29,2.6971,4,4,4,1111,33333,4,100.102,132.926,1,3,0,0,0,1
30,2.7302,4,4,4,1111,33333,4,99.258,132.885,2,3,0,0,1,1
31,2.7636,4,4,4,1111,33333,4,98.031,132.936,1,3,0,0,0,1
32,2.7967,4,4,4,1111,33333,4,98.860,131.243,1,3,0,0,0,1
33,2.8301,4,4,4,1111,33333,4,99.024,132.517,1,3,0,0,0,1
34,2.8633,4,4,4,1111,33333,4,97.142,132.582,2,3,0,0,1,1
35,2.8979,4,4,4,1111,33333,4,100.755,131.965,1,3,0,0,0,1
36,2.9311,4,4,4,1111,33333,4,100.271,133.856,1,3,0,0,0,1
37,2.9635,4,4,4,1111,33333,4,99.727,132.427,2,3,0,0,1,1
