batch_idx,t_mono,n_in_batch,n_real,n_active,active_mask,timeout_us,mux_batch,compute_ms,e2e_ms,total_dets,new_ids_cum,dets_cam0,dets_cam1,dets_cam2,dets_cam3,drops_cum,arrivals_cum
0,1.6928,4,4,4,1111,33333,4,1277.512,1278.335,0,0,0,0,0,0,0,20
1,1.6934,4,4,4,1111,33333,4,1273.085,1277.973,0,0,0,0,0,0,0,20
2,1.6935,4,4,4,1111,33333,4,1272.023,1276.044,0,0,0,0,0,0,0,20
3,1.6936,4,4,4,1111,33333,4,1270.775,1273.492,0,0,0,0,0,0,0,20
4,1.6936,4,4,4,1111,33333,4,1265.415,1265.544,0,0,0,0,0,0,0,20
5,1.7617,2,2,4,1111,33333,4,59.217,59.320,1,1,1,0,0,0,0,40
6,1.7787,4,4,4,1111,33333,4,72.912,76.177,1,1,1,0,0,0,0,42
7,1.7847,4,4,4,1111,33333,4,77.959,81.300,2,2,1,0,0,1,0,46
8,1.9029,4,4,4,1111,33333,4,195.351,197.694,1,2,0,0,0,1,0,50
9,1.9044,4,4,4,1111,33333,4,195.853,197.360,1,2,0,0,0,1,0,54
10,1.9053,2,2,4,1111,33333,4,144.845,144.930,0,2,0,0,0,0,0,54
11,1.9071,4,4,4,1111,33333,4,121.740,144.884,2,3,0,0,1,1,0,54
12,1.9137,4,4,4,1111,33333,4,127.191,134.362,1,3,0,0,0,1,0,56
13,1.9149,2,2,4,1111,33333,4,86.414,129.568,1,3,0,0,0,1,0,56
14,1.9446,3,3,4,1111,33333,4,40.839,40.960,2,3,0,0,1,1,0,69
15,2.0618,4,4,4,1111,33333,4,143.944,158.102,2,3,0,0,1,1,0,73
16,2.0633,4,4,4,1111,33333,4,133.654,152.441,2,3,0,0,1,1,0,77
17,2.0648,4,4,4,1111,33333,4,120.990,135.249,2,3,0,0,1,1,0,77
18,2.0668,4,4,4,1111,33333,4,121.794,132.684,2,3,0,0,1,1,0,78
19,2.0729,4,4,4,1111,33333,4,120.753,126.810,2,3,0,0,1,1,0,79
20,2.0954,3,3,4,1111,33333,4,32.760,32.872,1,3,0,0,0,1,0,87
21,2.2112,4,4,4,1111,33333,4,134.193,148.483,1,3,0,0,0,1,0,96
22,2.2126,4,4,4,1111,33333,4,123.890,135.692,1,3,0,0,0,1,0,100
23,2.2141,4,4,4,1111,33333,4,118.566,134.508,2,3,0,0,1,1,0,100
24,2.2156,4,4,4,1111,33333,4,108.725,117.986,1,3,0,0,0,1,0,101
25,2.2244,4,4,4,1111,33333,4,114.320,124.775,2,3,0,0,1,1,0,103
26,2.2685,4,4,4,1111,33333,4,56.551,56.673,1,3,0,0,0,1,0,116
27,2.3009,4,4,4,1111,33333,4,74.463,85.454,2,3,0,0,1,1,0,120
28,2.3147,4,4,4,1111,33333,4,76.550,85.599,1,3,0,0,0,1,0,124
29,2.3249,4,4,4,1111,33333,4,75.711,84.542,1,3,0,0,0,1,0,128
30,2.4434,4,4,4,1111,33333,4,174.153,194.241,1,3,0,0,0,1,0,132
31,2.4452,4,4,4,1111,33333,4,173.665,176.074,2,3,0,0,1,1,0,136
32,2.4467,4,4,4,1111,33333,4,144.999,145.102,1,3,0,0,0,1,0,136
33,2.4502,4,4,4,1111,33333,4,134.081,134.992,2,3,0,0,1,1,0,137
34,2.4548,4,4,4,1111,33333,4,118.310,129.323,1,3,0,0,0,1,0,138
35,2.4790,3,3,4,1111,33333,4,34.884,34.993,1,3,0,0,0,1,0,148
36,2.5492,4,4,4,1111,33333,4,91.158,105.013,1,3,0,0,0,1,0,155
37,2.5578,4,4,4,1111,33333,4,88.163,110.196,1,3,0,0,0,1,0,159
38,2.5725,4,4,4,1111,33333,4,93.876,111.782,2,3,0,0,1,1,0,163
39,2.5792,4,4,4,1111,33333,4,93.581,107.583,1,3,0,0,0,1,0,167
40,2.6858,4,4,4,1111,33333,4,193.560,205.325,1,3,0,0,0,1,0,171
41,2.6878,4,4,4,1111,33333,4,137.893,138.000,2,3,0,0,1,1,0,175
42,2.6895,4,4,4,1111,33333,4,125.652,131.095,2,3,0,0,1,1,0,175
43,2.6911,4,4,4,1111,33333,4,115.766,117.961,1,3,0,0,0,1,0,176
44,2.7017,4,4,4,1111,33333,4,109.029,121.855,1,3,0,0,0,1,0,179
45,2.7590,4,4,4,1111,33333,4,72.453,72.563,1,3,0,0,0,1,0,191
46,2.7786,4,4,4,1111,33333,4,77.674,88.519,1,3,0,0,0,1,0,195
47,2.7979,4,4,4,1111,33333,4,85.588,94.551,1,3,0,0,0,1,0,199
48,2.8052,4,4,4,1111,33333,4,81.970,90.755,1,3,0,0,0,1,0,203
49,2.9271,4,4,4,1111,33333,4,189.441,203.930,1,3,0,0,0,1,0,207
50,2.9286,4,4,4,1111,33333,4,168.782,168.977,1,3,0,0,0,1,0,211
51,2.9301,4,4,4,1111,33333,4,142.436,151.028,1,3,0,0,0,1,0,211
52,2.9316,4,4,4,1111,33333,4,132.912,133.098,2,4,0,0,1,1,0,212
53,2.9361,4,4,4,1111,33333,4,123.895,130.287,2,4,0,0,1,1,0,213
54,3.0653,4,4,4,1111,33333,4,137.349,137.541,3,5,1,0,1,1,0,227
55,3.0819,4,4,4,1111,33333,4,140.000,150.430,2,5,1,0,0,1,0,231
56,3.0919,4,4,4,1111,33333,4,138.049,147.317,2,5,0,0,1,1,0,235
57,3.1076,4,4,4,1111,33333,4,143.031,151.567,2,5,0,0,1,1,0,239
58,3.1226,4,4,4,1111,33333,4,153.000,158.179,3,6,0,1,1,1,0,243
59,3.1299,4,4,4,1111,33333,4,63.730,63.859,2,6,0,1,0,1,0,247
60,3.1432,4,4,4,1111,33333,4,52.005,60.651,2,6,0,1,0,1,0,251
61,3.1555,4,4,4,1111,33333,4,59.247,63.109,2,6,0,1,0,1,0,255
62,3.2687,4,4,4,1111,33333,4,152.092,160.614,2,6,0,1,0,1,0,259
63,3.2703,4,4,4,1111,33333,4,146.885,147.063,2,6,0,1,0,1,0,263
64,3.2718,4,4,4,1111,33333,4,136.625,141.342,2,6,0,1,0,1,0,263
65,3.2766,4,4,4,1111,33333,4,132.614,132.838,2,6,0,1,0,1,0,265
66,3.2786,4,4,4,1111,33333,4,113.954,122.548,2,6,0,1,0,1,0,265
67,3.2862,2,2,4,1111,33333,4,16.717,16.823,1,6,0,0,0,1,0,267
68,3.3415,4,4,4,1111,33333,4,57.509,71.936,2,6,0,1,0,1,0,281
