batch_idx,t_mono,n_in_batch,n_real,n_active,active_mask,timeout_us,mux_batch,compute_ms,e2e_ms,total_dets,new_ids_cum,dets_cam0,dets_cam1,dets_cam2,dets_cam3
0,1.6530,4,4,4,1111,33333,4,1231.919,1233.026,0,0,0,0,0,0
1,1.6539,4,4,4,1111,33333,4,1227.468,1232.942,0,0,0,0,0,0
2,1.6871,4,4,4,1111,33333,4,1258.597,1260.835,0,0,0,0,0,0
3,1.7205,4,4,4,1111,33333,4,1290.590,1292.104,0,0,0,0,0,0
4,1.7538,4,4,4,1111,33333,4,99.641,1324.131,0,0,0,0,0,0
5,1.7872,4,4,4,1111,33333,4,99.946,123.466,1,1,1,0,0,0
6,1.8204,4,4,4,1111,33333,4,99.744,132.939,1,1,1,0,0,0
7,1.8538,4,4,4,1111,33333,4,99.856,133.001,2,2,1,0,0,1
8,1.8871,4,4,4,1111,33333,4,99.533,132.989,1,2,0,0,0,1
9,1.9525,4,4,4,1111,33333,4,98.171,131.804,1,2,0,0,0,1
10,1.9602,4,4,4,1111,33333,4,71.791,138.389,2,3,0,0,1,1
11,2.0115,4,4,4,1111,33333,4,122.097,157.383,1,3,0,0,0,1
12,2.0204,4,4,4,1111,33333,4,98.687,132.922,2,3,0,0,1,1
13,2.0542,4,4,4,1111,33333,4,100.444,132.991,2,3,0,0,1,1
14,2.0872,4,4,4,1111,33333,4,100.071,133.028,2,3,0,0,1,1
15,2.1205,4,4,4,1111,33333,4,99.833,133.054,2,3,0,0,1,1
16,2.1539,4,4,4,1111,33333,4,99.196,133.057,2,3,0,0,1,1
17,2.1872,4,4,4,1111,33333,4,99.779,132.728,2,3,0,0,1,1
18,2.2205,4,4,4,1111,33333,4,99.709,132.941,1,3,0,0,0,1
19,2.2538,4,4,4,1111,33333,4,99.692,133.012,1,3,0,0,0,1
20,2.2878,4,4,4,1111,33333,4,100.298,133.544,2,3,0,0,1,1
21,2.3205,4,4,4,1111,33333,4,99.523,132.975,1,3,0,0,0,1
22,2.3539,4,4,4,1111,33333,4,99.854,133.111,2,3,0,0,1,1
23,2.3872,4,4,4,1111,33333,4,99.820,133.055,1,3,0,0,0,1
24,2.4209,4,4,4,1111,33333,4,100.207,133.421,2,3,0,0,1,1
25,2.4538,4,4,4,1111,33333,4,99.340,132.993,1,3,0,0,0,1
26,2.4876,4,4,4,1111,33333,4,100.174,133.268,1,3,0,0,0,1
27,2.5206,4,4,4,1111,33333,4,100.063,133.100,1,3,0,0,0,1
28,2.5544,4,4,4,1111,33333,4,100.252,133.516,2,3,0,0,1,1
29,2.5877,4,4,4,1111,33333,4,99.109,133.504,1,3,0,0,0,1
30,2.6209,4,4,4,1111,33333,4,100.089,132.438,2,3,0,0,1,1
31,2.6543,4,4,4,1111,33333,4,98.682,133.349,1,3,0,0,0,1
32,2.6871,4,4,4,1111,33333,4,98.515,131.679,1,3,0,0,0,1
33,2.7207,4,4,4,1111,33333,4,99.052,132.232,1,3,0,0,0,1
34,2.7538,4,4,4,1111,33333,4,98.617,132.298,2,3,0,0,1,1
35,2.7871,4,4,4,1111,33333,4,99.763,132.132,1,3,0,0,0,1
36,2.8204,4,4,4,1111,33333,4,99.826,132.984,1,3,0,0,0,1
37,2.8539,4,4,4,1111,33333,4,99.819,132.946,2,3,0,0,1,1
38,2.8872,4,4,4,1111,33333,4,98.851,133.037,2,3,0,0,1,1
39,2.9205,4,4,4,1111,33333,4,98.652,132.223,1,3,0,0,0,1
40,2.9539,4,4,4,1111,33333,4,99.653,132.346,1,3,0,0,0,1
41,2.9872,4,4,4,1111,33333,4,99.847,132.884,1,3,0,0,0,1
42,3.0210,4,4,4,1111,33333,4,100.355,133.575,1,3,0,0,0,1
43,3.0541,4,4,4,1111,33333,4,99.165,133.366,1,3,0,0,0,1
44,3.0875,4,4,4,1111,33333,4,100.065,132.535,1,3,0,0,0,1
45,3.1205,4,4,4,1111,33333,4,99.495,132.955,1,3,0,0,0,1
46,3.1538,4,4,4,1111,33333,4,99.543,132.918,1,3,0,0,0,1
47,3.1872,4,4,4,1111,33333,4,99.382,132.869,1,3,0,0,0,1
48,3.2205,4,4,4,1111,33333,4,99.832,132.765,2,4,0,0,1,1
49,3.2540,4,4,4,1111,33333,4,99.934,133.150,2,4,0,0,1,1
50,3.2873,4,4,4,1111,33333,4,99.643,133.121,2,4,0,0,1,1
51,3.3205,4,4,4,1111,33333,4,99.679,133.025,1,4,0,0,0,1
52,3.3539,4,4,4,1111,33333,4,99.982,133.144,2,4,0,0,1,1
53,3.3873,4,4,4,1111,33333,4,99.461,132.874,3,5,1,0,1,1
54,3.4205,4,4,4,1111,33333,4,99.764,132.978,3,5,1,0,1,1
55,3.4539,4,4,4,1111,33333,4,99.593,133.038,2,6,0,1,0,1
