batch_idx,t_mono,n_in_batch,n_real,n_active,active_mask,timeout_us,mux_batch,compute_ms,e2e_ms,total_dets,new_ids_cum,dets_cam0,dets_cam1,dets_cam2,dets_cam3
0,1.9278,4,4,4,1111,33333,4,1361.306,1361.782,0,0,0,0,0,0
1,1.9290,4,4,4,1111,33333,4,1348.330,1362.554,0,0,0,0,0,0
2,1.9623,4,4,4,1111,33333,4,1374.404,1381.959,0,0,0,0,0,0
3,1.9957,4,4,4,1111,33333,4,1404.567,1407.991,0,0,0,0,0,0
4,2.0413,4,4,4,1111,33333,4,112.155,1450.929,0,0,0,0,0,0
5,2.0698,4,4,4,1111,33333,4,107.001,130.797,1,1,1,0,0,0
6,2.0956,4,4,4,1111,33333,4,99.692,132.919,1,1,1,0,0,0
7,2.1383,4,4,4,1111,33333,4,108.789,142.234,2,2,1,0,0,1
8,2.1625,4,4,4,1111,33333,4,100.272,132.927,1,2,0,0,0,1
9,2.1965,4,4,4,1111,33333,4,100.479,126.483,1,2,0,0,0,1
10,2.2300,4,4,4,1111,33333,4,100.608,133.864,2,3,0,0,1,1
11,2.2624,4,4,4,1111,33333,4,99.369,133.110,1,3,0,0,0,1
12,2.2963,4,4,4,1111,33333,4,98.976,133.421,2,3,0,0,1,1
13,2.3290,4,4,4,1111,33333,4,98.480,131.750,2,3,0,0,1,1
14,2.3623,4,4,4,1111,33333,4,99.544,132.908,2,3,0,0,1,1
15,2.3956,4,4,4,1111,33333,4,98.547,132.923,2,3,0,0,1,1
16,2.4290,4,4,4,1111,33333,4,99.820,132.339,2,3,0,0,1,1
17,2.4624,4,4,4,1111,33333,4,99.430,132.912,2,3,0,0,1,1
18,2.4957,4,4,4,1111,33333,4,99.835,133.021,1,3,0,0,0,1
19,2.5291,4,4,4,1111,33333,4,99.607,132.854,1,3,0,0,0,1
20,2.5624,4,4,4,1111,33333,4,99.691,132.754,2,3,0,0,1,1
