batch_idx,t_mono,n_in_batch,n_active,timeout_us,mux_batch,compute_ms,e2e_ms,total_dets,new_ids_cum,dets_cam0,dets_cam1,dets_cam2,dets_cam3
0,1.8476,4,4,33333,4,1285.512,1286.180,0,0,0,0,0,0
1,1.8493,4,4,33333,4,1277.022,1287.306,0,0,0,0,0,0
2,1.8821,4,4,33333,4,1307.565,1309.712,0,0,0,0,0,0
3,1.9155,4,4,33333,4,1339.236,1341.572,0,0,0,0,0,0
4,1.9487,4,4,33333,4,99.613,1374.496,0,0,0,0,0,0
5,1.9823,4,4,33333,4,99.910,123.118,1,1,1,0,0,0
6,2.0166,4,4,33333,4,100.753,134.141,1,1,1,0,0,0
7,2.0494,4,4,33333,4,100.283,133.267,2,2,1,0,0,1
8,2.0824,4,4,33333,4,99.839,133.446,1,2,0,0,0,1
9,2.1256,4,4,33333,4,108.535,109.801,1,2,0,0,0,1
10,2.1488,4,4,33333,4,97.850,132.613,2,3,0,0,1,1
11,2.1934,4,4,33333,4,110.482,143.638,1,3,0,0,0,1
12,2.2157,4,4,33333,4,90.490,132.566,2,3,0,0,1,1
13,2.2495,4,4,33333,4,100.346,124.777,2,3,0,0,1,1
14,2.2823,4,4,33333,4,100.252,133.127,2,3,0,0,1,1
15,2.3285,4,4,33333,4,112.179,145.779,2,3,0,0,1,1
16,2.3489,4,4,33333,4,98.302,132.769,2,3,0,0,1,1
17,2.3822,4,4,33333,4,99.476,131.532,2,3,0,0,1,1
18,2.4155,4,4,33333,4,100.082,132.621,1,3,0,0,0,1
19,2.4489,4,4,33333,4,99.614,132.736,1,3,0,0,0,1
20,2.4826,4,4,33333,4,99.959,133.097,2,3,0,0,1,1
21,2.5156,4,4,33333,4,99.722,132.816,1,3,0,0,0,1
22,2.5491,4,4,33333,4,99.850,133.021,2,3,0,0,1,1
23,2.5823,4,4,33333,4,99.923,132.755,1,3,0,0,0,1
24,2.6157,4,4,33333,4,99.286,133.112,2,3,0,0,1,1
25,2.6490,4,4,33333,4,99.378,132.472,1,3,0,0,0,1
26,2.6825,4,4,33333,4,99.575,132.719,1,3,0,0,0,1
27,2.7157,4,4,33333,4,99.303,132.913,1,3,0,0,0,1
28,2.7490,4,4,33333,4,99.599,132.915,2,3,0,0,1,1
29,2.7824,4,4,33333,4,97.577,132.847,1,3,0,0,0,1
30,2.8161,4,4,33333,4,99.703,131.492,2,3,0,0,1,1
31,2.8492,4,4,33333,4,99.598,133.120,1,3,0,0,0,1
32,2.8824,4,4,33333,4,97.815,132.906,1,3,0,0,0,1
33,2.9158,4,4,33333,4,97.941,131.405,1,3,0,0,0,1
34,2.9490,4,4,33333,4,96.754,131.296,2,3,0,0,1,1
35,2.9829,4,4,33333,4,99.922,131.021,1,3,0,0,0,1
36,3.0156,4,4,33333,4,99.833,132.769,1,3,0,0,0,1
37,3.0491,4,4,33333,4,99.574,132.894,2,3,0,0,1,1
38,3.0823,4,4,33333,4,96.690,132.611,2,3,0,0,1,1
39,3.1157,4,4,33333,4,97.857,130.379,1,3,0,0,0,1
40,3.1502,4,4,33333,4,100.572,132.688,1,3,0,0,0,1
41,3.1823,4,4,33333,4,99.044,132.478,1,3,0,0,0,1
42,3.2156,4,4,33333,4,99.524,132.810,1,3,0,0,0,1
43,3.2488,4,4,33333,4,99.628,132.593,1,3,0,0,0,1
44,3.2822,4,4,33333,4,99.262,132.410,1,3,0,0,0,1
45,3.3161,4,4,33333,4,98.313,133.243,1,3,0,0,0,1
46,3.3490,4,4,33333,4,99.913,131.284,1,3,0,0,0,1
47,3.3827,4,4,33333,4,100.015,133.518,1,3,0,0,0,1
48,3.4158,4,4,33333,4,100.002,132.947,2,4,0,0,1,1
49,3.4490,4,4,33333,4,99.340,132.488,2,4,0,0,1,1
50,3.4822,4,4,33333,4,99.795,132.382,2,4,0,0,1,1
51,3.5157,4,4,33333,4,99.527,132.672,1,4,0,0,0,1
52,3.5490,4,4,33333,4,99.351,132.764,2,4,0,0,1,1
53,3.5823,4,4,33333,4,99.246,132.759,3,5,1,0,1,1
54,3.6156,4,4,33333,4,99.506,132.928,3,5,1,0,1,1
55,3.6489,4,4,33333,4,99.440,132.529,2,6,0,1,0,1
56,3.6822,4,4,33333,4,99.918,132.541,2,6,0,1,0,1
57,3.7161,4,4,33333,4,99.685,133.435,2,6,0,1,0,1
