batch_idx,t_mono,n_in_batch,n_active,timeout_us,mux_batch,compute_ms,e2e_ms,total_dets,new_ids_cum,dets_cam0,dets_cam1,dets_cam2,dets_cam3
0,1.8698,4,4,33333,4,1320.742,1321.799,0,0,0,0,0,0
1,1.8710,4,4,33333,4,1311.162,1322.241,0,0,0,0,0,0
2,1.9042,4,4,33333,4,1341.988,1344.163,0,0,0,0,0,0
3,1.9376,4,4,33333,4,1373.731,1375.789,0,0,0,0,0,0
4,1.9710,4,4,33333,4,99.825,1408.995,0,0,0,0,0,0
5,2.0043,4,4,33333,4,99.918,122.322,1,1,1,0,0,0
6,2.0385,4,4,33333,4,100.676,133.802,1,1,1,0,0,0
7,2.0723,4,4,33333,4,100.881,134.233,2,2,1,0,0,1
8,2.1044,4,4,33333,4,99.769,132.882,1,2,0,0,0,1
9,2.1712,4,4,33333,4,130.562,133.353,1,2,0,0,0,1
10,2.1848,4,4,33333,4,111.776,144.289,2,3,0,0,1,1
11,2.2548,4,4,33333,4,150.064,181.872,1,3,0,0,0,1
12,2.2665,4,4,33333,4,100.629,161.877,2,3,0,0,1,1
13,2.2729,4,4,33333,4,100.769,107.208,2,3,0,0,1,1
14,2.3495,4,4,33333,4,145.143,176.751,2,3,0,0,1,1
15,2.3563,4,4,33333,4,100.618,151.140,2,3,0,0,1,1
16,2.3709,4,4,33333,4,100.051,114.604,2,3,0,0,1,1
17,2.4384,4,4,33333,4,134.064,167.018,2,3,0,0,1,1
18,2.4408,4,4,33333,4,90.375,135.813,1,3,0,0,0,1
19,2.4711,4,4,33333,4,99.638,119.899,1,3,0,0,0,1
20,2.5043,4,4,33333,4,99.975,132.691,2,3,0,0,1,1
21,2.5379,4,4,33333,4,98.677,132.928,1,3,0,0,0,1
22,2.5720,4,4,33333,4,100.588,132.125,2,3,0,0,1,1
23,2.6056,4,4,33333,4,100.878,134.168,1,3,0,0,0,1
24,2.6378,4,4,33333,4,99.377,133.047,2,3,0,0,1,1
25,2.6712,4,4,33333,4,98.499,132.874,1,3,0,0,0,1
26,2.7053,4,4,33333,4,100.998,132.865,1,3,0,0,0,1
27,2.7379,4,4,33333,4,99.585,132.692,1,3,0,0,0,1
28,2.7722,4,4,33333,4,100.554,133.710,2,3,0,0,1,1
29,2.8052,4,4,33333,4,97.446,133.400,1,3,0,0,0,1
30,2.8391,4,4,33333,4,100.586,131.779,2,3,0,0,1,1
31,2.8716,4,4,33333,4,97.777,133.206,1,3,0,0,0,1
32,2.9045,4,4,33333,4,97.451,130.978,1,3,0,0,0,1
33,2.9507,4,4,33333,4,110.523,143.847,1,3,0,0,0,1
34,2.9711,4,4,33333,4,97.787,132.489,2,3,0,0,1,1
35,3.0053,4,4,33333,4,100.343,133.318,1,3,0,0,0,1
36,3.0384,4,4,33333,4,100.746,133.234,1,3,0,0,0,1
37,3.0713,4,4,33333,4,99.204,132.961,2,3,0,0,1,1
38,3.1049,4,4,33333,4,97.515,133.122,2,3,0,0,1,1
39,3.1378,4,4,33333,4,97.267,130.610,1,3,0,0,0,1
40,3.1774,4,4,33333,4,105.239,137.082,1,3,0,0,0,1
41,3.2045,4,4,33333,4,97.559,132.660,1,3,0,0,0,1
42,3.2378,4,4,33333,4,99.584,131.086,1,3,0,0,0,1
43,3.2711,4,4,33333,4,99.338,132.675,1,3,0,0,0,1
44,3.3058,4,4,33333,4,100.259,133.832,1,3,0,0,0,1
45,3.3389,4,4,33333,4,98.882,133.758,1,3,0,0,0,1
46,3.3749,4,4,33333,4,103.242,135.013,1,3,0,0,0,1
47,3.4056,4,4,33333,4,99.378,133.789,1,3,0,0,0,1
48,3.4378,4,4,33333,4,98.993,132.622,2,4,0,0,1,1
49,3.4712,4,4,33333,4,96.755,132.796,2,4,0,0,1,1
50,3.5043,4,4,33333,4,99.273,130.301,2,4,0,0,1,1
51,3.5377,4,4,33333,4,99.114,132.800,1,4,0,0,0,1
52,3.5713,4,4,33333,4,99.609,133.070,2,4,0,0,1,1
53,3.6046,4,4,33333,4,99.703,132.753,3,5,1,0,1,1
54,3.6377,4,4,33333,4,99.250,132.674,3,5,1,0,1,1
55,3.6712,4,4,33333,4,98.672,132.877,2,6,0,1,0,1
56,3.7055,4,4,33333,4,100.354,133.826,2,6,0,1,0,1
57,3.7379,4,4,33333,4,99.731,132.868,2,6,0,1,0,1
58,3.7712,4,4,33333,4,99.599,133.185,2,6,0,1,0,1
59,3.8046,4,4,33333,4,97.229,132.845,2,6,0,1,0,1
60,3.8378,4,4,33333,4,99.541,130.706,2,6,0,1,0,1
61,3.8713,4,4,33333,4,99.169,132.809,2,6,0,1,0,1
62,3.9045,4,4,33333,4,97.006,132.706,2,6,0,1,0,1
63,3.9580,4,4,33333,4,117.554,150.551,2,6,0,1,0,1
64,3.9887,4,4,33333,4,113.488,148.174,2,6,0,1,0,1
65,4.0201,4,4,33333,4,115.177,145.138,2,6,0,1,0,1
66,4.0378,4,4,33333,4,100.116,132.672,2,6,0,1,0,1
67,4.0712,4,4,33333,4,100.166,132.892,3,6,1,1,0,1
68,4.1045,4,4,33333,4,100.219,132.781,3,6,1,1,0,1
69,4.1385,4,4,33333,4,100.352,133.496,4,6,1,1,1,1
70,4.1715,4,4,33333,4,99.588,133.162,4,6,1,1,1,1
71,4.2045,4,4,33333,4,99.021,132.460,3,6,1,1,0,1
72,4.2384,4,4,33333,4,99.402,133.453,3,6,1,1,0,1
