batch_idx,t_mono,n_in_batch,n_active,timeout_us,mux_batch,compute_ms,e2e_ms,total_dets,new_ids_cum,dets_cam0,dets_cam1,dets_cam2,dets_cam3
0,1.9135,4,4,33333,4,1299.760,1300.251,0,0,0,0,0,0
1,1.9147,4,4,33333,4,1288.824,1301.037,0,0,0,0,0,0
2,1.9479,4,4,33333,4,1319.784,1322.083,0,0,0,0,0,0
3,1.9814,4,4,33333,4,1350.985,1353.927,0,0,0,0,0,0
4,2.0149,4,4,33333,4,99.293,1386.917,0,0,0,0,0,0
5,2.0484,4,4,33333,4,100.334,121.858,1,1,1,0,0,0
6,2.0819,4,4,33333,4,100.340,133.697,1,1,1,0,0,0
7,2.1155,4,4,33333,4,100.239,133.678,2,2,1,0,0,1
8,2.1483,4,4,33333,4,99.561,132.904,1,2,0,0,0,1
9,2.1994,4,4,33333,4,84.435,118.126,1,2,0,0,0,1
10,2.2149,4,4,33333,4,97.984,132.142,2,3,0,0,1,1
11,2.2845,4,4,33333,4,135.779,169.342,1,3,0,0,0,1
12,2.2870,4,4,33333,4,88.187,138.167,2,3,0,0,1,1
13,2.3149,4,4,33333,4,99.124,116.609,2,3,0,0,1,1
14,2.3544,4,4,33333,4,106.329,138.951,2,3,0,0,1,1
15,2.3817,4,4,33333,4,96.429,133.066,2,3,0,0,1,1
16,2.4150,4,4,33333,4,99.659,129.021,2,3,0,0,1,1
17,2.4483,4,4,33333,4,100.275,132.810,2,3,0,0,1,1
18,2.4816,4,4,33333,4,98.932,133.197,1,3,0,0,0,1
19,2.5149,4,4,33333,4,99.499,132.798,1,3,0,0,0,1
20,2.5483,4,4,33333,4,99.325,132.714,2,3,0,0,1,1
21,2.5816,4,4,33333,4,99.520,132.880,1,3,0,0,0,1
22,2.6149,4,4,33333,4,98.807,132.982,2,3,0,0,1,1
23,2.6483,4,4,33333,4,99.225,132.806,1,3,0,0,0,1
24,2.6816,4,4,33333,4,99.614,132.870,2,3,0,0,1,1
25,2.7149,4,4,33333,4,99.096,132.743,1,3,0,0,0,1
26,2.7480,4,4,33333,4,99.384,132.558,1,3,0,0,0,1
27,2.7816,4,4,33333,4,99.367,132.803,1,3,0,0,0,1
28,2.8148,4,4,33333,4,98.901,132.715,2,3,0,0,1,1
29,2.8486,4,4,33333,4,100.156,133.118,1,3,0,0,0,1
30,2.8815,4,4,33333,4,99.503,132.924,2,3,0,0,1,1
31,2.9148,4,4,33333,4,97.306,132.632,1,3,0,0,0,1
32,2.9484,4,4,33333,4,95.716,131.044,1,3,0,0,0,1
33,2.9816,4,4,33333,4,97.616,129.805,1,3,0,0,0,1
34,3.0154,4,4,33333,4,98.260,133.389,2,3,0,0,1,1
35,3.0494,4,4,33333,4,100.416,133.638,1,3,0,0,0,1
36,3.0821,4,4,33333,4,100.131,133.281,1,3,0,0,0,1
37,3.1148,4,4,33333,4,99.892,132.725,2,3,0,0,1,1
38,3.1487,4,4,33333,4,99.977,133.550,2,3,0,0,1,1
39,3.1817,4,4,33333,4,100.036,132.728,1,3,0,0,0,1
40,3.2149,4,4,33333,4,99.600,132.347,1,3,0,0,0,1
41,3.2480,4,4,33333,4,96.880,132.536,1,3,0,0,0,1
42,3.2820,4,4,33333,4,99.612,131.275,1,3,0,0,0,1
43,3.3153,4,4,33333,4,99.053,132.770,1,3,0,0,0,1
44,3.3483,4,4,33333,4,100.071,132.534,1,3,0,0,0,1
45,3.3816,4,4,33333,4,98.501,133.291,1,3,0,0,0,1
46,3.4148,4,4,33333,4,100.064,132.197,1,3,0,0,0,1
47,3.4483,4,2,16666,2,99.574,132.543,1,3,0,0,0,1
48,3.4824,4,2,16666,2,100.407,133.583,2,4,0,0,1,1
49,3.5147,4,2,16666,2,99.640,132.515,2,4,0,0,1,1
50,3.5488,4,2,16666,2,100.182,133.633,2,4,0,0,1,1
51,3.5814,2,2,16666,2,82.354,132.607,0,4,0,0,0,0
52,3.6145,2,2,16666,2,81.220,132.613,0,4,0,0,0,0
53,3.6490,2,2,16666,2,82.977,133.820,1,5,1,0,0,0
54,3.6815,2,2,16666,2,81.705,131.816,1,5,1,0,0,0
55,3.7148,2,2,16666,2,82.368,132.797,1,6,0,1,0,0
56,3.7482,2,2,16666,2,81.980,133.145,1,6,0,1,0,0
57,3.7814,2,2,16666,2,83.306,132.533,1,6,0,1,0,0
58,3.8147,2,2,16666,2,83.269,132.626,1,6,0,1,0,0
59,3.8481,2,2,16666,2,82.513,132.764,1,6,0,1,0,0
60,3.8820,2,2,16666,2,83.281,133.378,1,6,0,1,0,0
61,3.9154,2,2,16666,2,84.003,133.658,1,6,0,1,0,0
62,3.9490,2,2,16666,2,49.697,133.771,1,6,0,1,0,0
63,3.9824,1,2,16666,2,49.052,133.216,1,6,0,1,0,0
64,4.0154,2,2,16666,2,49.606,100.574,1,6,0,1,0,0
65,4.0485,2,2,16666,2,48.834,131.938,1,6,0,1,0,0
66,4.0813,2,2,16666,2,48.610,131.890,1,6,0,1,0,0
67,4.1149,2,2,16666,2,64.150,165.129,1,6,0,1,0,0
68,4.1482,2,2,16666,2,79.172,165.534,2,6,1,1,0,0
69,4.1817,2,2,16666,2,83.725,132.860,2,6,1,1,0,0
70,4.2149,2,2,16666,2,83.303,133.076,2,6,1,1,0,0
71,4.2482,2,2,16666,2,83.272,132.868,2,6,1,1,0,0
72,4.2816,2,2,16666,2,83.449,132.978,2,6,1,1,0,0
73,4.3149,2,2,16666,2,83.227,133.304,2,6,1,1,0,0
74,4.3482,2,2,16666,2,83.298,132.927,2,6,1,1,0,0
75,4.3816,2,2,16666,2,82.496,132.968,2,6,1,1,0,0
76,4.4151,2,2,16666,2,83.657,133.169,2,6,1,1,0,0
77,4.4489,2,2,16666,2,84.109,133.608,2,6,1,1,0,0
78,4.4816,2,2,16666,2,82.614,133.099,2,6,1,1,0,0
79,4.5148,2,2,16666,2,83.278,132.780,2,6,1,1,0,0
80,4.5482,2,2,16666,2,83.298,132.549,2,6,1,1,0,0
81,4.5816,2,2,16666,2,81.941,132.748,2,6,1,1,0,0
82,4.6147,2,2,16666,2,81.525,132.552,2,6,1,1,0,0
83,4.6482,2,2,16666,2,83.394,132.941,2,6,1,1,0,0
84,4.6815,2,2,16666,2,83.356,132.956,2,6,1,1,0,0
85,4.7148,2,2,16666,2,83.504,132.867,1,6,1,0,0,0
86,4.7485,2,2,16666,2,83.683,133.294,1,6,1,0,0,0
87,4.7817,2,2,16666,2,82.812,133.125,1,6,1,0,0,0
88,4.8147,2,2,16666,2,83.260,132.809,1,6,1,0,0,0
89,4.8484,2,2,16666,2,83.504,133.174,2,7,1,1,0,0
90,4.8815,2,2,16666,2,83.328,132.272,2,7,1,1,0,0
91,4.9149,2,2,16666,2,83.542,132.679,2,7,1,1,0,0
92,4.9481,2,2,16666,2,83.221,132.920,2,7,1,1,0,0
93,4.9815,2,2,16666,2,82.700,132.563,2,7,1,1,0,0
94,5.0149,2,2,16666,2,83.433,132.947,2,7,1,1,0,0
95,5.0482,2,2,16666,2,83.485,132.951,2,7,1,1,0,0
96,5.0815,2,2,16666,2,83.341,133.092,2,7,1,1,0,0
97,5.1148,2,2,16666,2,83.393,132.948,1,7,1,0,0,0
98,5.1481,2,2,16666,2,83.312,132.667,1,7,1,0,0,0
99,5.1814,2,2,16666,2,82.212,132.787,1,7,1,0,0,0
100,5.2148,2,2,16666,2,82.080,132.364,1,7,1,0,0,0
101,5.2481,2,2,16666,2,83.343,132.491,1,7,1,0,0,0
102,5.2815,2,2,16666,2,83.528,132.976,1,7,1,0,0,0
103,5.3146,2,2,16666,2,83.166,132.885,1,7,1,0,0,0
104,5.3479,2,2,16666,2,83.222,132.619,1,7,1,0,0,0
105,5.3812,3,2,16666,2,83.021,132.681,0,7,0,0,0,0
106,5.4641,4,2,16666,2,48.270,182.186,1,7,0,0,0,0
107,5.5535,4,2,16666,2,88.027,138.435,2,7,0,1,0,0
108,5.5558,4,2,16666,2,88.051,140.063,2,7,1,1,0,0
109,5.5567,2,2,16666,2,70.285,89.017,2,7,1,1,0,0
110,5.6387,4,2,16666,2,76.010,83.584,4,7,1,1,0,0
111,5.6434,4,2,16666,2,66.183,77.052,3,7,1,1,0,0
112,5.6537,2,2,16666,2,56.903,73.916,2,7,1,1,0,0
113,5.7078,4,2,16666,2,60.677,67.885,4,7,1,1,0,0
114,5.7147,4,2,16666,2,53.457,64.080,3,7,1,1,0,0
115,5.7333,2,2,16666,2,51.917,68.859,2,7,1,1,0,0
116,5.7791,4,2,16666,2,61.588,70.264,3,7,1,1,0,0
117,5.7840,4,2,16666,2,53.939,62.709,4,8,1,2,0,0
118,5.8149,2,2,16666,2,48.984,66.396,2,8,1,1,0,0
119,5.8481,4,2,16666,2,58.981,66.146,6,8,1,2,0,0
120,5.8816,4,2,16666,2,58.526,66.188,4,8,1,1,0,0
121,5.9148,2,2,16666,2,49.403,66.276,2,8,0,2,0,0
122,5.9482,4,2,16666,2,58.993,66.186,4,8,1,1,0,0
123,5.9829,4,2,16666,2,60.509,67.465,5,8,0,2,0,0
124,6.0148,1,2,16666,2,49.309,66.184,1,8,1,0,0,0
125,6.0483,4,2,16666,2,62.742,66.853,6,8,1,2,0,0
126,6.0813,1,2,16666,2,75.132,92.132,2,8,0,2,0,0
127,6.1149,4,2,16666,2,92.282,99.144,6,8,1,2,0,0
128,6.1480,1,2,16666,2,82.251,99.187,1,8,1,0,0,0
129,6.1816,4,2,16666,2,92.517,99.702,6,8,1,2,0,0
130,6.2148,1,2,16666,2,82.341,99.296,2,8,0,2,0,0
131,6.2481,4,2,16666,2,92.357,99.425,4,8,1,1,0,0
132,6.2815,1,2,16666,2,82.397,99.333,1,8,1,0,0,0
133,6.3148,4,2,16666,2,92.489,99.376,2,8,0,1,0,0
134,6.3480,1,2,16666,2,82.367,99.294,1,8,0,1,0,0
135,6.3812,4,2,16666,2,92.454,99.204,2,8,0,1,0,0
136,6.4147,1,2,16666,2,82.411,99.371,0,8,0,0,0,0
137,6.4481,3,2,16666,2,82.540,99.486,3,8,1,1,0,0
138,6.4813,2,2,16666,2,81.937,99.532,2,8,0,1,0,0
139,6.5149,4,2,16666,2,92.600,99.375,2,8,1,0,0,0
140,6.5481,1,2,16666,2,82.454,99.410,1,8,1,0,0,0
141,6.5815,3,2,16666,2,82.702,99.585,3,8,1,1,0,0
142,6.6146,2,2,16666,2,82.307,99.218,1,8,0,1,0,0
143,6.6482,4,2,16666,2,91.891,99.584,4,9,1,1,0,0
144,6.6813,1,2,16666,2,82.477,99.388,0,9,0,0,0,0
145,6.7148,3,2,16666,2,82.720,99.587,1,9,0,1,0,0
146,6.7481,2,2,16666,2,82.528,99.405,2,9,0,1,0,0
147,6.7816,4,2,16666,2,92.341,99.650,2,9,0,1,0,0
148,6.8147,1,2,16666,2,82.540,99.390,0,9,0,0,0,0
149,6.8480,3,2,16666,2,82.552,99.502,1,9,0,1,0,0
150,6.8815,2,2,16666,2,82.682,99.614,2,9,0,1,0,0
151,6.9149,4,2,16666,2,92.534,99.531,3,9,1,1,0,0
152,6.9481,1,2,16666,2,82.611,99.509,1,9,1,0,0,0
153,6.9815,3,2,16666,2,82.656,99.504,3,9,1,1,0,0
154,7.0147,2,2,16666,2,82.414,99.337,2,9,0,1,0,0
155,7.0483,4,2,16666,2,92.345,99.671,4,9,1,1,0,0
