batch_idx,t_mono,n_in_batch,n_active,timeout_us,mux_batch,compute_ms,e2e_ms,total_dets,new_ids_cum,dets_cam0,dets_cam1,dets_cam2,dets_cam3
0,1.8865,4,4,33333,4,1302.356,1303.165,0,0,0,0,0,0
1,1.8876,4,4,33333,4,1293.694,1303.918,0,0,0,0,0,0
2,1.9209,4,4,33333,4,1325.445,1335.177,0,0,0,0,0,0
3,1.9544,4,4,33333,4,1357.212,1360.184,0,0,0,0,0,0
4,1.9877,4,4,33333,4,99.729,1392.268,0,0,0,0,0,0
5,2.0217,4,4,33333,4,100.614,123.820,1,1,1,0,0,0
6,2.0553,4,4,33333,4,100.346,133.961,1,1,1,0,0,0
7,2.0881,4,4,33333,4,99.944,133.308,2,2,1,0,0,1
8,2.1211,4,4,33333,4,99.634,132.843,1,2,0,0,0,1
9,2.1831,4,4,33333,4,127.076,128.367,1,2,0,0,0,1
10,2.2071,4,4,33333,4,117.902,152.182,2,3,0,0,1,1
11,2.2217,4,4,33333,4,99.937,133.252,1,3,0,0,0,1
12,2.2545,4,4,33333,4,100.162,132.982,2,3,0,0,1,1
13,2.2888,4,4,33333,4,101.252,133.755,2,3,0,0,1,1
14,2.3211,4,4,33333,4,100.136,132.854,2,3,0,0,1,1
15,2.3690,4,4,33333,4,113.565,146.942,2,3,0,0,1,1
16,2.3880,4,4,33333,4,97.149,132.915,2,3,0,0,1,1
17,2.4212,4,4,33333,4,99.796,130.623,2,3,0,0,1,1
18,2.4545,4,4,33333,4,100.210,133.073,1,3,0,0,0,1
19,2.4878,4,4,33333,4,99.303,132.900,1,3,0,0,0,1
20,2.5211,4,4,33333,4,98.844,132.831,2,3,0,0,1,1
21,2.5545,4,4,33333,4,99.589,132.790,1,3,0,0,0,1
22,2.5879,4,4,33333,4,99.670,132.790,2,3,0,0,1,1
23,2.6209,4,4,33333,4,99.386,132.533,1,3,0,0,0,1
24,2.6545,4,4,33333,4,99.087,132.803,2,3,0,0,1,1
25,2.6878,4,4,33333,4,99.528,132.838,1,3,0,0,0,1
26,2.7212,4,4,33333,4,100.078,132.781,1,3,0,0,0,1
27,2.7546,4,4,33333,4,99.642,133.312,1,3,0,0,0,1
28,2.7885,4,4,33333,4,100.274,133.476,2,3,0,0,1,1
29,2.8212,4,4,33333,4,97.686,132.760,1,3,0,0,0,1
30,2.8542,4,4,33333,4,99.247,130.968,2,3,0,0,1,1
31,2.8879,4,4,33333,4,99.739,132.739,1,3,0,0,0,1
32,2.9215,4,4,33333,4,99.415,133.008,1,3,0,0,0,1
33,2.9544,4,4,33333,4,97.617,132.663,1,3,0,0,0,1
34,2.9877,4,4,33333,4,97.439,130.995,2,3,0,0,1,1
35,3.0211,4,4,33333,4,99.996,131.326,1,3,0,0,0,1
36,3.0544,4,4,33333,4,99.302,132.420,1,3,0,0,0,1
37,3.0877,4,4,33333,4,99.226,132.482,2,3,0,0,1,1
38,3.1210,4,4,33333,4,99.245,132.449,2,3,0,0,1,1
39,3.1547,4,4,33333,4,99.577,132.791,1,3,0,0,0,1
40,3.1881,4,4,33333,4,99.640,132.796,1,3,0,0,0,1
41,3.2211,4,4,33333,4,98.878,132.502,1,3,0,0,0,1
42,3.2543,4,4,33333,4,99.202,132.574,1,3,0,0,0,1
43,3.2878,4,4,33333,4,97.843,132.842,1,3,0,0,0,1
44,3.3212,4,4,33333,4,99.411,131.404,1,3,0,0,0,1
45,3.3545,4,4,33333,4,99.809,132.575,1,3,0,0,0,1
46,3.3877,4,4,33333,4,98.899,132.864,1,3,0,0,0,1
47,3.4212,4,2,16666,4,99.537,132.799,1,3,0,0,0,1
48,3.4545,4,2,16666,4,99.629,132.732,2,4,0,0,1,1
49,3.4878,4,2,16666,4,99.292,132.699,2,4,0,0,1,1
50,3.5217,4,2,16666,4,100.094,133.544,2,4,0,0,1,1
51,3.5549,2,2,16666,4,83.718,133.047,0,4,0,0,0,0
52,3.5878,2,2,16666,4,80.977,132.741,0,4,0,0,0,0
53,3.6208,2,2,16666,4,81.174,132.480,1,5,1,0,0,0
54,3.6543,2,2,16666,4,81.479,132.923,1,5,1,0,0,0
55,3.6878,2,2,16666,4,81.985,132.535,1,6,0,1,0,0
56,3.7210,2,2,16666,4,82.169,133.008,1,6,0,1,0,0
57,3.7557,2,2,16666,4,83.285,134.490,1,6,0,1,0,0
58,3.7877,2,2,16666,4,82.334,132.798,1,6,0,1,0,0
59,3.8223,2,2,16666,4,49.546,134.036,1,6,0,1,0,0
60,3.8555,2,2,16666,4,64.344,134.087,1,6,0,1,0,0
61,3.8886,2,2,16666,4,48.918,132.422,1,6,0,1,0,0
62,3.9219,2,2,16666,4,48.906,133.662,1,6,0,1,0,0
63,3.9555,2,2,16666,4,49.398,133.817,1,6,0,1,0,0
64,3.9887,2,2,16666,4,64.488,100.928,1,6,0,1,0,0
65,4.0210,2,2,16666,4,48.418,131.657,1,6,0,1,0,0
66,4.0550,2,2,16666,4,48.455,132.753,1,6,0,1,0,0
67,4.0877,2,2,16666,4,63.020,132.731,2,6,1,1,0,0
68,4.1211,2,2,16666,4,48.565,132.636,2,6,1,1,0,0
