batch_idx,t_mono,n_in_batch,n_active,timeout_us,mux_batch,compute_ms,e2e_ms,total_dets,new_ids_cum,dets_cam0,dets_cam1,dets_cam2,dets_cam3
0,1.8836,4,4,33333,4,1306.689,1307.745,0,0,0,0,0,0
1,1.8848,4,4,33333,4,1299.136,1308.147,0,0,0,0,0,0
2,1.9180,4,4,33333,4,1330.248,1332.428,0,0,0,0,0,0
3,1.9516,4,4,33333,4,1361.947,1364.056,0,0,0,0,0,0
4,1.9850,4,4,33333,4,99.891,1395.525,0,0,0,0,0,0
5,2.0184,4,4,33333,4,100.156,121.896,1,1,1,0,0,0
6,2.0527,4,4,33333,4,100.499,134.370,1,1,1,0,0,0
7,2.0858,4,4,33333,4,100.290,133.775,2,2,1,0,0,1
8,2.1956,4,4,33333,4,176.657,210.370,1,2,0,0,0,1
9,2.1972,4,4,33333,4,111.471,144.498,1,2,0,0,0,1
10,2.1997,4,4,33333,4,112.497,145.328,2,3,0,0,1,1
11,2.2181,4,4,33333,4,99.823,132.766,1,3,0,0,0,1
12,2.3068,4,4,33333,4,110.628,187.817,2,3,0,0,1,1
13,2.3116,4,4,33333,4,112.644,114.902,2,3,0,0,1,1
14,2.3205,4,4,33333,4,102.035,121.453,2,3,0,0,1,1
15,2.3956,4,4,33333,4,144.123,176.995,2,3,0,0,1,1
16,2.3976,4,4,33333,4,90.076,145.344,2,3,0,0,1,1
17,2.4183,4,4,33333,4,100.331,110.113,2,3,0,0,1,1
18,2.4793,4,4,33333,4,126.969,160.607,1,3,0,0,0,1
19,2.4848,4,4,33333,4,88.346,132.425,1,3,0,0,0,1
20,2.5182,4,4,33333,4,99.422,121.337,2,3,0,0,1,1
21,2.5517,4,4,33333,4,100.156,132.801,1,3,0,0,0,1
22,2.5850,4,4,33333,4,99.760,132.792,2,3,0,0,1,1
23,2.6182,4,4,33333,4,99.178,132.713,1,3,0,0,0,1
24,2.6518,4,4,33333,4,99.340,132.691,2,3,0,0,1,1
