batch_idx,t_mono,n_in_batch,n_active,timeout_us,mux_batch,compute_ms,e2e_ms,total_dets,new_ids_cum,dets_cam0,dets_cam1,dets_cam2,dets_cam3
0,1.9055,4,4,33333,4,1317.773,1321.880,0,0,0,0,0,0
1,1.9737,4,4,33333,4,1377.799,1388.035,0,0,0,0,0,0
2,2.0069,4,4,33333,4,1409.255,1419.121,0,0,0,0,0,0
3,2.0403,4,4,33333,4,1440.781,1444.601,0,0,0,0,0,0
4,2.0802,4,4,33333,4,91.416,1482.866,0,0,0,0,0,0
5,2.1070,4,4,33333,4,99.047,118.839,1,1,1,0,0,0
6,2.1402,4,4,33333,4,98.712,132.703,2,2,1,0,0,1
7,2.1737,4,4,33333,4,98.645,132.727,1,2,0,0,0,1
8,2.2070,4,4,33333,4,98.906,132.571,1,2,0,0,0,1
9,2.2402,4,4,33333,4,99.273,132.721,2,3,0,0,1,1
10,2.2738,4,4,33333,4,99.176,133.248,1,3,0,0,0,1
11,2.3132,4,4,33333,4,72.200,139.097,2,3,0,0,1,1
12,2.3403,4,4,33333,4,97.473,132.687,2,3,0,0,1,1
13,2.3735,4,4,33333,4,99.179,132.884,2,3,0,0,1,1
14,2.4071,4,4,33333,4,98.854,133.060,2,3,0,0,1,1
15,2.4403,4,4,33333,4,99.118,132.733,2,3,0,0,1,1
16,2.4737,4,4,33333,4,99.310,132.968,2,3,0,0,1,1
17,2.5080,4,4,33333,4,99.926,134.126,1,3,0,0,0,1
18,2.5411,4,4,33333,4,99.671,133.578,1,3,0,0,0,1
19,2.5737,4,4,33333,4,99.051,132.904,2,3,0,0,1,1
20,2.6072,4,4,33333,4,98.894,133.047,1,3,0,0,0,1
21,2.6405,4,4,33333,4,98.882,133.194,2,3,0,0,1,1
22,2.6736,4,4,33333,4,98.534,132.949,1,3,0,0,0,1
23,2.7071,4,4,33333,4,99.148,132.457,2,3,0,0,1,1
24,2.7403,4,4,33333,4,99.094,132.790,1,3,0,0,0,1
25,2.7733,4,4,33333,4,98.936,132.563,1,3,0,0,0,1
26,2.8068,4,4,33333,4,98.868,132.833,1,3,0,0,0,1
27,2.8410,4,4,33333,4,66.530,133.599,2,3,0,0,1,1
28,2.8743,4,4,33333,4,98.306,133.774,1,3,0,0,0,1
29,2.9082,4,4,33333,4,68.055,134.357,2,3,0,0,1,1
30,2.9401,4,4,33333,4,66.465,132.893,1,3,0,0,0,1
31,2.9736,4,4,33333,4,65.578,133.029,1,3,0,0,0,1
32,3.0069,4,4,33333,4,96.461,133.046,1,3,0,0,0,1
33,3.0401,4,4,33333,4,99.104,132.387,2,3,0,0,1,1
34,3.0739,4,4,33333,4,99.414,133.265,1,3,0,0,0,1
35,3.1068,4,4,33333,4,99.100,132.814,1,3,0,0,0,1
36,3.1402,4,4,33333,4,66.372,132.987,2,3,0,0,1,1
37,3.1745,4,4,33333,4,66.540,134.057,2,3,0,0,1,1
