batch_idx,t_mono,n_in_batch,n_real,n_active,active_mask,timeout_us,mux_batch,compute_ms,e2e_ms,total_dets,new_ids_cum,dets_cam0,dets_cam1,dets_cam2,dets_cam3
0,2.3187,1,1,4,1111,33333,4,1227.351,1306.773,0,0,0,0,0,0
1,2.3783,1,1,4,1111,33333,4,1253.909,1356.975,0,0,0,0,0,0
2,2.5171,1,1,4,1111,33333,4,1359.244,1474.175,0,0,0,0,0,0
3,2.5287,1,1,4,1111,33333,4,1337.501,1453.905,0,0,0,0,0,0
4,2.6248,1,1,4,1111,33333,4,83.957,1064.520,0,0,0,0,0,0
5,2.7480,1,1,4,1111,33333,4,206.395,1172.808,0,0,0,0,0,0
6,2.7814,1,1,4,1111,33333,4,239.170,1170.971,0,0,0,0,0,0
7,2.8146,1,1,4,1111,33333,4,270.919,1171.985,0,0,0,0,0,0
8,2.9248,1,1,4,1111,33333,4,76.713,798.183,0,0,0,0,0,0
9,2.9370,1,1,4,1111,33333,4,87.636,791.510,0,0,0,0,0,0
10,2.9477,1,1,4,1111,33333,4,97.750,770.911,0,0,0,0,0,0
11,2.9813,1,1,4,1111,33333,4,130.790,772.830,0,0,0,0,0,0
12,3.0735,1,1,4,1111,33333,4,58.082,211.456,0,0,0,0,0,0
13,3.0861,1,1,4,1111,33333,4,69.821,219.841,0,0,0,0,0,0
14,3.0951,1,1,4,1111,33333,4,78.356,226.315,0,0,0,0,0,0
15,3.1149,1,1,4,1111,33333,4,97.559,243.515,0,0,0,0,0,0
