batch_idx,t_mono,n_in_batch,n_real,n_active,active_mask,timeout_us,mux_batch,compute_ms,e2e_ms,total_dets,new_ids_cum,dets_cam0,dets_cam1,dets_cam2,dets_cam3
0,2.2727,1,1,4,1111,33333,4,1211.625,1267.108,0,0,0,0,0,0
1,2.3330,1,1,4,1111,33333,4,1238.781,1317.066,0,0,0,0,0,0
2,2.3986,1,1,4,1111,33333,4,1270.960,1354.867,0,0,0,0,0,0
3,2.4102,1,1,4,1111,33333,4,1249.269,1335.003,0,0,0,0,0,0
4,2.5095,1,1,4,1111,33333,4,88.118,981.491,0,0,0,0,0,0
5,2.6281,1,1,4,1111,33333,4,205.850,1080.738,0,0,0,0,0,0
6,2.6613,1,1,4,1111,33333,4,238.400,1083.198,0,0,0,0,0,0
7,2.6947,1,1,4,1111,33333,4,270.558,1084.729,0,0,0,0,0,0
8,2.8021,1,1,4,1111,33333,4,73.973,710.250,0,0,0,0,0,0
9,2.8147,1,1,4,1111,33333,4,85.530,703.419,0,0,0,0,0,0
10,2.8277,1,1,4,1111,33333,4,98.208,682.441,0,0,0,0,0,0
11,2.8616,1,1,4,1111,33333,4,130.502,684.484,0,0,0,0,0,0
12,2.9724,1,1,4,1111,33333,4,76.931,226.891,0,0,0,0,0,0
13,2.9859,1,1,4,1111,33333,4,89.792,237.789,0,0,0,0,0,0
14,2.9969,1,1,4,1111,33333,4,100.375,244.906,0,0,0,0,0,0
15,3.0061,1,1,4,1111,33333,4,109.207,225.624,0,0,0,0,0,0
16,3.0428,1,1,4,1111,33333,4,15.362,45.324,0,0,0,0,0,0
17,3.0796,1,1,4,1111,33333,4,18.861,66.640,1,1,0,0,0,1
18,3.1138,1,1,4,1111,33333,4,19.549,60.674,2,2,0,0,0,2
19,3.1468,1,1,4,1111,33333,4,19.347,66.693,2,2,0,0,0,2
20,3.1801,1,1,4,1111,33333,4,19.302,67.818,2,2,0,0,0,2
21,3.2138,1,1,4,1111,33333,4,19.644,65.553,2,2,0,0,0,2
22,3.2468,1,1,4,1111,33333,4,19.345,66.444,2,2,0,0,0,2
23,3.2798,1,1,4,1111,33333,4,19.057,67.686,2,2,0,0,0,2
24,3.3136,1,1,4,1111,33333,4,19.494,65.339,2,2,0,0,0,2
25,3.3469,1,1,4,1111,33333,4,19.429,66.813,2,2,0,0,0,2
26,3.3801,1,1,4,1111,33333,4,19.401,68.044,2,2,0,0,0,2
27,3.4134,1,1,4,1111,33333,4,19.336,65.234,2,2,0,0,0,2
28,3.4466,1,1,4,1111,33333,4,19.197,66.030,2,2,0,0,0,2
29,3.4797,1,1,4,1111,33333,4,18.969,57.977,2,2,0,0,0,2
30,3.5136,1,1,4,1111,33333,4,19.533,65.602,2,2,0,0,0,2
31,3.5469,1,1,4,1111,33333,4,19.507,66.950,2,2,0,0,0,2
32,3.5801,1,1,4,1111,33333,4,19.362,58.355,2,2,0,0,0,2
33,3.6136,1,1,4,1111,33333,4,19.541,65.575,2,2,0,0,0,2
34,3.6470,1,1,4,1111,33333,4,19.527,66.682,2,2,0,0,0,2
35,3.6807,1,1,4,1111,33333,4,19.906,58.927,2,2,0,0,0,2
36,3.7143,1,1,4,1111,33333,4,20.200,66.236,2,2,0,0,0,2
37,3.7467,1,1,4,1111,33333,4,19.281,66.621,2,2,0,0,0,2
38,3.7805,1,1,4,1111,33333,4,19.757,61.077,2,2,0,0,0,2
39,3.8141,1,1,4,1111,33333,4,20.012,65.993,2,2,0,0,0,2
40,3.8470,1,1,4,1111,33333,4,19.646,66.937,2,2,0,0,0,2
41,3.8807,1,1,4,1111,33333,4,19.992,58.836,2,2,0,0,0,2
42,3.9138,1,1,4,1111,33333,4,19.757,65.824,2,2,0,0,0,2
43,3.9472,1,1,4,1111,33333,4,19.805,67.085,2,2,0,0,0,2
44,3.9809,1,1,4,1111,33333,4,20.113,58.991,2,2,0,0,0,2
45,4.0140,1,1,4,1111,33333,4,19.939,66.076,2,2,0,0,0,2
46,4.0472,1,1,4,1111,33333,4,19.816,67.157,2,2,0,0,0,2
47,4.0810,1,1,4,1111,33333,4,20.192,68.851,2,2,0,0,0,2
48,4.1139,1,1,4,1111,33333,4,19.842,65.886,2,2,0,0,0,2
49,4.1474,1,1,4,1111,33333,4,19.931,67.335,2,2,0,0,0,2
50,4.1806,1,1,4,1111,33333,4,19.790,68.528,2,2,0,0,0,2
51,4.2146,1,1,4,1111,33333,4,20.475,66.562,2,2,0,0,0,2
52,4.2474,1,1,4,1111,33333,4,19.900,67.361,2,2,0,0,0,2
53,4.2809,1,1,4,1111,33333,4,20.039,68.785,2,2,0,0,0,2
54,4.3146,1,1,4,1111,33333,4,20.483,66.636,2,2,0,0,0,2
55,4.3475,1,1,4,1111,33333,4,19.910,67.441,2,2,0,0,0,2
56,4.3807,1,1,4,1111,33333,4,19.930,64.318,2,2,0,0,0,2
57,4.4147,1,1,4,1111,33333,4,20.595,66.647,2,2,0,0,0,2
58,4.4479,1,1,4,1111,33333,4,20.511,67.808,2,2,0,0,0,2
59,4.4817,1,1,4,1111,33333,4,20.898,65.610,2,2,0,0,0,2
60,4.5148,1,1,4,1111,33333,4,20.737,66.703,2,2,0,0,0,2
61,4.5482,1,1,4,1111,33333,4,20.864,68.154,2,2,0,0,0,2
62,4.5809,1,1,4,1111,33333,4,20.193,64.839,2,2,0,0,0,2
63,4.6145,1,1,4,1111,33333,4,20.424,66.021,2,2,0,0,0,2
64,4.6479,1,1,4,1111,33333,4,20.472,59.801,2,2,0,0,0,2
65,4.6809,1,1,4,1111,33333,4,20.184,61.717,2,2,0,0,0,2
66,4.7144,1,1,4,1111,33333,4,20.330,66.306,2,2,0,0,0,2
67,4.7478,1,1,4,1111,33333,4,20.465,59.847,2,2,0,0,0,2
68,4.7812,1,1,4,1111,33333,4,20.456,62.110,2,2,0,0,0,2
69,4.8149,1,1,4,1111,33333,4,20.840,66.867,2,2,0,0,0,2
70,4.8481,1,1,4,1111,33333,4,20.765,59.894,2,2,0,0,0,2
71,4.8808,1,1,4,1111,33333,4,20.103,64.752,2,2,0,0,0,2
72,4.9142,1,1,4,1111,33333,4,20.113,65.833,2,2,0,0,0,2
73,4.9480,1,1,4,1111,33333,4,20.559,60.095,2,2,0,0,0,2
74,4.9815,1,1,4,1111,33333,4,20.836,60.344,2,2,0,0,0,2
75,5.0150,1,1,4,1111,33333,4,20.933,59.972,2,2,0,0,0,2
76,5.0483,1,1,4,1111,33333,4,20.895,59.672,2,2,0,0,0,2
77,5.0815,1,1,4,1111,33333,4,20.813,65.518,2,2,0,0,0,2
78,5.1151,1,1,4,1111,33333,4,21.052,59.713,2,2,0,0,0,2
79,5.1480,1,1,4,1111,33333,4,20.612,59.169,2,2,0,0,0,2
80,5.1818,1,1,4,1111,33333,4,21.064,65.731,2,2,0,0,0,2
81,5.2149,1,1,4,1111,33333,4,20.819,57.754,2,2,0,0,0,2
82,5.2487,1,1,4,1111,33333,4,21.327,59.873,2,2,0,0,0,2
83,5.2816,1,1,4,1111,33333,4,20.897,65.451,2,2,0,0,0,2
84,5.3141,1,1,4,1111,33333,4,20.015,58.121,2,2,0,0,0,2
85,5.3488,1,1,4,1111,33333,4,21.464,60.108,3,3,0,0,0,3
86,5.3808,1,1,4,1111,33333,4,20.141,59.712,3,3,0,0,0,3
87,5.4141,1,1,4,1111,33333,4,20.084,57.929,3,3,0,0,0,3
88,5.4474,1,1,4,1111,33333,4,20.061,59.152,3,3,0,0,0,3
89,5.4819,1,1,4,1111,33333,4,20.145,60.756,3,3,0,0,0,3
90,5.5142,1,1,4,1111,33333,4,20.123,58.553,3,3,0,0,0,3
91,5.5479,1,1,4,1111,33333,4,20.487,58.846,3,3,0,0,0,3
92,5.5815,1,1,4,1111,33333,4,20.786,60.133,3,3,0,0,0,3
93,5.6148,1,1,4,1111,33333,4,20.772,59.062,2,3,0,0,0,2
94,5.6477,1,1,4,1111,33333,4,20.279,58.871,3,3,0,0,0,3
95,5.6810,1,1,4,1111,33333,4,20.273,58.067,3,3,0,0,0,3
96,5.7143,1,1,4,1111,33333,4,20.257,58.505,3,3,0,0,0,3
97,5.7480,1,1,4,1111,33333,4,20.656,59.912,2,3,0,0,0,2
98,5.7811,1,1,4,1111,33333,4,20.437,59.763,2,3,0,0,0,2
99,5.8151,1,1,4,1111,33333,4,21.131,60.048,2,3,0,0,0,2
100,5.8470,1,1,4,1111,33333,4,19.614,58.787,2,3,0,0,0,2
101,5.8812,1,1,4,1111,33333,4,20.465,58.963,2,3,0,0,0,2
102,5.9147,1,1,4,1111,33333,4,20.636,60.647,2,3,0,0,0,2
103,5.9477,1,1,4,1111,33333,4,20.378,59.484,2,3,0,0,0,2
104,5.9811,1,1,4,1111,33333,4,20.422,59.397,2,3,0,0,0,2
105,6.0149,1,1,4,1111,33333,4,20.817,59.046,2,3,0,0,0,2
106,6.0478,1,1,4,1111,33333,4,20.491,59.667,2,3,0,0,0,2
107,6.0817,1,1,4,1111,33333,4,20.978,59.688,2,3,0,0,0,2
108,6.1143,1,1,4,1111,33333,4,20.324,58.378,2,3,0,0,0,2
109,6.1475,1,1,4,1111,33333,4,20.172,57.769,2,3,0,0,0,2
110,6.1810,1,1,4,1111,33333,4,20.288,59.570,2,3,0,0,0,2
111,6.2148,1,1,4,1111,33333,4,20.801,60.210,2,3,0,0,0,2
112,6.2480,1,1,4,1111,33333,4,20.663,58.930,2,3,0,0,0,2
113,6.2812,1,1,4,1111,33333,4,20.459,59.222,2,3,0,0,0,2
114,6.3141,1,1,4,1111,33333,4,20.079,59.002,2,3,0,0,0,2
115,6.3475,1,1,4,1111,33333,4,20.148,59.205,2,3,0,0,0,2
116,6.3811,1,1,4,1111,33333,4,20.387,59.907,2,3,0,0,0,2
117,6.4145,1,1,4,1111,33333,4,20.518,58.940,2,3,0,0,0,2
118,6.4481,1,1,4,1111,33333,4,20.704,59.875,2,3,0,0,0,2
119,6.4807,1,1,4,1111,33333,4,20.017,59.074,2,3,0,0,0,2
120,6.5146,1,1,4,1111,33333,4,20.555,56.276,2,3,0,0,0,2
121,6.5481,1,1,4,1111,33333,4,20.716,57.461,2,3,0,0,0,2
122,6.5810,1,1,4,1111,33333,4,20.274,59.342,2,3,0,0,0,2
123,6.6149,1,1,4,1111,33333,4,20.900,58.734,2,3,0,0,0,2
124,6.6483,1,1,4,1111,33333,4,20.922,60.018,2,3,0,0,0,2
125,6.6820,1,1,4,1111,33333,4,21.126,59.923,2,3,0,0,0,2
126,6.7147,1,1,4,1111,33333,4,20.700,58.027,2,3,0,0,0,2
127,6.7479,1,1,4,1111,33333,4,20.456,58.757,2,3,0,0,0,2
128,6.7817,1,1,4,1111,33333,4,21.017,59.890,2,3,0,0,0,2
