batch_idx,t_mono,n_in_batch,n_real,n_active,active_mask,timeout_us,mux_batch,compute_ms,e2e_ms,total_dets,new_ids_cum,dets_cam0,dets_cam1,dets_cam2,dets_cam3,drops_cum,arrivals_cum
0,1.6358,4,4,4,1111,33333,4,1210.544,1211.727,0,0,0,0,0,0,0,20
1,1.6363,4,4,4,1111,33333,4,1206.572,1210.961,0,0,0,0,0,0,0,20
2,1.6364,4,4,4,1111,33333,4,1205.548,1208.996,0,0,0,0,0,0,0,20
3,1.6365,4,4,4,1111,33333,4,1203.136,1206.918,0,0,0,0,0,0,0,20
4,1.6366,4,4,4,1111,33333,4,1201.969,1202.052,0,0,0,0,0,0,0,20
5,1.6950,2,2,4,1111,33333,4,49.664,49.868,1,1,1,0,0,0,0,40
6,1.7072,4,4,4,1111,33333,4,58.301,61.677,1,1,1,0,0,0,0,42
7,1.7187,4,4,4,1111,33333,4,68.893,72.277,1,1,1,0,0,0,0,46
8,1.7687,4,4,4,1111,33333,4,118.001,120.438,1,2,0,0,0,1,0,50
9,1.7817,4,4,4,1111,33333,4,129.909,131.545,1,2,0,0,0,1,0,54
10,1.7834,2,2,4,1111,33333,4,89.031,89.117,1,2,0,0,0,1,0,57
11,1.7851,2,2,4,1111,33333,4,78.104,89.546,1,3,0,0,1,0,0,58
12,1.8396,4,4,4,1111,33333,4,131.698,131.915,1,3,0,0,0,1,0,62
13,1.8410,3,3,4,1111,33333,4,73.745,121.701,2,3,0,0,1,1,0,66
14,1.8430,4,4,4,1111,33333,4,73.558,75.705,2,3,0,0,1,1,0,66
15,1.8530,1,1,4,1111,33333,4,70.728,83.639,0,3,0,0,0,0,0,69
16,1.9200,4,4,4,1111,33333,4,136.057,137.686,2,3,0,0,1,1,0,74
17,1.9341,4,4,4,1111,33333,4,103.821,147.654,2,3,0,0,1,1,0,78
18,1.9361,3,3,4,1111,33333,4,95.884,95.979,1,3,0,0,1,0,0,82
19,1.9394,4,4,4,1111,33333,4,88.028,99.142,2,3,0,0,1,1,0,82
20,1.9678,3,3,4,1111,33333,4,107.388,113.503,1,3,0,0,0,1,0,89
21,1.9691,2,2,4,1111,33333,4,50.960,105.947,1,3,0,0,0,1,0,92
22,2.0404,4,4,4,1111,33333,4,119.708,119.902,1,3,0,0,0,1,0,94
23,2.0423,4,4,4,1111,33333,4,107.316,107.520,2,3,0,0,1,1,0,98
24,2.0438,3,3,4,1111,33333,4,100.055,103.844,1,3,0,0,0,1,0,98
25,2.0452,3,3,4,1111,33333,4,91.796,98.765,1,3,0,0,1,0,0,99
26,2.0540,1,1,4,1111,33333,4,86.758,100.620,0,3,0,0,0,0,0,101
27,2.1073,4,4,4,1111,33333,4,123.495,139.001,1,3,0,0,0,1,0,109
28,2.1094,1,1,4,1111,33333,4,74.782,139.199,1,3,0,0,0,1,0,113
29,2.1235,4,4,4,1111,33333,4,78.623,82.495,2,3,0,0,1,1,0,114
30,2.1272,4,4,4,1111,33333,4,71.507,82.392,1,3,0,0,0,1,0,117
31,2.1649,3,3,4,1111,33333,4,100.339,106.589,1,3,0,0,0,1,0,122
32,2.1697,3,3,4,1111,33333,4,93.906,102.490,0,3,0,0,0,0,0,125
33,2.1706,1,1,4,1111,33333,4,68.351,94.602,0,3,0,0,0,0,0,127
34,2.2160,4,4,4,1111,33333,4,108.003,108.084,2,3,0,0,1,1,0,129
35,2.2170,1,1,4,1111,33333,4,95.003,98.231,1,3,0,0,0,1,0,133
36,2.2200,3,3,4,1111,33333,4,81.470,95.982,1,3,0,0,0,1,0,133
37,2.2570,4,4,4,1111,33333,4,96.143,123.688,2,3,0,0,1,1,0,137
38,2.2666,3,3,4,1111,33333,4,96.705,127.953,1,3,0,0,0,1,0,141
39,2.2677,2,2,4,1111,33333,4,82.893,102.293,0,3,0,0,0,0,0,142
40,2.3060,3,3,4,1111,33333,4,95.125,135.748,0,3,0,0,0,0,0,146
41,2.3087,4,4,4,1111,33333,4,88.465,92.051,1,3,0,0,0,1,0,149
42,2.3334,2,2,4,1111,33333,4,100.607,113.309,1,3,0,0,0,1,0,153
43,2.3348,2,2,4,1111,33333,4,79.132,101.977,2,3,0,0,1,1,0,155
44,2.4221,4,4,4,1111,33333,4,160.384,164.495,1,3,0,0,0,1,0,157
45,2.4249,4,4,4,1111,33333,4,119.102,157.790,1,3,0,0,0,1,0,161
46,2.4281,4,4,4,1111,33333,4,118.783,150.480,2,3,0,0,1,1,0,162
47,2.4361,3,3,4,1111,33333,4,114.209,129.472,1,3,0,0,1,0,0,164
48,2.4371,1,1,4,1111,33333,4,103.939,126.829,0,3,0,0,0,0,0,165
49,2.4389,3,3,4,1111,33333,4,89.389,105.005,1,3,0,0,0,1,0,165
50,2.4484,1,1,4,1111,33333,4,75.680,98.915,1,3,0,0,0,1,0,169
51,2.5447,3,3,4,1111,33333,4,121.880,121.997,0,3,0,0,0,0,0,177
52,2.5483,4,4,4,1111,33333,4,114.423,125.362,1,3,0,0,0,1,0,180
53,2.5504,3,3,4,1111,33333,4,107.445,113.741,1,3,0,0,0,1,0,182
54,2.5526,4,4,4,1111,33333,4,99.737,106.839,1,3,0,0,0,1,0,183
55,2.5628,4,4,4,1111,33333,4,100.164,107.739,1,3,0,0,0,1,0,186
56,2.5641,2,2,4,1111,33333,4,88.859,101.590,1,3,0,0,0,1,0,186
57,2.6044,3,3,4,1111,33333,4,58.938,59.051,0,3,0,0,0,0,0,197
58,2.6077,4,4,4,1111,33333,4,51.444,58.655,1,3,0,0,0,1,0,200
59,2.6441,3,3,4,1111,33333,4,78.711,84.709,1,3,0,0,0,1,0,204
60,2.6550,3,3,4,1111,33333,4,79.500,86.742,1,3,0,0,0,1,0,207
61,2.6640,4,4,4,1111,33333,4,60.301,88.493,2,4,0,0,1,1,0,210
62,2.7230,4,4,4,1111,33333,4,117.872,139.415,2,4,0,0,1,1,0,214
63,2.7334,4,4,4,1111,33333,4,120.421,128.346,2,4,0,0,1,1,0,218
64,2.7387,2,2,4,1111,33333,4,95.108,130.431,0,4,0,0,0,0,0,222
65,2.7411,4,4,4,1111,33333,4,85.391,96.466,2,4,0,0,1,1,0,222
66,2.7828,3,3,4,1111,33333,4,118.245,127.156,2,4,0,0,1,1,0,228
67,2.7937,3,3,4,1111,33333,4,72.861,129.234,2,5,1,0,0,1,0,231
68,2.7962,4,4,4,1111,33333,4,72.396,72.527,3,5,1,0,1,1,0,234
69,2.8187,2,2,4,1111,33333,4,84.452,84.568,1,5,0,0,0,1,0,237
70,2.8505,4,4,4,1111,33333,4,106.373,115.676,1,5,0,0,0,1,0,240
71,2.8526,3,3,4,1111,33333,4,71.540,105.763,1,6,0,1,0,0,0,244
72,2.8976,4,4,4,1111,33333,4,114.019,145.859,2,6,0,1,0,1,0,247
73,2.9037,3,3,4,1111,33333,4,109.350,109.446,2,6,0,1,0,1,0,250
74,2.9087,2,2,4,1111,33333,4,91.446,108.756,2,6,0,1,0,1,0,253
75,2.9369,2,2,4,1111,33333,4,110.954,119.612,1,6,0,0,0,1,0,256
76,2.9383,2,2,4,1111,33333,4,89.836,118.956,0,6,0,0,0,0,0,258
77,2.9814,4,4,4,1111,33333,4,114.994,130.222,2,6,0,1,0,1,0,260
78,2.9930,3,3,4,1111,33333,4,96.179,135.017,1,6,0,1,0,0,0,264
79,2.9975,4,4,4,1111,33333,4,92.265,99.281,2,6,0,1,0,1,0,267
80,3.0284,3,3,4,1111,33333,4,110.656,124.229,2,6,0,1,0,1,0,271
81,3.0341,2,2,4,1111,33333,4,97.311,118.329,2,6,0,1,0,1,0,274
82,3.0407,2,2,4,1111,33333,4,61.141,103.184,1,6,0,0,0,1,0,276
83,3.0952,4,4,4,1111,33333,4,112.820,154.084,2,6,0,1,0,1,0,278
84,3.0966,2,2,4,1111,33333,4,102.575,114.528,0,6,0,0,0,0,0,282
85,3.0999,4,4,4,1111,33333,4,90.163,106.176,2,6,0,1,0,1,0,283
86,3.1505,3,3,4,1111,33333,4,122.790,151.448,2,6,1,1,0,0,0,288
87,3.1521,3,3,4,1111,33333,4,112.622,122.980,3,6,1,1,0,1,0,291
88,3.1537,3,3,4,1111,33333,4,96.976,117.786,3,6,0,1,1,1,0,292
89,3.1706,1,1,4,1111,33333,4,80.608,124.996,1,6,0,0,0,1,0,296
90,3.2355,4,4,4,1111,33333,4,139.533,139.722,4,6,1,1,1,1,0,298
91,3.2488,4,4,4,1111,33333,4,98.768,149.606,3,6,1,1,0,1,0,302
92,3.2521,4,4,4,1111,33333,4,99.345,139.457,3,6,1,1,0,1,0,306
93,3.2553,3,3,4,1111,33333,4,93.164,104.097,2,6,1,1,0,0,0,307
