batch_idx,t_mono,n_in_batch,n_real,n_active,active_mask,timeout_us,mux_batch,compute_ms,e2e_ms,total_dets,new_ids_cum,dets_cam0,dets_cam1,dets_cam2,dets_cam3,drops_cum,arrivals_cum
0,1.7503,4,4,4,1111,33333,4,1298.735,1300.093,0,0,0,0,0,0,0,20
1,1.7508,4,4,4,1111,33333,4,1292.686,1299.429,0,0,0,0,0,0,0,20
2,1.7509,4,4,4,1111,33333,4,1291.606,1297.405,0,0,0,0,0,0,0,20
3,1.7510,4,4,4,1111,33333,4,1289.894,1295.220,0,0,0,0,0,0,0,20
4,1.7511,4,4,4,1111,33333,4,1287.029,1290.327,0,0,0,0,0,0,0,20
5,1.8299,2,2,4,1111,33333,4,70.146,70.273,0,0,0,0,0,0,0,40
6,1.8354,4,4,4,1111,33333,4,72.124,75.643,1,1,1,0,0,0,0,42
7,1.8532,4,4,4,1111,33333,4,88.589,92.367,1,1,1,0,0,0,0,46
8,1.8794,4,4,4,1111,33333,4,113.716,116.704,2,2,1,0,0,1,0,50
9,1.8814,4,4,4,1111,33333,4,114.232,116.899,1,2,0,0,0,1,0,54
10,1.9112,2,2,4,1111,33333,4,84.671,143.992,1,2,0,0,0,1,0,58
11,1.9159,4,4,4,1111,33333,4,79.886,85.403,2,3,0,0,1,1,0,60
12,1.9461,2,2,4,1111,33333,4,100.345,110.091,0,3,0,0,0,0,0,64
13,1.9488,4,4,4,1111,33333,4,94.851,95.074,2,3,0,0,1,1,0,66
14,1.9871,1,1,4,1111,33333,4,107.089,107.194,1,3,0,0,0,1,0,70
15,2.1197,4,4,4,1111,33333,4,213.481,239.632,2,3,0,0,1,1,0,71
16,2.1259,4,4,4,1111,33333,4,213.613,242.282,2,3,0,0,1,1,0,75
17,2.1412,4,4,4,1111,33333,4,199.602,229.514,2,3,0,0,1,1,0,79
18,2.1447,4,4,4,1111,33333,4,195.124,227.655,2,3,0,0,1,1,0,82
19,2.1474,4,4,4,1111,33333,4,159.396,197.948,2,3,0,0,1,1,0,83
20,2.1993,3,3,4,1111,33333,4,78.789,78.908,0,3,0,0,0,0,0,91
21,2.2018,3,3,4,1111,33333,4,70.621,81.364,1,3,0,0,0,1,0,94
