batch_idx,t_mono,n_in_batch,n_real,n_active,active_mask,timeout_us,mux_batch,compute_ms,e2e_ms,total_dets,new_ids_cum,dets_cam0,dets_cam1,dets_cam2,dets_cam3,drops_cum,arrivals_cum
0,1.6501,4,4,4,1111,33333,4,1222.709,1223.881,0,0,0,0,0,0,0,20
1,1.6506,4,4,4,1111,33333,4,1218.226,1223.237,0,0,0,0,0,0,0,20
2,1.6507,4,4,4,1111,33333,4,1217.124,1221.358,0,0,0,0,0,0,0,20
3,1.6508,4,4,4,1111,33333,4,1215.994,1219.315,0,0,0,0,0,0,0,20
4,1.6509,4,4,4,1111,33333,4,1215.117,1216.381,0,0,0,0,0,0,0,20
5,1.7760,4,4,4,1111,33333,4,116.343,116.609,1,1,1,0,0,0,0,40
6,1.7774,4,4,4,1111,33333,4,113.939,117.783,1,1,1,0,0,0,0,44
7,1.7789,4,4,4,1111,33333,4,114.487,117.376,2,2,1,0,0,1,0,44
8,1.7805,4,4,4,1111,33333,4,115.220,117.184,1,2,0,0,0,1,0,45
9,1.7819,4,4,4,1111,33333,4,115.254,116.615,1,2,0,0,0,1,0,45
10,1.8372,4,4,4,1111,33333,4,57.538,60.507,2,3,0,0,1,1,0,60
11,1.8425,4,4,4,1111,33333,4,49.350,62.986,1,3,0,0,0,1,0,64
12,1.9394,4,4,4,1111,33333,4,135.169,146.327,2,3,0,0,1,1,0,68
13,1.9408,4,4,4,1111,33333,4,130.115,136.676,2,3,0,0,1,1,0,72
14,1.9423,4,4,4,1111,33333,4,112.457,129.561,2,3,0,0,1,1,0,72
15,1.9437,4,4,4,1111,33333,4,105.816,105.942,2,3,0,0,1,1,0,73
16,1.9475,4,4,4,1111,33333,4,90.069,104.453,2,3,0,0,1,1,0,74
17,1.9968,4,4,4,1111,33333,4,56.414,56.628,2,3,0,0,1,1,0,88
18,2.0044,4,4,4,1111,33333,4,50.125,60.814,1,3,0,0,0,1,0,92
19,2.0990,4,4,4,1111,33333,4,132.876,141.820,1,3,0,0,0,1,0,96
20,2.1004,4,4,4,1111,33333,4,123.506,132.360,2,3,0,0,1,1,0,100
21,2.1019,4,4,4,1111,33333,4,112.613,125.021,1,3,0,0,0,1,0,100
22,2.1034,4,4,4,1111,33333,4,105.924,106.045,2,3,0,0,1,1,0,101
