batch_idx,t_mono,n_in_batch,n_real,n_active,active_mask,timeout_us,mux_batch,compute_ms,e2e_ms,total_dets,new_ids_cum,dets_cam0,dets_cam1,dets_cam2,dets_cam3,drops_cum,arrivals_cum
0,1.7338,4,4,4,1111,33333,4,1303.526,1304.670,0,0,0,0,0,0,0,20
1,1.7344,4,4,4,1111,33333,4,1297.818,1304.316,0,0,0,0,0,0,0,20
2,1.7345,4,4,4,1111,33333,4,1296.845,1302.252,0,0,0,0,0,0,0,20
3,1.7346,4,4,4,1111,33333,4,1295.584,1300.301,0,0,0,0,0,0,0,20
4,1.7346,4,4,4,1111,33333,4,1294.716,1297.241,0,0,0,0,0,0,0,20
5,1.7919,2,2,4,1111,33333,4,48.491,48.620,1,1,1,0,0,0,0,40
6,1.8132,4,4,4,1111,33333,4,66.416,69.832,1,1,1,0,0,0,0,42
7,1.8200,4,4,4,1111,33333,4,72.264,75.593,1,1,1,0,0,0,0,46
8,1.9168,4,4,4,1111,33333,4,168.111,171.476,1,2,0,0,0,1,0,50
9,1.9183,4,4,4,1111,33333,4,168.322,170.204,1,2,0,0,0,1,0,54
10,1.9198,4,4,4,1111,33333,4,127.216,170.156,2,3,0,0,1,1,0,54
11,1.9213,4,4,4,1111,33333,4,107.312,107.485,1,3,0,0,0,1,0,55
12,1.9306,4,4,4,1111,33333,4,109.989,110.146,2,3,0,0,1,1,0,57
13,1.9757,4,4,4,1111,33333,4,57.948,58.231,2,3,0,0,1,1,0,70
14,1.9813,4,4,4,1111,33333,4,49.457,60.292,2,3,0,0,1,1,0,74
15,2.0986,4,4,4,1111,33333,4,154.731,163.900,2,3,0,0,1,1,0,78
16,2.1001,4,4,4,1111,33333,4,145.434,154.297,2,3,0,0,1,1,0,82
17,2.1016,4,4,4,1111,33333,4,125.148,147.025,2,3,0,0,1,1,0,82
18,2.1033,4,4,4,1111,33333,4,125.433,126.930,1,3,0,0,0,1,0,82
19,2.1046,4,4,4,1111,33333,4,109.918,122.821,1,3,0,0,0,1,0,83
20,2.2986,4,4,4,1111,33333,4,194.893,199.240,2,3,0,0,1,1,0,98
21,2.3000,4,4,4,1111,33333,4,183.175,196.488,1,3,0,0,0,1,0,102
22,2.3017,4,4,4,1111,33333,4,173.812,185.192,2,3,0,0,1,1,0,102
23,2.3033,4,4,4,1111,33333,4,168.650,175.609,1,3,0,0,0,1,0,103
24,2.3484,4,4,4,1111,33333,4,206.599,211.976,2,3,0,0,1,1,0,114
25,2.3501,4,4,4,1111,33333,4,50.503,50.822,1,3,0,0,0,1,0,118
26,2.5449,4,4,4,1111,33333,4,231.022,242.110,1,3,0,0,0,1,0,122
