batch_idx,t_mono,n_in_batch,n_real,n_active,active_mask,timeout_us,mux_batch,compute_ms,e2e_ms,total_dets,new_ids_cum,dets_cam0,dets_cam1,dets_cam2,dets_cam3,drops_cum,arrivals_cum
0,1.6955,4,4,4,1111,5000,4,1260.039,1260.822,0,0,0,0,0,0,0,20
1,1.6961,4,4,4,1111,5000,4,1254.327,1260.483,0,0,0,0,0,0,0,20
2,1.6962,4,4,4,1111,5000,4,1253.259,1258.657,0,0,0,0,0,0,0,20
3,1.6962,4,4,4,1111,5000,4,1251.403,1256.500,0,0,0,0,0,0,0,20
4,1.6965,4,4,4,1111,5000,4,1249.384,1253.751,0,0,0,0,0,0,0,20
5,1.7888,1,1,4,1111,5000,4,83.848,83.973,0,0,0,0,0,0,0,40
6,1.8559,4,4,4,1111,5000,4,147.605,150.938,1,1,1,0,0,0,0,41
7,1.8984,4,4,4,1111,5000,4,188.640,193.320,2,2,1,0,0,1,0,45
8,1.9138,4,4,4,1111,5000,4,203.077,206.839,2,2,1,0,0,1,0,49
9,1.9259,4,4,4,1111,5000,4,211.023,217.017,1,2,0,0,0,1,0,53
10,1.9448,4,4,4,1111,5000,4,155.183,232.508,1,2,0,0,0,1,0,57
11,1.9509,4,4,4,1111,5000,4,94.176,94.359,2,3,0,0,1,1,0,61
12,2.0015,3,3,4,1111,5000,4,102.391,102.502,0,3,0,0,0,0,0,65
13,2.0205,4,4,4,1111,5000,4,97.426,121.149,2,3,0,0,1,1,0,68
14,2.0264,4,4,4,1111,5000,4,99.709,111.942,2,3,0,0,1,1,0,72
15,2.0731,4,4,4,1111,5000,4,127.558,146.612,2,3,0,0,1,1,0,76
16,2.0772,4,4,4,1111,5000,4,117.744,131.689,2,3,0,0,1,1,0,80
17,2.0785,1,1,4,1111,5000,4,77.922,119.134,1,3,0,0,0,1,0,81
18,2.1696,4,4,4,1111,5000,4,148.322,167.473,2,3,0,0,1,1,0,85
19,2.1767,4,4,4,1111,5000,4,141.326,155.548,2,3,0,0,1,1,0,89
20,2.2005,3,3,4,1111,5000,4,129.157,173.498,0,3,0,0,0,0,0,93
21,2.2055,4,4,4,1111,5000,4,131.510,131.673,1,3,0,0,0,1,0,96
22,2.2121,4,4,4,1111,5000,4,123.942,134.325,2,3,0,0,1,1,0,100
23,2.2131,1,1,4,1111,5000,4,83.004,119.146,1,3,0,0,0,1,0,101
24,2.2940,4,4,4,1111,5000,4,123.570,123.707,1,3,0,0,0,1,0,105
25,2.2955,4,4,4,1111,5000,4,110.772,118.130,2,3,0,0,1,1,0,109
26,2.2969,4,4,4,1111,5000,4,90.159,95.712,1,3,0,0,0,1,0,109
27,2.3305,4,4,4,1111,5000,4,113.255,124.374,2,3,0,0,1,1,0,117
28,2.3428,4,4,4,1111,5000,4,108.662,129.970,1,3,0,0,0,1,0,121
29,2.4408,4,4,4,1111,5000,4,146.017,146.163,1,3,0,0,0,1,0,125
