batch_idx,t_mono,n_in_batch,n_real,n_active,active_mask,timeout_us,mux_batch,compute_ms,e2e_ms,total_dets,new_ids_cum,dets_cam0,dets_cam1,dets_cam2,dets_cam3,drops_cum,arrivals_cum
0,1.6718,4,4,4,1111,5000,4,1242.501,1243.068,0,0,0,0,0,0,0,20
1,1.6723,4,4,4,1111,5000,4,1238.576,1242.930,0,0,0,0,0,0,0,20
2,1.6724,4,4,4,1111,5000,4,1237.573,1241.107,0,0,0,0,0,0,0,20
3,1.6726,4,4,4,1111,5000,4,1236.342,1239.124,0,0,0,0,0,0,0,20
4,1.6727,4,4,4,1111,5000,4,1235.319,1236.346,0,0,0,0,0,0,0,20
5,1.7987,3,3,4,1111,5000,4,117.388,117.629,1,1,1,0,0,0,0,40
6,1.8006,4,4,4,1111,5000,4,115.643,119.240,1,1,1,0,0,0,0,43
7,1.8057,4,4,4,1111,5000,4,119.733,123.376,2,2,1,0,0,1,0,46
8,1.8078,4,4,4,1111,5000,4,121.029,123.713,1,2,0,0,0,1,0,46
9,1.8106,4,4,4,1111,5000,4,122.180,124.594,1,2,0,0,0,1,0,47
10,1.8111,1,1,4,1111,5000,4,104.929,123.241,0,2,0,0,0,0,0,47
11,1.8260,2,2,4,1111,5000,4,26.631,26.723,1,2,0,0,0,1,0,52
12,1.9201,4,4,4,1111,5000,4,111.206,120.641,2,3,0,0,1,1,0,62
13,1.9215,3,3,4,1111,5000,4,103.167,116.665,1,3,0,0,0,1,0,66
14,1.9232,3,3,4,1111,5000,4,94.648,107.998,1,3,0,0,0,1,0,66
15,1.9260,4,4,4,1111,5000,4,87.372,99.630,2,3,0,0,1,1,0,67
16,1.9341,4,4,4,1111,5000,4,93.936,101.252,2,3,0,0,1,1,0,69
17,1.9350,2,2,4,1111,5000,4,85.688,93.287,1,3,0,0,1,0,0,70
18,1.9463,1,1,4,1111,5000,4,25.522,25.587,0,3,0,0,0,0,0,73
19,2.0135,4,4,4,1111,5000,4,81.422,92.801,2,3,0,0,1,1,0,83
20,2.0220,4,4,4,1111,5000,4,80.932,97.778,2,3,0,0,1,1,0,87
21,2.0367,4,4,4,1111,5000,4,85.363,95.671,2,3,0,0,1,1,0,91
22,2.0502,4,4,4,1111,5000,4,92.267,101.317,1,3,0,0,0,1,0,95
23,2.0619,4,4,4,1111,5000,4,95.283,102.130,1,3,0,0,0,1,0,99
24,2.1632,4,4,4,1111,5000,4,148.953,149.076,2,3,0,0,1,1,0,103
25,2.1645,2,2,4,1111,5000,4,141.869,141.941,1,3,0,0,0,1,0,107
26,2.1653,2,2,4,1111,5000,4,130.012,140.201,0,3,0,0,0,0,0,107
27,2.1673,4,4,4,1111,5000,4,123.005,130.088,2,3,0,0,1,1,0,107
28,2.1719,4,4,4,1111,5000,4,120.923,121.169,1,3,0,0,0,1,0,109
29,2.1788,4,4,4,1111,5000,4,105.968,116.400,2,3,0,0,1,1,0,111
30,2.2600,4,4,4,1111,5000,4,95.921,96.037,1,3,0,0,0,1,0,123
31,2.2669,3,3,4,1111,5000,4,91.891,99.506,1,3,0,0,0,1,0,127
32,2.2682,2,2,4,1111,5000,4,83.807,89.891,1,3,0,0,0,1,0,128
33,2.2718,4,4,4,1111,5000,4,79.350,90.562,1,3,0,0,0,1,0,129
34,2.2743,3,3,4,1111,5000,4,73.096,79.745,1,3,0,0,1,0,0,130
35,2.3266,4,4,4,1111,5000,4,115.564,125.489,1,3,0,0,0,1,0,139
36,2.3287,4,4,4,1111,5000,4,68.045,68.160,2,3,0,0,1,1,0,143
37,2.3308,3,3,4,1111,5000,4,58.618,62.643,0,3,0,0,0,0,0,144
38,2.3472,2,2,4,1111,5000,4,66.143,72.285,1,3,0,0,0,1,0,149
39,2.4352,3,3,4,1111,5000,4,143.773,157.292,1,3,0,0,0,1,0,152
40,2.4396,4,4,4,1111,5000,4,115.644,150.585,1,3,0,0,0,1,0,155
41,2.4524,4,4,4,1111,5000,4,125.070,125.221,2,3,0,0,1,1,0,159
42,2.4543,3,3,4,1111,5000,4,116.127,123.615,1,3,0,0,0,1,0,161
43,2.4555,2,2,4,1111,5000,4,108.282,114.238,0,3,0,0,0,0,0,161
44,2.4579,4,4,4,1111,5000,4,100.939,110.872,1,3,0,0,0,1,0,162
45,2.4768,2,2,4,1111,5000,4,40.876,40.986,1,3,0,0,1,0,0,171
46,2.5263,4,4,4,1111,5000,4,79.692,90.291,2,3,0,0,1,1,0,174
47,2.5291,3,3,4,1111,5000,4,73.461,86.145,1,3,0,0,0,1,0,178
48,2.5324,3,3,4,1111,5000,4,66.564,79.351,1,3,0,0,0,1,0,178
49,2.6325,4,4,4,1111,5000,4,156.160,168.921,1,3,0,0,0,1,0,184
50,2.6629,4,4,4,1111,5000,4,185.417,192.748,1,3,0,0,0,1,0,188
51,2.6679,2,2,4,1111,5000,4,152.439,187.078,0,3,0,0,0,0,0,192
52,2.6757,2,2,4,1111,5000,4,148.690,148.789,0,3,0,0,0,0,0,193
53,2.6930,4,4,4,1111,5000,4,155.207,166.113,1,3,0,0,0,1,0,196
54,2.6947,2,2,4,1111,5000,4,147.918,161.891,1,3,0,0,0,1,0,200
55,2.6968,2,2,4,1111,5000,4,131.563,150.024,1,3,0,0,0,1,0,200
56,2.6986,2,2,4,1111,5000,4,65.239,65.369,1,3,0,0,0,1,0,200
57,2.7022,2,2,4,1111,5000,4,56.186,68.929,0,3,0,0,0,0,0,202
58,2.8138,4,4,4,1111,5000,4,150.129,150.245,1,3,0,0,0,1,0,208
59,2.8147,1,1,4,1111,5000,4,140.222,140.411,0,3,0,0,0,0,0,212
60,2.8161,2,2,4,1111,5000,4,131.342,139.851,1,4,0,0,1,0,0,212
61,2.8318,4,4,4,1111,5000,4,138.038,151.471,2,4,0,0,1,1,0,215
62,2.8333,3,3,4,1111,5000,4,129.795,139.646,1,4,0,0,1,0,0,217
63,2.8403,4,4,4,1111,5000,4,126.378,141.269,1,4,0,0,0,1,0,219
64,2.8461,1,1,4,1111,5000,4,118.984,137.954,1,4,0,0,0,1,0,222
65,2.8636,1,1,4,1111,5000,4,70.537,142.873,1,4,0,0,0,1,0,227
66,2.9971,4,4,4,1111,5000,4,182.446,182.553,3,5,1,0,1,1,0,228
67,3.0087,3,3,4,1111,5000,4,182.746,190.241,2,5,1,0,1,0,0,232
68,3.0103,3,3,4,1111,5000,4,175.497,177.795,1,5,0,0,0,1,0,234
69,3.0118,3,3,4,1111,5000,4,167.798,173.901,1,5,0,0,1,0,0,235
70,3.0138,4,4,4,1111,5000,4,149.422,169.024,2,6,0,1,0,1,0,236
71,3.0152,2,2,4,1111,5000,4,130.668,162.021,1,6,0,0,0,1,0,237
72,3.0265,1,1,4,1111,5000,4,115.712,162.386,1,6,0,0,0,1,0,241
73,3.1754,4,4,4,1111,5000,4,177.414,177.553,2,6,0,1,0,1,0,248
74,3.1797,2,2,4,1111,5000,4,170.176,170.305,1,6,0,1,0,0,0,252
75,3.1812,4,4,4,1111,5000,4,163.290,170.722,2,6,0,1,0,1,0,252
76,3.1819,2,2,4,1111,5000,4,154.533,160.997,1,6,0,1,0,0,0,253
77,3.1938,4,4,4,1111,5000,4,156.935,170.455,2,6,0,1,0,1,0,257
78,3.1949,2,2,4,1111,5000,4,145.141,162.412,1,6,0,0,0,1,0,257
79,3.1962,2,2,4,1111,5000,4,129.074,153.011,1,6,0,0,0,1,0,257
