batch_idx,t_mono,n_in_batch,n_real,n_active,active_mask,timeout_us,mux_batch,compute_ms,e2e_ms,total_dets,new_ids_cum,dets_cam0,dets_cam1,dets_cam2,dets_cam3
0,1.6476,4,4,4,1111,10000,4,1207.358,1208.418,0,0,0,0,0,0
1,1.6487,4,4,4,1111,10000,4,1202.613,1208.442,0,0,0,0,0,0
2,1.6820,4,4,4,1111,10000,4,1234.137,1235.855,0,0,0,0,0,0
3,1.7154,4,4,4,1111,10000,4,1266.075,1267.690,0,0,0,0,0,0
4,1.7489,4,4,4,1111,10000,4,100.014,1300.747,0,0,0,0,0,0
5,1.7820,4,4,4,1111,10000,4,99.346,123.941,1,1,1,0,0,0
6,1.8152,4,4,4,1111,10000,4,99.534,132.833,1,1,1,0,0,0
7,1.8487,4,4,4,1111,10000,4,99.826,132.857,2,2,1,0,0,1
8,1.8823,4,4,4,1111,10000,4,100.105,133.186,1,2,0,0,0,1
9,1.9153,1,1,4,1111,10000,4,88.866,99.747,1,2,0,0,0,1
10,1.9489,4,4,4,1111,10000,4,99.336,132.643,1,2,0,0,0,1
11,1.9820,4,4,4,1111,10000,4,99.191,132.789,2,3,0,0,1,1
12,2.0153,4,4,4,1111,10000,4,99.920,165.882,1,3,0,0,0,1
13,2.0487,4,4,4,1111,10000,4,100.241,166.472,2,3,0,0,1,1
14,2.0820,4,4,4,1111,10000,4,99.402,166.434,2,3,0,0,1,1
15,2.1153,4,4,4,1111,10000,4,99.486,133.037,2,3,0,0,1,1
16,2.1486,4,4,4,1111,10000,4,99.293,133.072,2,3,0,0,1,1
17,2.1820,4,4,4,1111,10000,4,99.509,132.986,2,3,0,0,1,1
18,2.2152,4,4,4,1111,10000,4,99.624,132.930,2,3,0,0,1,1
19,2.2485,4,4,4,1111,10000,4,99.406,132.868,1,3,0,0,0,1
20,2.2820,4,4,4,1111,10000,4,99.761,133.061,1,3,0,0,0,1
21,2.3154,4,4,4,1111,10000,4,99.942,133.173,2,3,0,0,1,1
22,2.3487,4,4,4,1111,10000,4,99.808,133.219,1,3,0,0,0,1
23,2.3820,4,4,4,1111,10000,4,99.775,133.197,2,3,0,0,1,1
24,2.4153,4,4,4,1111,10000,4,99.499,132.971,1,3,0,0,0,1
25,2.4487,4,4,4,1111,10000,4,99.615,132.996,2,3,0,0,1,1
26,2.4820,4,4,4,1111,10000,4,99.727,132.997,1,3,0,0,0,1
27,2.5155,4,4,4,1111,10000,4,99.986,133.163,1,3,0,0,0,1
28,2.5486,4,4,4,1111,10000,4,99.713,133.038,1,3,0,0,0,1
29,2.5819,4,4,4,1111,10000,4,99.739,132.908,2,3,0,0,1,1
30,2.6153,4,4,4,1111,10000,4,99.237,133.043,1,3,0,0,0,1
31,2.6486,4,4,4,1111,10000,4,99.781,132.813,2,3,0,0,1,1
32,2.6819,4,4,4,1111,10000,4,98.811,132.973,1,3,0,0,0,1
33,2.7153,4,4,4,1111,10000,4,98.812,132.262,1,3,0,0,0,1
