batch_idx,t_mono,n_in_batch,n_real,n_active,active_mask,timeout_us,mux_batch,compute_ms,e2e_ms,total_dets,new_ids_cum,dets_cam0,dets_cam1,dets_cam2,dets_cam3
0,2.4730,1,1,4,1111,100000,4,1225.488,1457.372,0,0,0,0,0,0
1,2.4740,1,1,4,1111,100000,4,1193.329,1447.899,0,0,0,0,0,0
2,2.4742,1,1,4,1111,100000,4,1160.329,1438.129,0,0,0,0,0,0
3,2.4743,1,1,4,1111,100000,4,1126.999,1402.188,0,0,0,0,0,0
4,2.5313,1,1,4,1111,100000,4,56.232,951.845,0,0,0,0,0,0
5,2.5318,1,1,4,1111,100000,4,56.130,948.076,0,0,0,0,0,0
6,2.5322,1,1,4,1111,100000,4,56.154,924.209,0,0,0,0,0,0
7,2.5325,1,1,4,1111,100000,4,56.066,892.828,0,0,0,0,0,0
8,2.5846,1,1,4,1111,100000,4,51.651,434.839,0,0,0,0,0,0
9,2.5849,1,1,4,1111,100000,4,50.808,407.716,0,0,0,0,0,0
10,2.5851,1,1,4,1111,100000,4,50.303,377.350,0,0,0,0,0,0
11,2.5853,1,1,4,1111,100000,4,49.260,344.623,0,0,0,0,0,0
12,2.6256,1,1,4,1111,100000,4,11.696,30.134,0,0,0,0,0,0
13,2.6601,1,1,4,1111,100000,4,12.890,44.785,1,1,0,1,0,0
14,2.6967,1,1,4,1111,100000,4,16.111,56.313,0,1,0,0,0,0
15,2.7299,1,1,4,1111,100000,4,15.835,53.386,0,1,0,0,0,0
16,2.7638,1,1,4,1111,100000,4,16.616,55.386,0,1,0,0,0,0
17,2.7968,1,1,4,1111,100000,4,16.191,56.486,0,1,0,0,0,0
18,2.8296,1,1,4,1111,100000,4,15.815,53.374,0,1,0,0,0,0
19,2.8629,1,1,4,1111,100000,4,15.778,54.619,0,1,0,0,0,0
20,2.8970,1,1,4,1111,100000,4,16.438,52.764,0,1,0,0,0,0
21,2.9300,1,1,4,1111,100000,4,16.151,53.840,0,1,0,0,0,0
22,2.9628,1,1,4,1111,100000,4,15.731,54.472,0,1,0,0,0,0
23,3.0116,2,2,4,1111,100000,4,30.786,304.107,0,1,0,0,0,0
24,3.0441,2,2,4,1111,100000,4,30.276,332.109,0,1,0,0,0,0
25,3.0767,2,2,4,1111,100000,4,29.475,328.591,0,1,0,0,0,0
26,3.1097,2,2,4,1111,100000,4,29.233,329.927,0,1,0,0,0,0
27,3.1423,2,2,4,1111,100000,4,28.452,128.685,0,1,0,0,0,0
28,3.1762,2,2,4,1111,100000,4,29.022,128.795,1,2,0,0,1,0
29,3.2100,2,2,4,1111,100000,4,29.452,130.643,1,2,0,0,1,0
30,3.2431,2,2,4,1111,100000,4,29.241,131.424,1,2,0,0,1,0
31,3.2760,2,2,4,1111,100000,4,28.861,131.161,2,3,0,1,1,0
32,3.3146,2,2,4,1111,100000,4,34.052,134.923,2,3,0,1,1,0
33,3.3440,2,2,4,1111,100000,4,30.160,132.000,2,3,0,1,1,0
34,3.3769,2,2,4,1111,100000,4,29.726,129.261,2,3,0,1,1,0
35,3.4084,2,2,4,1111,100000,4,27.946,129.622,2,3,0,1,1,0
36,3.4427,2,2,4,1111,100000,4,28.918,125.185,2,3,0,1,1,0
37,3.4764,2,2,4,1111,100000,4,29.217,128.894,2,3,0,1,1,0
38,3.5100,2,2,4,1111,100000,4,29.472,131.014,1,3,0,0,1,0
39,3.5435,2,2,4,1111,100000,4,29.712,132.915,2,3,0,1,1,0
40,3.5752,2,2,4,1111,100000,4,28.004,128.541,2,3,0,1,1,0
41,3.6107,2,2,4,1111,100000,4,30.163,131.379,2,3,0,1,1,0
42,3.6436,2,2,4,1111,100000,4,29.736,131.486,1,3,0,0,1,0
43,3.6755,2,2,4,1111,100000,4,28.417,128.097,1,3,0,0,1,0
44,3.7082,2,2,4,1111,100000,4,27.770,131.062,1,3,0,0,1,0
45,3.7430,2,2,4,1111,100000,4,29.203,128.882,2,3,0,1,1,0
46,3.7767,2,2,4,1111,100000,4,29.512,129.386,2,3,0,1,1,0
