batch_idx,t_mono,n_in_batch,n_real,n_active,active_mask,timeout_us,mux_batch,compute_ms,e2e_ms,total_dets,new_ids_cum,dets_cam0,dets_cam1,dets_cam2,dets_cam3
0,2.2877,1,1,4,1111,33333,4,1204.639,1298.150,0,0,0,0,0,0
1,2.2885,1,1,4,1111,33333,4,1172.184,1288.523,0,0,0,0,0,0
2,2.2888,1,1,4,1111,33333,4,1139.101,1273.406,0,0,0,0,0,0
3,2.2889,1,1,4,1111,33333,4,1105.945,1237.491,0,0,0,0,0,0
4,2.3445,1,1,4,1111,33333,4,54.987,777.642,0,0,0,0,0,0
5,2.3450,1,1,4,1111,33333,4,54.843,774.085,0,0,0,0,0,0
6,2.3456,1,1,4,1111,33333,4,55.135,759.288,0,0,0,0,0,0
7,2.3458,1,1,4,1111,33333,4,54.963,727.534,0,0,0,0,0,0
8,2.3616,1,1,4,1111,33333,4,14.877,233.042,0,0,0,0,0,0
9,2.3682,1,1,4,1111,33333,4,20.793,212.386,0,0,0,0,0,0
10,2.3733,1,1,4,1111,33333,4,25.329,186.538,0,0,0,0,0,0
11,2.3786,1,1,4,1111,33333,4,30.046,159.991,0,0,0,0,0,0
12,2.3933,1,1,4,1111,33333,4,10.531,23.490,0,0,0,0,0,0
13,2.4330,1,1,4,1111,33333,4,16.787,58.042,0,0,0,0,0,0
14,2.4660,1,1,4,1111,33333,4,16.511,85.508,1,1,1,0,0,0
15,2.4989,1,1,4,1111,33333,4,16.143,79.805,1,1,1,0,0,0
16,2.5320,1,1,4,1111,33333,4,15.820,75.757,1,1,1,0,0,0
17,2.5657,1,1,4,1111,33333,4,16.248,78.941,1,1,1,0,0,0
18,2.5991,1,1,4,1111,33333,4,16.233,80.097,1,1,1,0,0,0
19,2.6321,1,1,4,1111,33333,4,15.989,76.358,1,1,1,0,0,0
20,2.6660,1,1,4,1111,33333,4,16.340,78.174,1,1,1,0,0,0
21,2.6991,1,1,4,1111,33333,4,16.172,80.515,1,1,1,0,0,0
22,2.7331,1,1,4,1111,33333,4,16.804,78.278,1,1,1,0,0,0
23,2.7661,1,1,4,1111,33333,4,16.573,78.364,1,1,1,0,0,0
24,2.8128,2,2,4,1111,33333,4,29.769,143.949,1,1,1,0,0,0
25,2.8454,2,2,4,1111,33333,4,29.213,172.474,1,1,1,0,0,0
26,2.8779,2,2,4,1111,33333,4,28.501,192.245,1,1,1,0,0,0
27,2.9120,2,2,4,1111,33333,4,29.172,189.781,1,1,1,0,0,0
28,2.9479,2,2,4,1111,33333,4,31.539,133.312,1,1,1,0,0,0
29,2.9783,2,2,4,1111,33333,4,28.759,130.958,1,1,1,0,0,0
30,3.0120,2,2,4,1111,33333,4,29.161,131.912,1,1,1,0,0,0
31,3.0454,2,2,4,1111,33333,4,29.277,131.352,1,1,1,0,0,0
32,3.0828,2,2,4,1111,33333,4,33.341,132.540,1,1,1,0,0,0
33,3.1150,2,2,4,1111,33333,4,31.887,134.940,1,1,1,0,0,0
34,3.1468,2,2,4,1111,33333,4,30.630,132.859,1,1,1,0,0,0
35,3.1787,2,2,4,1111,33333,4,29.263,131.155,1,1,1,0,0,0
36,3.2125,2,2,4,1111,33333,4,29.657,126.612,1,1,1,0,0,0
37,3.2448,2,2,4,1111,33333,4,28.655,127.629,1,1,1,0,0,0
38,3.2809,2,2,4,1111,33333,4,31.393,131.957,1,1,1,0,0,0
39,3.3132,2,2,4,1111,33333,4,30.323,132.371,1,1,1,0,0,0
40,3.3462,2,2,4,1111,33333,4,30.098,131.625,1,1,1,0,0,0
41,3.3783,2,2,4,1111,33333,4,28.818,131.116,0,1,0,0,0,0
42,3.4114,2,2,4,1111,33333,4,28.582,128.332,0,1,0,0,0,0
43,3.4449,2,2,4,1111,33333,4,28.762,129.224,1,1,1,0,0,0
44,3.4791,2,2,4,1111,33333,4,29.620,130.597,1,1,1,0,0,0
45,3.5114,2,2,4,1111,33333,4,28.589,130.973,1,1,1,0,0,0
46,3.5471,2,2,4,1111,33333,4,30.893,133.569,0,1,0,0,0,0
