batch_idx,t_mono,n_in_batch,n_real,n_active,active_mask,timeout_us,mux_batch,compute_ms,e2e_ms,total_dets,new_ids_cum,dets_cam0,dets_cam1,dets_cam2,dets_cam3
0,2.3361,1,1,4,1111,50000,4,1215.460,1311.372,0,0,0,0,0,0
1,2.3370,1,1,4,1111,50000,4,1183.261,1301.143,0,0,0,0,0,0
2,2.3372,1,1,4,1111,50000,4,1150.118,1275.410,0,0,0,0,0,0
3,2.3373,1,1,4,1111,50000,4,1116.907,1243.835,0,0,0,0,0,0
4,2.3959,1,1,4,1111,50000,4,58.006,787.575,0,0,0,0,0,0
5,2.3963,1,1,4,1111,50000,4,57.803,782.942,0,0,0,0,0,0
6,2.3966,1,1,4,1111,50000,4,57.684,767.734,0,0,0,0,0,0
7,2.3976,1,1,4,1111,50000,4,58.323,736.252,0,0,0,0,0,0
8,2.4465,1,1,4,1111,50000,4,48.147,274.641,0,0,0,0,0,0
9,2.4468,1,1,4,1111,50000,4,47.552,253.439,0,0,0,0,0,0
10,2.4471,1,1,4,1111,50000,4,47.133,218.958,0,0,0,0,0,0
11,2.4472,1,1,4,1111,50000,4,46.690,186.908,0,0,0,0,0,0
12,2.4647,1,1,4,1111,50000,4,11.168,13.433,0,0,0,0,0,0
13,2.5041,1,1,4,1111,50000,4,17.087,49.597,1,1,0,1,0,0
14,2.5485,1,1,4,1111,50000,4,28.046,88.810,1,1,0,1,0,0
15,2.5700,1,1,4,1111,50000,4,16.405,73.317,1,2,0,1,0,0
16,2.5984,1,1,4,1111,50000,4,11.358,67.994,3,3,0,3,0,0
17,2.6370,1,1,4,1111,50000,4,16.588,72.503,2,3,0,2,0,0
18,2.6712,1,1,4,1111,50000,4,17.450,74.703,3,3,0,3,0,0
19,2.7031,1,1,4,1111,50000,4,16.042,74.413,3,3,0,3,0,0
20,2.7365,1,1,4,1111,50000,4,16.092,72.192,1,3,0,1,0,0
21,2.7711,1,1,4,1111,50000,4,17.331,74.913,3,3,0,3,0,0
22,2.8034,1,1,4,1111,50000,4,16.366,71.653,2,3,0,2,0,0
23,2.8865,2,2,4,1111,50000,4,65.864,173.355,1,3,0,1,0,0
24,2.9030,2,2,4,1111,50000,4,49.067,185.646,1,3,0,1,0,0
25,2.9115,2,2,4,1111,50000,4,24.514,180.638,2,3,0,2,0,0
26,2.9381,2,2,4,1111,50000,4,17.838,170.751,2,3,0,2,0,0
27,2.9964,2,2,4,1111,50000,4,42.122,106.655,3,4,0,3,0,0
28,3.0167,2,2,4,1111,50000,4,29.647,111.641,2,4,0,2,0,0
29,3.0444,2,2,4,1111,50000,4,24.132,130.726,2,4,0,2,0,0
30,3.0772,2,2,4,1111,50000,4,23.582,137.048,2,4,0,2,0,0
31,3.1209,2,2,4,1111,50000,4,33.863,120.975,2,4,0,2,0,0
32,3.1466,2,2,4,1111,50000,4,26.197,127.719,2,4,0,2,0,0
33,3.1724,2,2,4,1111,50000,4,18.835,125.930,3,4,0,3,0,0
34,3.2162,2,2,4,1111,50000,4,29.117,136.594,3,4,0,3,0,0
35,3.2471,2,2,4,1111,50000,4,26.776,122.721,2,4,0,2,0,0
36,3.2751,2,2,4,1111,50000,4,21.503,126.293,2,4,0,2,0,0
37,3.3298,2,2,4,1111,50000,4,42.594,154.503,2,4,0,2,0,0
38,3.3494,2,2,4,1111,50000,4,29.048,130.941,2,4,0,2,0,0
39,3.3762,2,2,4,1111,50000,4,22.642,127.033,0,4,0,0,0,0
40,3.4105,2,2,4,1111,50000,4,23.440,133.269,2,4,0,2,0,0
41,3.4483,2,2,4,1111,50000,4,26.191,116.291,2,4,0,2,0,0
42,3.4784,2,2,4,1111,50000,4,23.393,126.837,2,4,0,2,0,0
43,3.5182,2,2,4,1111,50000,4,31.184,140.118,3,4,0,3,0,0
44,3.5570,2,2,4,1111,50000,4,36.752,144.176,2,4,0,2,0,0
45,3.5786,2,2,4,1111,50000,4,24.957,128.453,2,4,0,2,0,0
46,3.6051,2,2,4,1111,50000,4,18.031,124.519,2,4,0,2,0,0
47,3.6454,2,2,4,1111,50000,4,25.006,124.992,2,4,0,2,0,0
48,3.6793,2,2,4,1111,50000,4,25.625,117.839,1,4,0,1,0,0
49,3.7088,2,2,4,1111,50000,4,21.798,128.253,2,4,0,2,0,0
50,3.7414,2,2,4,1111,50000,4,20.998,134.478,3,4,0,3,0,0
51,3.7791,2,2,4,1111,50000,4,25.265,131.518,2,4,0,2,0,0
52,3.8105,2,2,4,1111,50000,4,23.502,129.275,2,4,0,2,0,0
53,3.8403,2,2,4,1111,50000,4,20.098,129.559,2,4,0,2,0,0
54,3.8852,2,2,4,1111,50000,4,31.358,141.476,1,4,0,1,0,0
55,3.9083,2,2,4,1111,50000,4,21.328,127.046,2,4,0,2,0,0
56,3.9407,2,2,4,1111,50000,4,20.441,128.183,2,4,0,2,0,0
57,3.9839,2,2,4,1111,50000,4,30.292,141.226,2,4,0,2,0,0
58,4.0137,2,2,4,1111,50000,4,26.802,125.971,3,4,0,3,0,0
59,4.0397,2,2,4,1111,50000,4,19.437,129.161,1,4,0,1,0,0
60,4.0748,2,2,4,1111,50000,4,21.051,132.097,1,4,0,1,0,0
61,4.1080,2,2,4,1111,50000,4,20.633,121.876,1,4,0,1,0,0
62,4.1413,2,2,4,1111,50000,4,21.008,125.349,0,4,0,0,0,0
63,4.1740,2,2,4,1111,50000,4,20.292,132.240,0,4,0,0,0,0
64,4.2215,2,2,4,1111,50000,4,34.455,144.601,0,4,0,0,0,0
65,4.2411,2,2,4,1111,50000,4,20.683,130.907,2,4,0,2,0,0
66,4.2741,2,2,4,1111,50000,4,20.431,130.703,1,4,0,1,0,0
67,4.3195,2,2,4,1111,50000,4,32.502,143.289,1,4,0,1,0,0
68,4.3459,2,2,4,1111,50000,4,25.620,121.544,1,4,0,1,0,0
69,4.3737,2,2,4,1111,50000,4,20.046,130.219,1,4,0,1,0,0
70,4.4077,2,2,4,1111,50000,4,20.651,131.307,1,4,0,1,0,0
