batch_idx,t_mono,n_in_batch,n_real,n_active,active_mask,timeout_us,mux_batch,compute_ms,e2e_ms,total_dets,new_ids_cum,dets_cam0,dets_cam1,dets_cam2,dets_cam3
0,2.2664,1,1,4,1111,50000,4,1239.328,1289.838,0,0,0,0,0,0
1,2.2672,1,1,4,1111,50000,4,1187.735,1283.915,0,0,0,0,0,0
2,2.2675,1,1,4,1111,50000,4,1136.689,1254.881,0,0,0,0,0,0
3,2.2676,1,1,4,1111,50000,4,1085.625,1218.829,0,0,0,0,0,0
4,2.3709,3,3,4,1111,50000,4,52.566,788.624,0,0,0,0,0,0
5,2.4170,3,3,4,1111,50000,4,46.915,829.562,1,1,0,0,1,0
6,2.4585,3,3,4,1111,50000,4,36.414,866.898,1,1,0,0,1,0
7,2.5133,3,3,4,1111,50000,4,39.982,897.317,1,1,0,0,1,0
8,2.5752,3,3,4,1111,50000,4,49.832,200.255,1,1,0,0,1,0
9,2.6149,3,3,4,1111,50000,4,37.769,195.732,8,8,4,3,1,0
10,2.6711,3,3,4,1111,50000,4,42.862,210.843,8,8,4,3,1,0
11,2.7514,3,3,4,1111,50000,4,71.752,235.716,8,8,4,3,1,0
12,2.8945,4,4,4,1111,50000,4,142.483,317.379,7,8,3,3,1,0
13,2.8953,4,4,4,1111,50000,4,141.897,277.820,8,8,4,3,1,0
14,2.8978,4,4,4,1111,50000,4,132.649,224.672,8,8,4,3,1,0
15,2.9009,4,4,4,1111,50000,4,132.043,147.636,7,8,4,2,1,0
16,3.0193,4,4,4,1111,50000,4,119.130,122.692,9,9,4,3,2,0
17,3.0206,4,4,4,1111,50000,4,115.231,119.286,9,11,4,2,1,2
18,3.0226,4,4,4,1111,50000,4,108.663,113.585,10,11,4,3,1,2
19,3.0249,4,4,4,1111,50000,4,106.911,110.403,9,11,4,2,1,2
20,3.1861,4,4,4,1111,50000,4,160.583,164.422,10,11,4,3,1,2
21,3.1948,4,4,4,1111,50000,4,162.414,168.919,11,11,4,3,2,2
22,3.2134,4,4,4,1111,50000,4,174.180,179.088,10,11,4,3,1,2
23,3.2185,4,4,4,1111,50000,4,169.224,178.641,10,11,4,2,2,2
24,3.3409,4,4,4,1111,50000,4,148.923,152.217,10,11,4,2,2,2
25,3.3439,4,4,4,1111,50000,4,141.254,144.571,9,11,4,2,1,2
26,3.3466,4,4,4,1111,50000,4,127.352,130.547,10,11,4,3,1,2
27,3.3491,4,4,4,1111,50000,4,123.953,128.255,9,11,4,2,1,2
28,3.4749,4,4,4,1111,50000,4,127.179,131.494,11,11,4,3,2,2
29,3.4767,4,4,4,1111,50000,4,124.692,129.115,10,11,4,3,1,2
30,3.4791,4,4,4,1111,50000,4,118.126,123.004,10,11,3,3,2,2
31,3.4804,4,4,4,1111,50000,4,114.409,119.049,9,11,4,2,1,2
32,3.5931,4,4,4,1111,50000,4,112.192,115.789,10,11,4,3,1,2
33,3.5954,4,4,4,1111,50000,4,106.338,113.923,10,11,4,3,1,2
34,3.5980,4,4,4,1111,50000,4,102.799,108.193,10,11,4,3,1,2
35,3.6022,4,4,4,1111,50000,4,102.725,106.647,10,11,4,3,1,2
36,3.7083,4,4,4,1111,50000,4,109.433,112.598,10,11,4,3,1,2
37,3.7099,4,4,4,1111,50000,4,107.090,110.447,11,11,4,3,2,2
38,3.7115,4,4,4,1111,50000,4,98.999,102.410,9,11,4,2,1,2
39,3.7146,4,4,4,1111,50000,4,87.445,98.333,10,11,4,3,1,2
40,3.8237,4,4,4,1111,50000,4,108.439,112.926,9,11,4,2,1,2
41,3.8254,4,4,4,1111,50000,4,106.030,110.245,9,11,4,2,1,2
42,3.8289,4,4,4,1111,50000,4,100.802,105.852,10,11,4,3,1,2
43,3.8316,4,4,4,1111,50000,4,72.879,83.599,10,11,4,3,1,2
44,3.8959,4,4,4,1111,50000,4,65.192,68.462,10,11,4,3,1,2
45,3.9017,4,4,4,1111,50000,4,62.527,69.489,10,11,4,3,1,2
46,3.9362,4,4,4,1111,50000,4,76.680,87.330,9,11,4,2,1,2
47,3.9377,4,4,4,1111,50000,4,45.935,55.653,9,11,4,2,1,2
48,3.9641,4,4,4,1111,50000,4,36.241,50.057,9,11,4,2,1,2
49,3.9903,4,4,4,1111,50000,4,30.640,40.711,9,11,4,2,1,2
50,4.0231,4,4,4,1111,50000,4,31.320,40.805,9,11,4,2,1,2
51,4.0602,4,4,4,1111,50000,4,32.398,46.112,10,11,4,3,1,2
52,4.0917,4,4,4,1111,50000,4,30.854,41.804,9,11,4,2,1,2
53,4.1238,4,4,4,1111,50000,4,31.254,41.503,10,12,4,3,1,2
54,4.1607,4,4,4,1111,50000,4,32.758,46.118,11,12,4,4,1,2
55,4.1918,4,4,4,1111,50000,4,31.995,42.933,10,12,4,3,1,2
56,4.2249,4,4,4,1111,50000,4,32.372,42.593,9,12,4,2,1,2
57,4.2622,4,4,4,1111,50000,4,34.463,47.799,9,12,4,2,1,2
58,4.2939,4,4,4,1111,50000,4,34.038,45.280,9,12,4,2,1,2
59,4.3255,4,4,4,1111,50000,4,33.833,43.082,9,12,4,2,1,2
60,4.3611,4,4,4,1111,50000,4,33.225,46.774,9,12,4,2,1,2
61,4.3937,4,4,4,1111,50000,4,34.081,47.630,9,12,4,2,1,2
62,4.4259,4,4,4,1111,50000,4,34.221,43.583,9,12,4,2,1,2
63,4.4614,4,4,4,1111,50000,4,33.258,47.035,10,12,4,3,1,2
64,4.4942,4,4,4,1111,50000,4,34.127,45.735,9,12,4,2,1,2
65,4.5286,4,4,4,1111,50000,4,32.311,45.992,10,12,4,3,1,2
66,4.5585,4,4,4,1111,50000,4,30.781,44.469,8,12,3,2,1,2
67,4.5908,4,4,4,1111,50000,4,31.263,42.525,9,12,4,2,1,2
68,4.6281,4,4,4,1111,50000,4,32.168,45.654,9,12,4,2,1,2
69,4.6596,4,4,4,1111,50000,4,31.033,43.086,9,12,4,2,1,2
