batch_idx,t_mono,n_in_batch,n_real,n_active,active_mask,timeout_us,mux_batch,compute_ms,e2e_ms,total_dets,new_ids_cum,dets_cam0,dets_cam1,dets_cam2,dets_cam3
0,2.3612,1,1,4,1111,66700,4,1260.240,1327.431,0,0,0,0,0,0
1,2.3621,1,1,4,1111,66700,4,1191.622,1317.442,0,0,0,0,0,0
2,2.3624,1,1,4,1111,66700,4,1123.473,1299.194,0,0,0,0,0,0
3,2.3625,1,1,4,1111,66700,4,1055.781,1267.293,0,0,0,0,0,0
4,2.4851,3,3,4,1111,66700,4,55.261,878.977,0,0,0,0,0,0
5,2.5307,3,3,4,1111,66700,4,31.347,919.558,3,3,0,3,0,0
6,2.6194,3,3,4,1111,66700,4,50.947,989.686,3,3,0,3,0,0
7,2.6865,3,3,4,1111,66700,4,49.464,1020.696,3,3,0,3,0,0
8,2.7695,4,4,4,1111,66700,4,77.008,282.438,3,3,0,3,0,0
9,2.7704,4,4,4,1111,66700,4,62.209,237.817,7,7,3,3,1,0
10,2.8208,4,4,4,1111,66700,4,73.813,199.422,6,7,3,2,1,0
11,2.8222,4,4,4,1111,66700,4,44.413,133.775,7,7,3,3,1,0
12,2.8493,4,4,4,1111,66700,4,40.918,77.538,6,7,3,2,1,0
13,2.8749,4,4,4,1111,66700,4,30.938,99.471,8,9,3,2,1,2
14,2.9102,4,4,4,1111,66700,4,34.145,86.790,7,9,2,2,1,2
15,2.9389,4,4,4,1111,66700,4,30.897,112.171,8,9,3,2,1,2
16,2.9803,4,4,4,1111,66700,4,35.714,128.742,8,9,3,2,1,2
17,3.0152,4,4,4,1111,66700,4,38.680,138.099,9,10,4,2,1,2
18,3.0438,4,4,4,1111,66700,4,35.653,129.933,8,10,3,2,1,2
19,3.0812,4,4,4,1111,66700,4,36.723,140.040,10,10,4,3,1,2
20,3.1098,4,4,4,1111,66700,4,33.546,127.114,10,10,4,3,1,2
21,3.1456,4,4,4,1111,66700,4,37.455,128.043,10,10,4,3,1,2
22,3.1812,4,4,4,1111,66700,4,36.917,135.302,9,10,4,2,1,2
23,3.2126,4,4,4,1111,66700,4,36.628,129.126,9,10,4,2,1,2
24,3.2444,4,4,4,1111,66700,4,36.422,130.351,10,10,4,3,1,2
25,3.2938,4,4,4,1111,66700,4,48.888,143.629,8,10,3,2,1,2
26,3.3120,4,4,4,1111,66700,4,36.040,128.590,9,10,4,2,1,2
27,3.3468,4,4,4,1111,66700,4,38.763,132.014,8,10,3,2,1,2
28,3.3826,4,4,4,1111,66700,4,38.490,136.042,8,10,3,2,1,2
29,3.4143,4,4,4,1111,66700,4,38.197,118.218,8,10,3,2,1,2
30,3.4413,4,4,4,1111,66700,4,33.440,127.074,10,10,4,3,1,2
31,3.4788,4,4,4,1111,66700,4,31.977,128.660,9,10,4,2,1,2
32,3.5080,4,4,4,1111,66700,4,32.015,123.209,9,11,3,3,1,2
33,3.5436,4,4,4,1111,66700,4,34.885,127.167,10,11,3,4,1,2
34,3.5795,4,4,4,1111,66700,4,35.023,135.945,9,11,3,3,1,2
35,3.6081,4,4,4,1111,66700,4,32.104,126.255,10,11,4,3,1,2
36,3.6439,4,4,4,1111,66700,4,35.038,133.706,11,12,4,3,2,2
37,3.6795,4,4,4,1111,66700,4,34.823,133.639,10,12,4,2,2,2
38,3.7082,4,4,4,1111,66700,4,32.118,126.193,12,12,4,4,2,2
39,3.7444,4,4,4,1111,66700,4,35.551,133.962,11,12,4,3,2,2
40,3.7819,4,4,4,1111,66700,4,36.748,135.769,10,12,4,2,2,2
41,3.8128,4,4,4,1111,66700,4,36.710,130.875,11,12,4,3,2,2
42,3.8449,4,4,4,1111,66700,4,36.989,133.353,10,12,4,2,2,2
43,3.8813,4,4,4,1111,66700,4,37.277,134.658,11,12,4,3,2,2
44,3.9132,4,4,4,1111,66700,4,36.971,128.975,10,12,3,3,2,2
45,3.9459,4,4,4,1111,66700,4,37.798,130.807,11,12,4,3,2,2
46,3.9810,4,4,4,1111,66700,4,36.961,131.032,12,12,4,4,2,2
47,4.0129,4,4,4,1111,66700,4,36.816,129.151,11,12,4,3,2,2
48,4.0401,4,4,4,1111,66700,4,32.111,124.638,10,13,3,2,3,2
49,4.0777,4,4,4,1111,66700,4,31.975,127.698,12,13,4,3,3,2
50,4.1085,4,4,4,1111,66700,4,32.213,124.990,12,13,4,3,3,2
51,4.1443,4,4,4,1111,66700,4,35.034,129.071,12,13,4,3,3,2
