batch_idx,t_mono,n_in_batch,n_real,n_active,active_mask,timeout_us,mux_batch,compute_ms,e2e_ms,total_dets,new_ids_cum,dets_cam0,dets_cam1,dets_cam2,dets_cam3,drops_cum,arrivals_cum
0,1.8273,1,1,4,1111,33300,4,1206.275,1248.505,0,0,0,0,0,0,0,58
1,1.8279,1,1,4,1111,33300,4,1165.002,1248.885,0,0,0,0,0,0,0,58
2,1.8280,1,1,4,1111,33300,4,1123.208,1248.289,0,0,0,0,0,0,0,58
3,1.8281,1,1,4,1111,33300,4,1081.409,1246.893,0,0,0,0,0,0,0,58
4,1.8281,1,1,4,1111,33300,4,1039.615,1245.453,0,0,0,0,0,0,0,58
5,1.8282,1,1,4,1111,33300,4,997.572,1219.759,1,1,1,0,0,0,0,58
6,1.8283,1,1,4,1111,33300,4,955.736,1187.905,0,1,0,0,0,0,0,58
7,1.8283,1,1,4,1111,33300,4,913.933,1156.021,0,1,0,0,0,0,0,58
8,1.8287,2,2,4,1111,33300,4,877.127,1123.848,0,1,0,0,0,0,0,58
9,1.8288,2,2,4,1111,33300,4,836.807,1082.061,0,1,0,0,0,0,0,58
10,1.8288,2,2,4,1111,33300,4,795.123,1039.558,0,1,0,0,0,0,0,58
11,1.8289,2,2,4,1111,33300,4,753.347,997.338,0,1,0,0,0,0,0,58
12,1.8290,2,2,4,1111,33300,4,716.888,955.743,0,1,0,0,0,0,0,58
13,1.8291,2,2,4,1111,33300,4,676.636,914.486,0,1,0,0,0,0,0,58
14,1.8292,2,2,4,1111,33300,4,636.093,877.621,0,1,0,0,0,0,0,58
15,1.8293,2,2,4,1111,33300,4,594.178,837.279,1,2,0,0,0,1,0,58
16,1.8293,2,2,4,1111,33300,4,557.417,795.586,1,2,0,0,0,1,0,58
17,1.8294,2,2,4,1111,33300,4,517.023,753.810,1,2,0,0,0,1,0,58
18,1.8295,2,2,4,1111,33300,4,475.303,717.353,1,2,0,0,0,1,0,58
19,1.8296,2,2,4,1111,33300,4,433.656,677.076,1,2,0,0,0,1,0,58
20,1.8297,2,2,4,1111,33300,4,397.664,636.549,1,2,0,0,0,1,0,58
21,1.8298,2,2,4,1111,33300,4,357.235,594.681,1,2,0,0,0,1,0,58
22,1.8299,2,2,4,1111,33300,4,315.564,557.103,1,2,0,0,0,1,0,58
23,1.8305,3,3,4,1111,33300,4,279.383,517.158,1,2,0,0,0,1,0,58
24,1.8306,2,2,4,1111,33300,4,239.122,366.566,1,2,0,0,0,1,0,58
25,1.8307,2,2,4,1111,33300,4,198.053,334.636,1,2,0,0,0,1,0,58
26,1.8307,2,2,4,1111,33300,4,156.391,302.672,1,2,0,0,0,1,0,58
27,1.8308,2,2,4,1111,33300,4,119.579,270.709,1,2,0,0,0,1,0,58
28,1.8309,2,2,4,1111,33300,4,78.313,238.767,1,2,0,0,0,1,0,58
29,1.8310,2,2,4,1111,33300,4,36.646,206.803,1,2,0,0,0,1,0,58
30,1.8523,2,2,4,1111,33300,4,16.118,196.087,1,2,0,0,0,1,0,70
31,1.8938,3,3,4,1111,33300,4,22.384,205.521,1,2,0,0,0,1,0,73
32,1.9343,3,3,4,1111,33300,4,22.290,127.105,1,2,0,0,0,1,0,76
33,1.9768,3,3,4,1111,33300,4,23.078,139.003,1,2,0,0,0,1,0,80
34,2.0182,3,3,4,1111,33300,4,22.514,179.198,1,2,0,0,0,1,0,83
35,2.0549,3,3,4,1111,33300,4,23.353,214.327,1,2,0,0,0,1,0,86
36,2.0943,3,3,4,1111,33300,4,22.336,251.931,1,2,0,0,0,1,0,90
37,2.1245,4,4,4,1111,33300,4,29.832,253.084,1,2,0,0,0,1,0,94
38,2.1551,4,4,4,1111,33300,4,28.367,243.072,1,2,0,0,0,1,0,98
39,2.1873,4,4,4,1111,33300,4,28.502,233.469,1,2,0,0,0,1,0,101
40,2.2577,4,4,4,1111,33300,4,66.854,262.008,1,2,0,0,0,1,0,111
41,2.2594,4,4,4,1111,33300,4,36.651,227.845,1,2,0,0,0,1,0,111
42,2.2858,4,4,4,1111,33300,4,30.957,213.760,1,2,0,0,0,1,0,113
43,2.3155,4,4,4,1111,33300,4,28.600,220.732,1,2,0,0,0,1,0,117
44,2.4050,4,4,4,1111,33300,4,86.087,278.254,1,2,0,0,0,1,0,126
45,2.4100,4,4,4,1111,33300,4,59.044,251.223,1,2,0,0,0,1,0,127
46,2.5334,4,4,4,1111,33300,4,150.388,342.545,1,2,0,0,0,1,0,139
47,2.5492,3,3,4,1111,33300,4,124.302,326.382,2,3,1,0,0,1,0,143
48,2.5946,3,3,4,1111,33300,4,127.893,339.806,1,3,0,0,0,1,0,148
49,2.6799,4,4,4,1111,33300,4,196.338,393.047,2,4,0,0,1,1,0,159
50,2.6992,4,4,4,1111,33300,4,187.861,380.236,2,4,0,0,1,1,0,161
51,2.7210,4,4,4,1111,33300,4,185.098,369.971,2,4,0,0,1,1,0,164
52,2.7273,4,4,4,1111,33300,4,151.991,319.197,2,4,0,0,1,1,0,165
53,2.7449,4,4,4,1111,33300,4,137.743,320.002,2,4,0,0,1,1,0,167
54,2.7511,4,4,4,1111,33300,4,111.800,284.289,2,4,0,0,1,1,0,168
55,2.8041,4,4,4,1111,33300,4,132.999,319.506,1,4,0,0,0,1,0,175
56,2.8059,4,4,4,1111,33300,4,102.735,265.402,1,4,0,0,0,1,0,175
57,2.8081,4,4,4,1111,33300,4,72.739,267.500,2,4,0,0,1,1,0,175
58,2.8719,4,4,4,1111,33300,4,104.593,296.630,1,4,0,0,0,1,0,183
59,2.8733,4,4,4,1111,33300,4,69.393,266.131,3,4,1,0,1,1,0,183
60,2.9290,4,4,4,1111,33300,4,97.547,289.726,2,4,1,0,0,1,0,191
61,2.9439,4,4,4,1111,33300,4,73.557,272.750,3,4,1,0,1,1,0,192
62,2.9516,4,4,4,1111,33300,4,56.186,248.422,2,4,1,0,0,1,0,193
63,2.9700,4,4,4,1111,33300,4,42.616,234.657,2,4,1,0,0,1,0,196
64,2.9876,4,4,4,1111,33300,4,28.071,220.215,2,4,1,0,0,1,0,197
65,3.0197,4,4,4,1111,33300,4,28.204,215.751,3,4,1,0,1,1,0,201
66,3.0879,4,4,4,1111,33300,4,64.353,256.456,2,4,1,0,0,1,0,210
67,3.0900,4,4,4,1111,33300,4,34.471,219.612,3,4,1,0,1,1,0,211
68,3.1160,4,4,4,1111,33300,4,28.503,220.547,2,4,1,0,0,1,0,213
69,3.1481,4,4,4,1111,33300,4,28.531,220.736,2,4,1,0,0,1,0,217
70,3.1800,4,4,4,1111,33300,4,28.404,220.459,2,4,1,0,0,1,0,221
71,3.2119,4,4,4,1111,33300,4,28.296,220.359,3,4,1,0,1,1,0,225
72,3.2441,4,4,4,1111,33300,4,28.437,220.470,2,4,1,0,0,1,0,229
73,3.2761,4,4,4,1111,33300,4,28.414,220.577,2,4,1,0,0,1,0,233
