batch_idx,t_mono,n_in_batch,n_real,n_active,active_mask,timeout_us,mux_batch,compute_ms,e2e_ms,total_dets,new_ids_cum,dets_cam0,dets_cam1,dets_cam2,dets_cam3,drops_cum,arrivals_cum
0,1.6994,1,1,4,1111,1000,4,1154.025,1154.115,0,0,0,0,0,0,0,58
1,1.7001,1,1,4,1111,1000,4,1150.311,1152.679,0,0,0,0,0,0,0,58
2,1.7002,1,1,4,1111,1000,4,1119.555,1120.736,0,0,0,0,0,0,0,58
3,1.7002,1,1,4,1111,1000,4,1087.577,1088.765,0,0,0,0,0,0,0,58
4,1.7003,1,1,4,1111,1000,4,1055.630,1056.817,0,0,0,0,0,0,0,58
5,1.7004,1,1,4,1111,1000,4,1023.716,1024.874,0,0,0,0,0,0,0,58
6,1.7004,1,1,4,1111,1000,4,991.760,992.928,0,0,0,0,0,0,0,58
7,1.7005,1,1,4,1111,1000,4,959.780,960.939,0,0,0,0,0,0,0,58
8,1.7006,1,1,4,1111,1000,4,927.844,929.000,0,0,0,0,0,0,0,58
9,1.7006,1,1,4,1111,1000,4,895.922,897.063,0,0,0,0,0,0,0,58
10,1.7007,1,1,4,1111,1000,4,863.958,865.099,0,0,0,0,0,0,0,58
11,1.7008,1,1,4,1111,1000,4,832.009,833.149,0,0,0,0,0,0,0,58
12,1.7008,1,1,4,1111,1000,4,800.059,801.196,0,0,0,0,0,0,0,58
13,1.7009,1,1,4,1111,1000,4,777.259,778.412,0,0,0,0,0,0,0,58
14,1.7010,1,1,4,1111,1000,4,768.089,769.302,0,0,0,0,0,0,0,58
15,1.7010,1,1,4,1111,1000,4,745.333,746.503,0,0,0,0,0,0,0,58
16,1.7011,1,1,4,1111,1000,4,736.253,737.433,0,0,0,0,0,0,0,58
17,1.7012,1,1,4,1111,1000,4,713.408,714.597,0,0,0,0,0,0,0,58
18,1.7013,1,1,4,1111,1000,4,704.427,705.620,0,0,0,0,0,0,0,58
19,1.7014,1,1,4,1111,1000,4,681.639,682.778,0,0,0,0,0,0,0,58
20,1.7014,1,1,4,1111,1000,4,672.528,673.705,0,0,0,0,0,0,0,58
