batch_idx,t_mono,n_in_batch,n_real,n_active,active_mask,timeout_us,mux_batch,compute_ms,e2e_ms,total_dets,new_ids_cum,dets_cam0,dets_cam1,dets_cam2,dets_cam3,drops_cum,arrivals_cum
0,1.7353,1,1,4,1111,33300,4,1156.715,1194.307,0,0,0,0,0,0,0,66
1,1.7358,1,1,4,1111,33300,4,1115.663,1188.868,0,0,0,0,0,0,0,66
2,1.7360,1,1,4,1111,33300,4,1073.883,1156.936,0,0,0,0,0,0,0,66
3,1.7360,1,1,4,1111,33300,4,1032.218,1124.954,0,0,0,0,0,0,0,66
4,1.7361,1,1,4,1111,33300,4,996.814,1093.002,0,0,0,0,0,0,0,66
5,1.7362,1,1,4,1111,33300,4,956.413,1029.057,0,0,0,0,0,0,0,66
6,1.7363,1,1,4,1111,33300,4,914.676,997.089,0,0,0,0,0,0,0,66
7,1.7363,1,1,4,1111,33300,4,872.978,965.151,0,0,0,0,0,0,0,66
8,1.7364,1,1,4,1111,33300,4,837.028,933.207,0,0,0,0,0,0,0,66
9,1.7365,1,1,4,1111,33300,4,796.804,869.254,0,0,0,0,0,0,0,66
10,1.7366,2,2,4,1111,33300,4,755.129,837.299,0,0,0,0,0,0,0,66
11,1.7367,2,2,4,1111,33300,4,718.295,805.411,0,0,0,0,0,0,0,67
12,1.7368,2,2,4,1111,33300,4,678.117,773.580,0,0,0,0,0,0,0,67
13,1.7369,2,2,4,1111,33300,4,637.122,718.738,0,0,0,0,0,0,0,67
14,1.7370,2,2,4,1111,33300,4,595.446,686.770,0,0,0,0,0,0,0,67
15,1.7371,2,2,4,1111,33300,4,558.628,654.799,0,0,0,0,0,0,0,67
16,1.7372,2,2,4,1111,33300,4,518.234,613.822,0,0,0,0,0,0,0,67
17,1.7373,2,2,4,1111,33300,4,477.374,558.885,1,1,0,0,0,1,0,67
18,1.7374,2,2,4,1111,33300,4,435.723,526.919,1,1,0,0,0,1,0,67
19,1.7375,2,2,4,1111,33300,4,398.837,494.939,1,1,0,0,0,1,0,67
20,1.7376,2,2,4,1111,33300,4,358.460,454.136,1,1,0,0,0,1,0,67
21,1.7377,2,2,4,1111,33300,4,316.819,399.114,1,1,0,0,0,1,0,67
22,1.7379,2,2,4,1111,33300,4,275.189,367.177,1,1,0,0,0,1,0,67
23,1.7380,2,2,4,1111,33300,4,239.822,335.242,1,1,0,0,0,1,0,67
24,1.7388,2,2,4,1111,33300,4,199.428,271.969,1,1,0,0,0,1,0,67
25,1.7389,2,2,4,1111,33300,4,157.801,240.039,1,1,0,0,0,1,0,67
26,1.7389,2,2,4,1111,33300,4,121.052,208.071,1,1,0,0,0,1,0,67
27,1.7390,2,2,4,1111,33300,4,80.779,176.119,1,1,0,0,0,1,0,67
28,1.7395,2,2,4,1111,33300,4,39.731,121.707,1,1,0,0,0,1,0,67
29,1.7526,2,2,4,1111,33300,4,15.800,102.771,1,1,0,0,0,1,0,70
30,1.7874,2,2,4,1111,33300,4,15.803,105.559,1,1,0,0,0,1,0,79
31,1.8412,3,3,4,1111,33300,4,31.058,127.335,1,1,0,0,0,1,0,83
32,1.8665,2,2,4,1111,33300,4,15.923,111.293,1,1,0,0,0,1,0,86
33,1.9141,3,3,4,1111,33300,4,22.261,104.039,1,1,0,0,0,1,0,90
34,1.9546,3,3,4,1111,33300,4,22.306,112.597,1,1,0,0,0,1,0,94
35,1.9924,3,3,4,1111,33300,4,22.198,118.346,1,1,0,0,0,1,0,98
36,2.0362,3,3,4,1111,33300,4,25.478,120.764,1,1,0,0,0,1,0,102
37,2.0741,3,3,4,1111,33300,4,22.029,118.134,1,1,0,0,0,1,0,106
38,2.1433,3,3,4,1111,33300,4,54.143,141.078,1,1,0,0,0,1,0,113
39,2.1470,4,4,4,1111,33300,4,40.107,112.707,1,1,0,0,0,1,0,113
40,2.1706,4,4,4,1111,33300,4,31.702,104.277,2,2,1,0,0,1,0,116
41,2.2023,3,3,4,1111,33300,4,22.144,103.985,0,2,0,0,0,0,0,120
42,2.2408,4,4,4,1111,33300,4,28.640,110.495,1,2,0,0,0,1,0,125
43,2.2766,4,4,4,1111,33300,4,32.213,114.209,1,2,0,0,0,1,0,130
44,2.3047,4,4,4,1111,33300,4,28.416,110.252,1,2,0,0,0,1,0,133
45,2.3368,4,4,4,1111,33300,4,28.449,110.296,1,2,0,0,0,1,0,137
46,2.3687,4,4,4,1111,33300,4,28.392,110.197,1,2,0,0,0,1,0,140
47,2.4006,4,4,4,1111,33300,4,28.339,110.124,1,2,0,0,0,1,0,142
48,2.4326,4,4,4,1111,33300,4,28.236,110.017,1,2,0,0,0,1,0,145
49,2.4573,2,2,4,1111,33300,4,15.881,85.099,1,2,0,0,0,1,0,148
50,2.5102,4,4,4,1111,33300,4,28.341,105.992,2,3,0,0,1,1,0,155
51,2.5422,4,4,4,1111,33300,4,28.337,106.003,2,3,0,0,1,1,0,159
52,2.5742,4,4,4,1111,33300,4,28.263,105.922,2,3,0,0,1,1,0,163
53,2.6063,4,4,4,1111,33300,4,28.384,106.002,3,3,1,0,1,1,0,167
54,2.6383,4,4,4,1111,33300,4,28.330,105.997,3,3,1,0,1,1,0,171
55,2.6704,4,4,4,1111,33300,4,28.348,106.058,3,3,1,0,1,1,0,175
56,2.7022,4,4,4,1111,33300,4,28.202,105.876,2,3,1,0,0,1,0,179
57,2.7343,4,4,4,1111,33300,4,28.244,105.945,2,3,1,0,0,1,0,183
58,2.7665,4,4,4,1111,33300,4,28.406,106.114,3,3,1,0,1,1,0,187
59,2.7984,4,4,4,1111,33300,4,28.241,105.957,2,3,1,0,0,1,0,191
