batch_idx,t_mono,n_in_batch,n_real,n_active,active_mask,timeout_us,mux_batch,compute_ms,e2e_ms,total_dets,new_ids_cum,dets_cam0,dets_cam1,dets_cam2,dets_cam3,drops_cum,arrivals_cum
0,1.6979,1,1,4,1111,33300,4,1160.151,1191.758,0,0,0,0,0,0,0,66
1,1.6984,1,1,4,1111,33300,4,1125.686,1190.043,0,0,0,0,0,0,0,66
2,1.6985,1,1,4,1111,33300,4,1083.861,1134.348,0,0,0,0,0,0,0,66
3,1.6986,1,1,4,1111,33300,4,1050.523,1105.328,0,0,0,0,0,0,0,66
4,1.6987,1,1,4,1111,33300,4,1017.178,1073.384,0,0,0,0,0,0,0,66
5,1.6987,1,1,4,1111,33300,4,983.851,1041.551,0,0,0,0,0,0,0,66
6,1.6988,1,1,4,1111,33300,4,950.531,1009.620,0,0,0,0,0,0,0,66
7,1.6989,1,1,4,1111,33300,4,917.211,977.693,0,0,0,0,0,0,0,66
8,1.6990,1,1,4,1111,33300,4,883.885,945.733,0,0,0,0,0,0,0,67
9,1.6990,1,1,4,1111,33300,4,850.547,913.789,0,0,0,0,0,0,0,67
10,1.6991,1,1,4,1111,33300,4,808.823,881.830,0,0,0,0,0,0,0,67
11,1.6992,1,1,4,1111,33300,4,767.086,817.828,0,0,0,0,0,0,0,67
12,1.6993,2,2,4,1111,33300,4,730.888,795.099,0,0,0,0,0,0,0,67
13,1.6994,2,2,4,1111,33300,4,690.564,763.172,0,0,0,0,0,0,0,67
14,1.6995,2,2,4,1111,33300,4,649.578,731.223,0,0,0,0,0,0,0,67
15,1.6996,2,2,4,1111,33300,4,607.879,690.193,0,0,0,0,0,0,0,67
16,1.6997,2,2,4,1111,33300,4,571.071,635.309,0,0,0,0,0,0,0,67
17,1.6998,2,2,4,1111,33300,4,530.628,603.364,0,0,0,0,0,0,0,67
18,1.6999,2,2,4,1111,33300,4,489.905,571.387,0,0,0,0,0,0,0,67
19,1.7004,2,2,4,1111,33300,4,448.611,530.845,1,1,0,0,0,1,0,67
20,1.7005,2,2,4,1111,33300,4,411.305,475.875,1,1,0,0,0,1,0,67
21,1.7006,2,2,4,1111,33300,4,371.352,443.923,1,1,0,0,0,1,0,67
22,1.7007,2,2,4,1111,33300,4,329.696,412.003,1,1,0,0,0,1,0,67
23,1.7008,1,1,4,1111,33300,4,287.941,348.003,1,1,0,0,0,1,0,67
24,1.7008,1,1,4,1111,33300,4,251.833,316.023,1,1,0,0,0,1,0,67
25,1.7009,2,2,4,1111,33300,4,210.067,284.085,1,1,0,0,0,1,0,67
26,1.7011,2,2,4,1111,33300,4,168.469,229.367,1,1,0,0,0,1,0,67
27,1.7012,2,2,4,1111,33300,4,133.202,197.444,1,1,0,0,0,1,0,67
28,1.7013,2,2,4,1111,33300,4,92.854,165.471,1,1,0,0,0,1,0,67
29,1.7014,2,2,4,1111,33300,4,51.841,133.523,1,1,0,0,0,1,0,67
30,1.7072,2,2,4,1111,33300,4,15.839,98.126,1,1,0,0,0,1,0,70
31,1.7414,2,2,4,1111,33300,4,15.940,77.453,1,1,0,0,0,1,0,76
32,1.8011,3,3,4,1111,33300,4,40.889,105.088,1,1,0,0,0,1,0,81
33,1.8240,2,2,4,1111,33300,4,23.345,96.029,1,1,0,0,0,1,0,83
34,1.8574,2,2,4,1111,33300,4,15.641,97.365,1,1,0,0,0,1,0,87
35,1.9048,3,3,4,1111,33300,4,22.373,103.435,1,1,0,0,0,1,0,91
36,1.9479,3,3,4,1111,33300,4,27.587,105.961,1,1,0,0,0,1,0,95
37,1.9959,3,3,4,1111,33300,4,35.154,107.732,1,1,0,0,0,1,0,100
38,2.0251,3,3,4,1111,33300,4,23.008,104.874,1,1,0,0,0,1,0,102
39,2.0613,3,3,4,1111,33300,4,22.124,99.751,1,1,0,0,0,1,0,107
40,2.1092,4,4,4,1111,33300,4,29.626,107.156,1,1,0,0,0,1,0,112
41,2.1493,4,4,4,1111,33300,4,28.346,100.942,1,1,0,0,0,1,0,116
42,2.1843,3,3,4,1111,33300,4,22.070,103.935,0,1,0,0,0,0,0,120
43,2.2225,4,4,4,1111,33300,4,28.275,110.090,1,1,0,0,0,1,0,125
44,2.2545,4,4,4,1111,33300,4,28.258,110.120,1,1,0,0,0,1,0,129
45,2.2865,4,4,4,1111,33300,4,28.211,110.032,1,1,0,0,0,1,0,133
46,2.3186,4,4,4,1111,33300,4,28.290,110.096,1,1,0,0,0,1,0,137
47,2.3508,4,4,4,1111,33300,4,28.398,110.211,1,1,0,0,0,1,0,140
