batch_idx,t_mono,n_in_batch,n_real,n_active,active_mask,timeout_us,mux_batch,compute_ms,e2e_ms,total_dets,new_ids_cum,dets_cam0,dets_cam1,dets_cam2,dets_cam3,drops_cum,arrivals_cum
0,1.7426,1,1,4,1111,33300,4,1169.269,1203.098,0,0,0,0,0,0,0,66
1,1.7432,1,1,4,1111,33300,4,1129.318,1199.192,0,0,0,0,0,0,0,66
2,1.7433,1,1,4,1111,33300,4,1087.588,1196.084,0,0,0,0,0,0,0,66
3,1.7434,1,1,4,1111,33300,4,1045.845,1170.178,0,0,0,0,0,0,0,66
4,1.7435,1,1,4,1111,33300,4,1010.004,1138.204,0,0,0,0,0,0,0,66
5,1.7436,1,1,4,1111,33300,4,969.648,1074.212,0,0,0,0,0,0,0,66
6,1.7436,1,1,4,1111,33300,4,927.972,1042.199,0,0,0,0,0,0,0,66
7,1.7437,1,1,4,1111,33300,4,886.286,1010.307,0,0,0,0,0,0,0,66
8,1.7437,1,1,4,1111,33300,4,850.206,978.363,0,0,0,0,0,0,0,66
9,1.7438,1,1,4,1111,33300,4,809.807,914.397,0,0,0,0,0,0,0,66
10,1.7446,2,2,4,1111,33300,4,768.859,883.190,0,0,0,0,0,0,0,67
11,1.7447,2,2,4,1111,33300,4,732.198,851.291,0,0,0,0,0,0,0,67
12,1.7448,2,2,4,1111,33300,4,691.815,819.341,0,0,0,0,0,0,0,67
13,1.7449,2,2,4,1111,33300,4,650.802,755.380,0,0,0,0,0,0,0,67
14,1.7450,2,2,4,1111,33300,4,609.080,723.366,0,0,0,0,0,0,0,67
15,1.7450,2,2,4,1111,33300,4,572.316,691.463,0,0,0,0,0,0,0,67
16,1.7451,2,2,4,1111,33300,4,531.949,659.528,0,0,0,0,0,0,0,67
17,1.7452,2,2,4,1111,33300,4,490.948,604.599,1,1,0,0,0,1,0,67
18,1.7453,2,2,4,1111,33300,4,449.281,572.646,1,1,0,0,0,1,0,67
19,1.7454,2,2,4,1111,33300,4,412.402,540.682,1,1,0,0,0,1,0,67
20,1.7455,2,2,4,1111,33300,4,372.032,499.752,1,1,0,0,0,1,0,67
21,1.7456,2,2,4,1111,33300,4,330.397,444.770,1,1,0,0,0,1,0,67
22,1.7457,2,2,4,1111,33300,4,288.633,412.821,1,1,0,0,0,1,0,67
23,1.7458,2,2,4,1111,33300,4,253.374,380.864,1,1,0,0,0,1,0,67
24,1.7462,2,2,4,1111,33300,4,212.563,317.167,1,1,0,0,0,1,0,67
25,1.7463,2,2,4,1111,33300,4,170.913,285.201,1,1,0,0,0,1,0,67
26,1.7463,2,2,4,1111,33300,4,134.218,253.276,1,1,0,0,0,1,0,67
27,1.7465,2,2,4,1111,33300,4,93.787,221.369,1,1,0,0,0,1,0,67
28,1.7467,2,2,4,1111,33300,4,52.864,157.497,1,1,0,0,0,1,0,67
29,1.7580,2,2,4,1111,33300,4,22.385,136.742,1,1,0,0,0,1,0,70
30,1.7925,2,2,4,1111,33300,4,22.325,139.230,1,1,0,0,0,1,0,77
31,1.8335,3,3,4,1111,33300,4,29.153,148.146,1,1,0,0,0,1,0,83
32,1.8794,3,3,4,1111,33300,4,34.650,161.999,1,1,0,0,0,1,0,88
33,1.9080,3,3,4,1111,33300,4,21.950,135.827,1,1,0,0,0,1,0,90
34,1.9490,3,3,4,1111,33300,4,22.405,144.776,1,1,0,0,0,1,0,94
35,1.9917,3,3,4,1111,33300,4,27.223,155.482,1,1,0,0,0,1,0,98
36,2.0272,3,3,4,1111,33300,4,22.236,149.569,1,1,0,0,0,1,0,101
37,2.0803,3,3,4,1111,33300,4,34.040,147.984,1,1,0,0,0,1,0,108
38,2.1051,3,3,4,1111,33300,4,21.731,140.656,1,1,0,0,0,1,0,110
39,2.1316,4,4,4,1111,33300,4,30.580,135.176,1,1,0,0,0,1,0,113
40,2.1614,4,4,4,1111,33300,4,28.350,132.973,2,2,1,0,0,1,0,116
41,2.1931,4,4,4,1111,33300,4,27.937,132.613,2,2,1,0,0,1,0,120
42,2.2344,4,4,4,1111,33300,4,28.022,141.932,1,2,0,0,0,1,0,125
43,2.2664,4,4,4,1111,33300,4,27.944,141.847,1,2,0,0,0,1,0,129
44,2.2984,4,4,4,1111,33300,4,27.890,141.749,1,2,0,0,0,1,0,133
45,2.3303,4,4,4,1111,33300,4,27.855,141.733,1,2,0,0,0,1,0,137
46,2.3625,4,4,4,1111,33300,4,27.955,141.842,1,2,0,0,0,1,0,140
47,2.3944,4,4,4,1111,33300,4,27.888,141.759,1,2,0,0,0,1,0,142
48,2.4266,4,4,4,1111,33300,4,28.105,141.923,1,2,0,0,0,1,0,145
49,2.4697,3,3,4,1111,33300,4,34.004,152.937,1,2,0,0,0,1,0,151
50,2.5042,4,4,4,1111,33300,4,28.061,137.802,2,3,0,0,1,1,0,155
51,2.5365,4,4,4,1111,33300,4,28.411,138.108,2,3,0,0,1,1,0,159
52,2.5684,4,4,4,1111,33300,4,28.262,137.962,2,3,0,0,1,1,0,163
53,2.6004,4,4,4,1111,33300,4,28.241,137.928,2,3,0,0,1,1,0,167
54,2.6327,4,4,4,1111,33300,4,28.499,138.198,3,3,1,0,1,1,0,171
55,2.7005,4,4,4,1111,33300,4,64.211,173.965,3,3,1,0,1,1,0,179
56,2.7019,4,4,4,1111,33300,4,33.645,143.352,2,3,1,0,0,1,0,180
57,2.7287,4,4,4,1111,33300,4,28.387,138.133,2,3,1,0,0,1,0,183
58,2.7607,4,4,4,1111,33300,4,28.293,138.115,3,3,1,0,1,1,0,187
59,2.7926,4,4,4,1111,33300,4,28.190,137.961,2,3,1,0,0,1,0,191
60,2.8247,4,4,4,1111,33300,4,28.271,138.016,3,3,1,0,1,1,0,195
61,2.8831,4,4,4,1111,33300,4,54.678,164.443,2,3,1,0,0,1,0,202
62,2.8926,4,4,4,1111,33300,4,32.147,141.930,3,3,1,0,1,1,0,203
63,2.9207,4,4,4,1111,33300,4,28.232,138.054,2,3,1,0,0,1,0,207
64,2.9530,4,4,4,1111,33300,4,28.520,138.331,2,3,1,0,0,1,0,211
65,3.0120,4,4,4,1111,33300,4,55.459,165.273,2,3,1,0,0,1,0,218
66,3.0208,4,4,4,1111,33300,4,32.158,142.038,3,3,1,0,1,1,0,219
67,3.0493,4,4,4,1111,33300,4,28.629,138.495,2,3,1,0,0,1,0,223
68,3.1172,4,4,4,1111,33300,4,64.493,174.406,3,3,1,0,1,1,0,231
69,3.1186,4,4,4,1111,33300,4,33.926,143.760,2,3,1,0,0,1,0,232
70,3.1444,4,4,4,1111,33300,4,27.814,137.598,2,3,1,0,0,1,0,235
71,3.1766,4,4,4,1111,33300,4,27.935,137.766,2,3,1,0,0,1,0,238
72,3.2089,4,4,4,1111,33300,4,28.189,137.999,3,3,1,0,1,1,0,241
73,3.2411,4,4,4,1111,33300,4,28.342,138.177,2,3,1,0,0,1,0,245
74,3.2732,4,4,4,1111,33300,4,28.339,138.236,2,3,1,0,0,1,0,249
75,3.3145,4,4,4,1111,33300,4,28.260,100.846,3,3,1,0,1,1,0,254
76,3.3469,4,4,4,1111,33300,4,28.568,101.210,4,4,1,1,1,1,0,258
77,3.3790,4,4,4,1111,33300,4,28.606,101.248,3,4,1,1,0,1,0,262
78,3.4110,4,4,4,1111,33300,4,28.610,101.170,3,4,1,1,0,1,0,266
79,3.4430,4,4,4,1111,33300,4,28.626,101.191,3,4,1,1,0,1,0,270
80,3.4750,4,4,4,1111,33300,4,28.548,101.126,3,4,1,1,0,1,0,274
81,3.5068,4,4,4,1111,33300,4,28.388,100.958,3,4,1,1,0,1,0,278
82,3.5390,4,4,4,1111,33300,4,28.459,101.075,3,4,1,1,0,1,0,281
83,3.5709,4,4,4,1111,33300,4,28.307,100.933,3,4,1,1,0,1,0,284
84,3.6053,3,3,4,1111,33300,4,22.066,103.364,2,4,1,1,0,0,0,288
85,3.6439,4,4,4,1111,33300,4,28.553,109.853,3,4,1,1,0,1,0,293
86,3.7100,4,4,4,1111,33300,4,62.614,143.980,4,5,1,1,1,1,0,301
87,3.7114,4,4,4,1111,33300,4,32.029,113.343,4,5,1,1,1,1,0,302
88,3.7394,4,4,4,1111,33300,4,27.930,109.222,4,5,1,1,1,1,0,305
89,3.7713,4,4,4,1111,33300,4,27.870,109.134,2,5,0,1,0,1,0,308
90,3.8034,4,4,4,1111,33300,4,27.901,109.185,3,5,0,1,1,1,0,310
91,3.8359,4,4,4,1111,33300,4,28.428,109.707,3,5,0,1,1,1,0,313
92,3.8731,2,2,4,1111,33300,4,28.223,97.807,1,5,0,0,0,1,0,318
93,3.9137,4,4,4,1111,33300,4,28.356,106.363,2,5,0,1,0,1,0,323
94,3.9458,4,4,4,1111,33300,4,28.428,106.424,2,5,0,1,0,1,0,327
