batch_idx,t_mono,n_in_batch,n_real,n_active,active_mask,timeout_us,mux_batch,compute_ms,e2e_ms,total_dets,new_ids_cum,dets_cam0,dets_cam1,dets_cam2,dets_cam3,drops_cum,arrivals_cum
0,1.6478,1,1,4,1111,1000,4,1169.439,1171.077,0,0,0,0,0,0,0,55
1,1.6484,1,1,4,1111,1000,4,1165.599,1170.114,0,0,0,0,0,0,0,55
2,1.6485,1,1,4,1111,1000,4,1163.502,1167.374,0,0,0,0,0,0,0,55
3,1.6486,1,1,4,1111,1000,4,1161.453,1165.249,0,0,0,0,0,0,0,55
4,1.6487,1,1,4,1111,1000,4,1150.715,1150.810,0,0,0,0,0,0,0,55
5,1.6488,1,1,4,1111,1000,4,1061.715,1118.900,1,1,1,0,0,0,0,55
6,1.6489,1,1,4,1111,1000,4,1033.868,1086.948,0,1,0,0,0,0,0,55
7,1.6490,1,1,4,1111,1000,4,955.464,1055.046,0,1,0,0,0,0,0,55
8,1.6490,1,1,4,1111,1000,4,953.365,1023.057,0,1,0,0,0,0,0,55
9,1.6491,1,1,4,1111,1000,4,946.385,991.105,0,1,0,0,0,0,0,55
10,1.6491,1,1,4,1111,1000,4,924.296,955.675,0,1,0,0,0,0,0,55
11,1.6492,1,1,4,1111,1000,4,867.176,927.191,0,1,0,0,0,0,0,55
12,1.6493,1,1,4,1111,1000,4,865.137,895.267,0,1,0,0,0,0,0,55
13,1.6493,1,1,4,1111,1000,4,827.150,863.297,0,1,0,0,0,0,0,55
14,1.6494,1,1,4,1111,1000,4,825.112,831.350,0,1,0,0,0,0,0,55
15,1.6495,1,1,4,1111,1000,4,799.308,799.385,0,1,0,0,0,0,0,55
16,1.6495,2,2,4,1111,1000,4,747.042,776.617,0,1,0,0,0,0,0,55
17,1.6496,1,1,4,1111,1000,4,743.500,744.671,0,1,0,0,0,0,0,55
18,1.6497,2,2,4,1111,1000,4,707.602,735.588,0,1,0,0,0,0,0,55
19,1.6498,1,1,4,1111,1000,4,703.552,703.625,0,1,0,0,0,0,0,55
20,1.6498,1,1,4,1111,1000,4,680.684,680.797,0,1,0,0,0,0,0,55
21,1.6499,2,2,4,1111,1000,4,629.113,671.765,0,1,0,0,0,0,0,55
22,1.6500,1,1,4,1111,1000,4,627.019,639.791,0,1,0,0,0,0,0,55
23,1.6501,1,1,4,1111,1000,4,615.398,616.892,0,1,0,0,0,0,0,55
24,1.6501,2,2,4,1111,1000,4,580.418,607.910,0,1,0,0,0,0,0,55
25,1.6502,2,2,4,1111,1000,4,522.785,575.973,1,2,0,0,0,1,0,55
26,1.6503,2,2,4,1111,1000,4,519.517,544.042,1,2,0,0,0,1,0,55
27,1.6504,1,1,4,1111,1000,4,488.974,489.072,1,2,0,0,0,1,0,55
28,1.6505,1,1,4,1111,1000,4,421.332,457.111,1,2,0,0,0,1,0,55
29,1.6506,1,1,4,1111,1000,4,419.241,425.141,1,2,0,0,0,1,0,55
30,1.6506,1,1,4,1111,1000,4,393.111,393.173,1,2,0,0,0,1,0,55
31,1.6507,1,1,4,1111,1000,4,361.130,361.196,1,2,0,0,0,1,0,55
32,1.6508,1,1,4,1111,1000,4,314.381,329.218,1,2,0,0,0,1,0,55
33,1.6508,1,1,4,1111,1000,4,297.134,297.243,1,2,0,0,0,1,0,55
34,1.6509,1,1,4,1111,1000,4,265.194,265.261,1,2,0,0,0,1,0,55
35,1.6516,2,2,4,1111,1000,4,194.610,233.890,1,2,0,0,0,1,0,55
36,1.6517,1,1,4,1111,1000,4,192.541,201.949,1,2,0,0,0,1,0,55
37,1.6517,1,1,4,1111,1000,4,179.047,179.152,0,2,0,0,0,0,0,55
38,1.6832,1,1,4,1111,1000,4,201.422,201.495,1,2,0,0,0,1,0,61
39,1.6866,1,1,4,1111,1000,4,181.900,181.990,0,2,0,0,0,0,0,61
40,1.6990,2,2,4,1111,1000,4,136.152,185.185,1,2,0,0,0,1,0,66
41,1.7005,1,1,4,1111,1000,4,135.500,154.670,1,2,0,0,0,1,0,66
42,1.7889,1,1,4,1111,1000,4,217.206,220.224,0,2,0,0,0,0,0,71
43,1.7977,1,1,4,1111,1000,4,197.752,219.841,1,2,0,0,0,1,0,73
44,1.8067,3,3,4,1111,1000,4,123.132,205.978,1,2,0,0,0,1,0,74
45,1.8113,3,3,4,1111,1000,4,124.136,178.531,1,2,0,0,0,1,0,75
46,1.9035,3,3,4,1111,1000,4,209.232,244.257,1,2,0,0,0,1,0,83
47,1.9129,3,3,4,1111,1000,4,191.115,225.711,1,2,0,0,0,1,0,84
48,1.9181,3,3,4,1111,1000,4,128.434,230.810,1,2,0,0,0,1,0,84
49,1.9340,3,3,4,1111,1000,4,135.745,246.758,1,2,0,0,0,1,0,86
50,1.9381,2,2,4,1111,1000,4,137.729,250.851,0,2,0,0,0,0,0,86
51,2.0249,3,3,4,1111,1000,4,188.448,246.175,1,2,0,0,0,1,0,95
