batch_idx,t_mono,n_in_batch,n_real,n_active,active_mask,timeout_us,mux_batch,compute_ms,e2e_ms,total_dets,new_ids_cum,dets_cam0,dets_cam1,dets_cam2,dets_cam3,drops_cum,arrivals_cum
0,1.6797,1,1,4,1111,66700,4,1163.594,1238.840,0,0,0,0,0,0,0,48
1,1.6802,1,1,4,1111,66700,4,1088.926,1238.936,0,0,0,0,0,0,0,48
2,1.6803,1,1,4,1111,66700,4,1013.789,1236.452,0,0,0,0,0,0,0,48
3,1.6804,1,1,4,1111,66700,4,938.667,1235.933,0,0,0,0,0,0,0,48
4,1.6805,1,1,4,1111,66700,4,863.500,1206.346,0,0,0,0,0,0,0,48
5,1.6812,2,2,4,1111,66700,4,791.356,1175.016,1,1,1,0,0,0,0,48
6,1.6813,2,2,4,1111,66700,4,716.329,1143.056,0,1,0,0,0,0,0,48
7,1.6813,2,2,4,1111,66700,4,641.212,1089.324,0,1,0,0,0,0,0,48
8,1.6814,2,2,4,1111,66700,4,566.104,1014.829,0,1,0,0,0,0,0,48
9,1.6815,2,2,4,1111,66700,4,490.989,939.709,0,1,0,0,0,0,0,48
10,1.6816,2,2,4,1111,66700,4,415.884,863.992,0,1,0,0,0,0,0,48
11,1.6816,2,2,4,1111,66700,4,340.752,791.866,0,1,0,0,0,0,0,48
12,1.6817,2,2,4,1111,66700,4,265.601,716.770,1,2,0,0,0,1,0,48
13,1.6827,3,3,4,1111,66700,4,193.345,642.519,1,2,0,0,0,1,0,48
14,1.6828,3,3,4,1111,66700,4,118.314,567.460,1,2,0,0,0,1,0,48
15,1.6829,3,3,4,1111,66700,4,43.240,492.375,1,2,0,0,0,1,0,48
16,1.7425,3,3,4,1111,66700,4,27.583,476.789,1,2,0,0,0,1,0,51
17,1.8236,3,3,4,1111,66700,4,33.419,482.660,1,2,0,0,0,1,0,54
18,1.8982,3,3,4,1111,66700,4,32.806,482.065,1,2,0,0,0,1,0,57
19,1.9681,3,3,4,1111,66700,4,27.460,478.769,1,2,0,0,0,1,0,60
20,2.0239,4,4,4,1111,66700,4,31.282,459.445,1,2,0,0,0,1,0,65
21,2.0537,4,4,4,1111,66700,4,29.066,414.016,1,2,0,0,0,1,0,69
22,2.0858,4,4,4,1111,66700,4,29.147,370.904,1,2,0,0,0,1,0,73
23,2.1229,4,4,4,1111,66700,4,34.217,332.702,1,2,0,0,0,1,0,80
24,2.1511,4,4,4,1111,66700,4,30.365,285.707,1,2,0,0,0,1,0,81
25,2.1817,4,4,4,1111,66700,4,28.954,241.052,1,2,0,0,0,1,0,85
26,2.2191,4,4,4,1111,66700,4,34.369,226.439,1,2,0,0,0,1,0,92
27,2.2471,4,4,4,1111,66700,4,30.256,222.447,2,2,1,0,0,1,0,93
28,2.2780,4,4,4,1111,66700,4,28.995,221.328,2,2,1,0,0,1,0,97
29,2.3096,4,4,4,1111,66700,4,28.806,220.883,2,2,1,0,0,1,0,100
30,2.3966,3,3,4,1111,66700,4,40.592,275.810,2,2,1,0,0,1,0,107
31,2.4074,4,4,4,1111,66700,4,30.469,254.555,2,3,0,0,1,1,0,108
32,2.4381,4,4,4,1111,66700,4,29.044,253.335,2,3,0,0,1,1,0,112
33,2.4773,4,4,4,1111,66700,4,36.134,260.342,2,3,0,0,1,1,0,119
34,2.5019,4,4,4,1111,66700,4,28.872,252.873,2,3,0,0,1,1,0,120
35,2.5338,4,4,4,1111,66700,4,28.781,253.067,2,3,0,0,1,1,0,124
36,2.5659,4,4,4,1111,66700,4,28.813,209.825,2,3,0,0,1,1,0,128
37,2.6052,4,4,4,1111,66700,4,36.043,228.266,1,3,0,0,0,1,0,135
38,2.6300,4,4,4,1111,66700,4,28.879,220.930,1,3,0,0,0,1,0,136
39,2.6621,4,4,4,1111,66700,4,28.880,220.820,2,3,0,0,1,1,0,140
40,2.7001,4,4,4,1111,66700,4,34.839,226.980,1,3,0,0,0,1,0,147
41,2.7263,4,4,4,1111,66700,4,29.031,221.222,2,3,0,0,1,1,0,148
42,2.7580,4,4,4,1111,66700,4,28.768,220.982,2,3,1,0,0,1,0,152
43,2.7901,4,4,4,1111,66700,4,28.799,220.883,3,3,1,0,1,1,0,156
44,2.8281,4,4,4,1111,66700,4,34.775,226.962,2,3,1,0,0,1,0,163
45,2.8551,4,4,4,1111,66700,4,29.714,221.861,2,3,1,0,0,1,0,164
46,2.8862,4,4,4,1111,66700,4,28.779,220.947,2,3,1,0,0,1,0,168
47,2.9242,4,4,4,1111,66700,4,34.807,226.938,3,3,1,0,1,1,0,175
48,2.9511,4,4,4,1111,66700,4,29.687,221.852,2,3,1,0,0,1,0,176
49,2.9823,4,4,4,1111,66700,4,28.842,221.054,3,3,1,0,1,1,0,180
50,3.0143,4,4,4,1111,66700,4,28.820,220.959,2,3,1,0,0,1,0,184
51,3.0537,4,4,4,1111,66700,4,36.193,228.328,2,3,1,0,0,1,0,191
52,3.0785,4,4,4,1111,66700,4,28.907,221.076,2,3,1,0,0,1,0,192
53,3.1106,4,4,4,1111,66700,4,28.947,221.119,3,3,1,0,1,1,0,196
54,3.1501,4,4,4,1111,66700,4,36.473,228.620,2,3,1,0,0,1,0,203
55,3.1747,4,4,4,1111,66700,4,28.987,221.188,2,3,1,0,0,1,0,204
56,3.2065,4,4,4,1111,66700,4,28.808,220.986,3,3,1,0,1,1,0,208
57,3.2386,4,4,4,1111,66700,4,28.920,221.094,3,3,1,0,1,1,0,212
58,3.2778,4,4,4,1111,66700,4,36.054,228.199,2,3,1,0,0,1,0,219
59,3.3027,4,4,4,1111,66700,4,28.965,221.090,2,3,1,0,0,1,0,220
60,3.3346,4,4,4,1111,66700,4,28.791,220.956,2,3,1,0,0,1,0,224
61,3.3739,4,4,4,1111,66700,4,36.108,228.162,2,3,1,0,0,1,0,231
62,3.3989,4,4,4,1111,66700,4,28.990,221.153,2,3,1,0,0,1,0,232
63,3.4310,4,4,4,1111,66700,4,29.105,221.314,2,3,1,0,0,1,0,236
64,3.4689,4,4,4,1111,66700,4,34.899,227.114,3,4,1,1,0,1,0,243
65,3.4950,4,4,4,1111,66700,4,28.951,221.198,3,4,1,1,0,1,0,244
66,3.5269,4,4,4,1111,66700,4,28.909,221.141,3,4,1,1,0,1,0,248
67,3.5588,4,4,4,1111,66700,4,28.853,220.996,4,5,1,1,1,1,0,252
68,3.5969,4,4,4,1111,66700,4,34.856,227.015,4,5,1,1,1,1,0,259
69,3.6237,4,4,4,1111,66700,4,29.755,221.810,4,5,1,1,1,1,0,260
70,3.6552,4,4,4,1111,66700,4,29.070,221.169,3,5,1,1,0,1,0,264
71,3.6933,4,4,4,1111,66700,4,35.063,227.238,4,5,1,1,1,1,0,271
72,3.7200,4,4,4,1111,66700,4,29.847,221.978,4,5,1,1,1,1,0,271
73,3.8022,3,3,4,1111,66700,4,36.731,272.216,3,5,1,1,0,1,0,278
74,3.8218,4,4,4,1111,66700,4,35.522,259.708,3,5,1,1,0,1,0,282
75,3.8486,4,4,4,1111,66700,4,30.275,254.592,3,5,1,1,0,1,0,283
76,3.8793,4,4,4,1111,66700,4,28.959,253.183,3,5,1,1,0,1,0,287
77,3.9113,4,4,4,1111,66700,4,28.964,253.051,2,5,0,1,0,1,0,291
78,3.9444,4,4,4,1111,66700,4,30.101,254.231,2,5,0,1,0,1,0,295
79,3.9753,4,4,4,1111,66700,4,28.909,209.802,2,5,0,1,0,1,0,299
80,4.0076,4,4,4,1111,66700,4,29.190,221.307,2,5,0,1,0,1,0,303
81,4.0408,4,4,4,1111,66700,4,30.366,222.489,2,5,0,1,0,1,0,307
82,4.0715,4,4,4,1111,66700,4,28.977,221.114,2,5,0,1,0,1,0,311
83,4.1036,4,4,4,1111,66700,4,29.121,221.296,2,5,0,1,0,1,0,315
84,4.1355,4,4,4,1111,66700,4,28.988,221.169,3,5,1,1,0,1,0,319
85,4.1675,4,4,4,1111,66700,4,28.945,221.080,3,5,1,1,0,1,0,323
86,4.1993,4,4,4,1111,66700,4,28.781,220.959,3,5,1,1,0,1,0,327
87,4.2316,4,4,4,1111,66700,4,29.022,221.097,4,5,1,1,1,1,0,331
88,4.2636,4,4,4,1111,66700,4,28.926,221.066,3,5,0,1,1,1,0,335
89,4.2955,4,4,4,1111,66700,4,28.824,220.978,3,5,1,1,0,1,0,339
90,4.3275,4,4,4,1111,66700,4,28.833,220.949,3,5,1,1,0,1,0,343
91,4.3595,4,4,4,1111,66700,4,28.870,220.998,3,5,1,1,0,1,0,347
92,4.3929,4,4,4,1111,66700,4,30.114,222.297,2,5,1,0,0,1,0,351
93,4.4238,4,4,4,1111,66700,4,29.018,221.253,1,5,0,0,0,1,0,355
94,4.4558,4,4,4,1111,66700,4,28.980,221.142,2,5,1,0,0,1,0,359
95,4.4939,4,4,4,1111,66700,4,34.992,227.177,2,5,1,0,0,1,0,366
