batch_idx,t_mono,n_in_batch,n_real,n_active,active_mask,timeout_us,mux_batch,compute_ms,e2e_ms,total_dets,new_ids_cum,dets_cam0,dets_cam1,dets_cam2,dets_cam3,drops_cum,arrivals_cum
0,1.6877,1,1,4,1111,33300,4,1167.033,1204.466,0,0,0,0,0,0,0,69
1,1.6883,1,1,4,1111,33300,4,1125.748,1202.261,0,0,0,0,0,0,0,69
2,1.6884,1,1,4,1111,33300,4,1091.801,1188.086,0,0,0,0,0,0,0,69
3,1.6884,1,1,4,1111,33300,4,1051.358,1124.032,0,0,0,0,0,0,0,69
4,1.6885,1,1,4,1111,33300,4,1009.678,1092.090,0,0,0,0,0,0,0,69
5,1.6886,1,1,4,1111,33300,4,967.950,1060.160,0,0,0,0,0,0,0,69
6,1.6887,1,1,4,1111,33300,4,932.086,1028.202,0,0,0,0,0,0,0,69
7,1.6887,1,1,4,1111,33300,4,891.691,964.243,0,0,0,0,0,0,0,69
8,1.6888,1,1,4,1111,33300,4,849.984,932.298,0,0,0,0,0,0,0,69
9,1.6889,1,1,4,1111,33300,4,813.277,900.350,0,0,0,0,0,0,0,69
10,1.6891,2,2,4,1111,33300,4,773.055,868.511,0,0,0,0,0,0,0,70
11,1.6892,2,2,4,1111,33300,4,732.062,804.542,0,0,0,0,0,0,0,70
12,1.6893,2,2,4,1111,33300,4,690.419,772.656,0,0,0,0,0,0,0,70
13,1.6894,2,2,4,1111,33300,4,653.679,740.736,0,0,0,0,0,0,0,70
14,1.6894,2,2,4,1111,33300,4,613.261,708.809,0,0,0,0,0,0,0,70
15,1.6900,2,2,4,1111,33300,4,572.742,654.397,0,0,0,0,0,0,0,70
16,1.6901,2,2,4,1111,33300,4,531.042,622.409,0,0,0,0,0,0,0,70
17,1.6902,2,2,4,1111,33300,4,494.235,590.459,1,1,0,0,0,1,0,70
18,1.6903,2,2,4,1111,33300,4,453.921,549.547,1,1,0,0,0,1,0,70
19,1.6904,2,2,4,1111,33300,4,413.083,494.559,1,1,0,0,0,1,0,70
20,1.6905,2,2,4,1111,33300,4,371.384,462.632,1,1,0,0,0,1,0,70
21,1.6906,2,2,4,1111,33300,4,334.496,430.723,1,1,0,0,0,1,0,70
22,1.6907,2,2,4,1111,33300,4,294.072,389.880,1,1,0,0,0,1,0,70
23,1.6908,1,1,4,1111,33300,4,252.356,334.776,1,1,0,0,0,1,0,70
24,1.6909,1,1,4,1111,33300,4,215.742,302.821,1,1,0,0,0,1,0,70
25,1.6916,2,2,4,1111,33300,4,175.940,271.454,1,1,0,0,0,1,0,70
26,1.6917,3,3,4,1111,33300,4,134.235,216.662,1,1,0,0,0,1,0,70
27,1.6918,2,2,4,1111,33300,4,92.568,184.725,1,1,0,0,0,1,0,70
28,1.6919,2,2,4,1111,33300,4,56.635,152.777,1,1,0,0,0,1,0,70
29,1.7016,2,2,4,1111,33300,4,25.934,121.258,1,1,0,0,0,1,0,73
30,1.7380,2,2,4,1111,33300,4,26.026,125.607,1,1,0,0,0,1,0,79
31,1.7766,3,3,4,1111,33300,4,27.586,109.388,1,1,0,0,0,1,0,82
32,1.8155,2,2,4,1111,33300,4,25.871,116.217,1,1,0,0,0,1,0,86
33,1.8550,3,3,4,1111,33300,4,27.524,123.704,1,1,0,0,0,1,0,89
34,1.9053,3,3,4,1111,33300,4,37.265,132.711,1,1,0,0,0,1,0,94
35,1.9562,3,3,4,1111,33300,4,46.896,128.814,1,1,0,0,0,1,0,99
36,1.9783,3,3,4,1111,33300,4,28.533,118.833,1,1,0,0,0,1,0,101
37,2.0152,3,3,4,1111,33300,4,27.508,123.715,1,1,0,0,0,1,0,105
38,2.0554,3,3,4,1111,33300,4,27.388,122.579,1,1,0,0,0,1,0,110
39,2.0903,4,4,4,1111,33300,4,30.197,125.448,1,1,0,0,0,1,0,113
40,2.1262,4,4,4,1111,33300,4,34.044,129.317,2,2,1,0,0,1,0,117
41,2.1537,4,4,4,1111,33300,4,29.481,124.796,2,2,1,0,0,1,0,120
42,2.1947,4,4,4,1111,33300,4,29.159,125.291,1,2,0,0,0,1,0,125
43,2.2267,4,4,4,1111,33300,4,29.124,125.292,1,2,0,0,0,1,0,129
44,2.2585,4,4,4,1111,33300,4,28.972,125.120,1,2,0,0,0,1,0,133
45,2.2909,4,4,4,1111,33300,4,29.239,125.460,1,2,0,0,0,1,0,137
46,2.3386,4,4,4,1111,33300,4,44.996,141.205,1,2,0,0,0,1,0,141
