batch_idx,t_mono,n_in_batch,n_real,n_active,active_mask,timeout_us,mux_batch,compute_ms,e2e_ms,total_dets,new_ids_cum,dets_cam0,dets_cam1,dets_cam2,dets_cam3
0,2.3074,1,1,4,1111,1000,4,1250.693,1252.115,0,0,0,0,0,0
1,2.3082,1,1,4,1111,1000,4,1239.696,1240.931,0,0,0,0,0,0
2,2.3084,1,1,4,1111,1000,4,1228.824,1230.136,0,0,0,0,0,0
3,2.3086,1,1,4,1111,1000,4,1192.880,1194.204,0,0,0,0,0,0
4,2.4101,3,3,4,1111,1000,4,100.159,779.280,0,0,0,0,0,0
5,2.4106,2,2,4,1111,1000,4,98.516,774.317,0,0,0,0,0,0
6,2.4110,2,2,4,1111,1000,4,97.089,761.203,0,0,0,0,0,0
7,2.4135,3,3,4,1111,1000,4,97.727,731.624,2,2,0,0,2,0
8,2.4313,1,1,4,1111,1000,4,19.264,111.563,2,2,0,0,2,0
9,2.4560,3,3,4,1111,1000,4,41.255,132.374,2,2,0,0,2,0
10,2.4745,2,2,4,1111,1000,4,56.628,60.441,5,5,0,3,2,0
11,2.4886,1,1,4,1111,1000,4,68.418,69.972,2,7,2,0,0,0
12,2.5575,3,3,4,1111,1000,4,124.608,136.719,6,7,2,2,2,0
13,2.5600,3,3,4,1111,1000,4,102.029,132.524,7,7,2,3,2,0
14,2.5633,3,3,4,1111,1000,4,86.979,105.558,7,7,2,3,2,0
15,2.5808,2,2,4,1111,1000,4,90.510,101.717,5,7,0,3,2,0
16,2.5918,1,1,4,1111,1000,4,31.075,101.206,2,7,2,0,0,0
17,2.6851,3,3,4,1111,1000,4,122.203,124.510,7,7,2,3,2,0
18,2.6859,1,1,4,1111,1000,4,118.986,121.018,2,7,0,0,2,0
19,2.6887,3,3,4,1111,1000,4,106.183,121.653,7,7,2,3,2,0
20,2.7261,2,2,4,1111,1000,4,132.724,144.826,5,7,2,3,0,0
21,2.7486,3,3,4,1111,1000,4,61.037,134.350,7,7,2,3,2,0
22,2.7632,3,3,4,1111,1000,4,72.443,75.798,7,7,2,3,2,0
23,2.7700,1,1,4,1111,1000,4,74.895,76.205,3,7,0,3,0,0
24,2.8515,4,4,4,1111,1000,4,80.562,155.456,7,7,2,3,2,0
25,2.8525,2,2,4,1111,1000,4,76.738,138.059,4,7,2,0,2,0
26,2.8532,2,2,4,1111,1000,4,75.067,102.362,5,7,0,3,2,0
27,2.8536,1,1,4,1111,1000,4,73.619,74.917,0,7,0,0,0,0
28,2.9729,4,4,4,1111,1000,4,120.058,191.006,7,7,2,3,2,0
29,2.9739,3,3,4,1111,1000,4,118.092,185.513,5,7,2,3,0,0
30,2.9768,4,4,4,1111,1000,4,119.385,122.978,6,7,2,2,2,0
31,2.9774,1,1,4,1111,1000,4,110.620,111.923,2,7,2,0,0,0
32,3.0723,3,3,4,1111,1000,4,97.215,203.563,8,10,0,3,2,3
33,3.0748,3,3,4,1111,1000,4,96.963,192.304,7,10,2,3,2,0
34,3.0757,2,2,4,1111,1000,4,95.210,98.009,5,10,0,0,2,3
35,3.0766,2,2,4,1111,1000,4,90.500,91.771,5,10,2,3,0,0
36,3.1563,4,4,4,1111,1000,4,81.613,167.650,10,10,2,3,2,3
37,3.1613,4,4,4,1111,1000,4,84.049,167.972,10,10,2,3,2,3
38,3.1639,2,2,4,1111,1000,4,83.563,86.927,5,10,2,0,0,3
39,3.1651,2,2,4,1111,1000,4,76.569,77.791,6,10,0,3,0,3
40,3.2296,3,3,4,1111,1000,4,71.179,140.556,7,10,2,3,2,0
41,3.2350,4,4,4,1111,1000,4,72.731,141.248,10,10,2,3,2,3
42,3.2360,1,1,4,1111,1000,4,70.381,76.208,2,10,0,0,2,0
43,3.2427,2,2,4,1111,1000,4,74.338,75.531,5,10,0,3,2,0
44,3.2822,3,3,4,1111,1000,4,50.474,110.249,8,10,2,3,0,3
45,3.2875,4,4,4,1111,1000,4,51.195,112.202,9,10,2,2,2,3
46,3.3129,3,3,4,1111,1000,4,73.489,129.949,7,10,2,0,2,3
47,3.3180,2,2,4,1111,1000,4,73.685,78.705,5,10,2,0,0,3
48,3.3391,2,2,4,1111,1000,4,54.755,93.729,5,10,0,3,2,0
49,3.3763,4,4,4,1111,1000,4,87.970,126.269,10,10,2,3,2,3
50,3.3785,3,3,4,1111,1000,4,63.172,88.929,7,10,2,0,2,3
51,3.4106,4,4,4,1111,1000,4,91.717,95.131,10,10,2,3,2,3
52,3.4118,2,2,4,1111,1000,4,63.510,64.969,5,10,0,0,2,3
53,3.4573,2,2,4,1111,1000,4,78.111,108.395,5,10,2,3,0,0
54,3.4584,2,2,4,1111,1000,4,76.590,79.096,5,10,0,3,2,0
55,3.4599,2,2,4,1111,1000,4,47.143,76.822,5,10,2,0,0,3
56,3.4609,1,1,4,1111,1000,4,45.340,46.654,2,10,2,0,0,0
