batch_idx,t_mono,n_in_batch,n_real,n_active,active_mask,timeout_us,mux_batch,compute_ms,e2e_ms,total_dets,new_ids_cum,dets_cam0,dets_cam1,dets_cam2,dets_cam3
0,2.2701,1,1,4,1111,66700,4,1197.503,1264.598,0,0,0,0,0,0
1,2.2713,1,1,4,1111,66700,4,1129.220,1255.054,0,0,0,0,0,0
2,2.2715,1,1,4,1111,66700,4,1061.311,1237.591,0,0,0,0,0,0
3,2.2717,1,1,4,1111,66700,4,993.833,1205.640,0,0,0,0,0,0
4,2.3827,3,3,4,1111,66700,4,43.770,762.392,0,0,0,0,0,0
5,2.4483,3,3,4,1111,66700,4,40.723,821.384,2,2,0,2,0,0
6,2.5173,3,3,4,1111,66700,4,40.733,883.509,2,2,0,2,0,0
7,2.5863,3,3,4,1111,66700,4,41.072,917.370,2,2,0,2,0,0
8,2.6397,3,3,4,1111,66700,4,25.512,255.151,2,2,0,2,0,0
9,2.7230,3,3,4,1111,66700,4,40.355,272.924,5,5,2,2,1,0
10,2.8526,4,4,4,1111,66700,4,127.768,333.538,5,5,2,2,1,0
11,2.8537,4,4,4,1111,66700,4,122.117,265.461,5,5,2,2,1,0
12,2.8572,4,4,4,1111,66700,4,106.544,215.744,5,6,1,2,2,0
13,2.8618,4,4,4,1111,66700,4,79.266,136.731,7,7,3,2,2,0
14,2.9382,4,4,4,1111,66700,4,80.027,83.294,6,7,2,2,2,0
15,2.9489,4,4,4,1111,66700,4,82.339,89.816,9,9,3,2,2,2
16,2.9550,4,4,4,1111,66700,4,73.235,87.675,10,10,4,2,2,2
17,2.9894,4,4,4,1111,66700,4,75.316,116.750,10,10,4,2,2,2
18,2.9910,4,4,4,1111,66700,4,44.872,50.549,9,10,3,2,2,2
19,3.0180,4,4,4,1111,66700,4,36.009,65.648,9,10,3,2,2,2
20,3.0462,4,4,4,1111,66700,4,32.309,80.510,9,10,3,2,2,2
21,3.0835,4,4,4,1111,66700,4,36.576,84.428,9,10,3,2,2,2
22,3.1306,4,4,4,1111,66700,4,48.576,99.371,9,10,3,2,2,2
23,3.1496,4,4,4,1111,66700,4,35.685,82.479,9,10,3,2,2,2
24,3.1784,4,4,4,1111,66700,4,32.506,79.376,9,10,3,2,2,2
25,3.2142,4,4,4,1111,66700,4,32.264,83.039,9,10,3,2,2,2
26,3.2455,4,4,4,1111,66700,4,30.680,79.179,9,10,3,2,2,2
27,3.2773,4,4,4,1111,66700,4,30.977,78.153,9,10,3,2,2,2
28,3.3134,4,4,4,1111,66700,4,31.402,82.353,9,10,3,2,2,2
29,3.3451,4,4,4,1111,66700,4,30.973,79.003,10,11,3,2,3,2
30,3.3809,4,4,4,1111,66700,4,30.932,81.916,10,11,3,2,3,2
31,3.4124,4,4,4,1111,66700,4,30.375,81.311,10,11,3,2,3,2
32,3.4452,4,4,4,1111,66700,4,31.316,79.989,10,11,3,2,3,2
33,3.4775,4,4,4,1111,66700,4,31.471,78.425,10,11,3,2,3,2
34,3.5140,4,4,4,1111,66700,4,32.024,82.978,10,11,3,2,3,2
35,3.5451,4,4,4,1111,66700,4,30.360,78.052,10,11,3,2,3,2
36,3.5774,4,4,4,1111,66700,4,31.531,78.315,10,11,3,2,3,2
37,3.6140,4,4,4,1111,66700,4,32.113,83.010,10,11,3,2,3,2
38,3.6463,4,4,4,1111,66700,4,31.388,79.094,10,11,3,2,3,2
39,3.6772,4,4,4,1111,66700,4,30.022,78.165,10,11,3,2,3,2
40,3.7132,4,4,4,1111,66700,4,31.235,82.070,9,11,3,2,2,2
41,3.7455,4,4,4,1111,66700,4,31.583,79.358,9,11,3,2,2,2
42,3.7779,4,4,4,1111,66700,4,31.356,78.678,10,11,3,2,3,2
43,3.8124,4,4,4,1111,66700,4,30.443,81.122,9,11,3,2,2,2
44,3.8453,4,4,4,1111,66700,4,31.309,78.942,10,11,3,2,3,2
45,3.8813,4,4,4,1111,66700,4,31.479,82.272,10,11,3,2,3,2
46,3.9132,4,4,4,1111,66700,4,31.303,82.144,10,11,3,2,3,2
47,3.9443,4,4,4,1111,66700,4,30.048,78.065,10,11,3,2,3,2
48,3.9803,4,4,4,1111,66700,4,30.367,80.963,10,11,3,2,3,2
49,4.0131,4,4,4,1111,66700,4,31.209,82.080,10,11,3,2,3,2
50,4.0453,4,4,4,1111,66700,4,31.171,79.033,10,11,3,2,3,2
51,4.0811,4,4,4,1111,66700,4,31.131,81.832,10,11,3,2,3,2
52,4.1121,4,4,4,1111,66700,4,30.102,80.958,10,11,3,2,3,2
53,4.1449,4,4,4,1111,66700,4,31.161,78.914,10,11,3,2,3,2
54,4.1811,4,4,4,1111,66700,4,31.230,81.872,10,11,3,2,3,2
55,4.2133,4,4,4,1111,66700,4,31.239,81.830,10,11,3,2,3,2
56,4.2444,4,4,4,1111,66700,4,30.132,77.057,9,11,3,2,2,2
57,4.2805,4,4,4,1111,66700,4,30.518,81.729,9,11,3,2,2,2
58,4.3131,4,4,4,1111,66700,4,31.304,81.695,10,11,3,2,3,2
59,4.3456,4,4,4,1111,66700,4,31.650,82.290,10,11,3,2,3,2
60,4.3808,4,4,4,1111,66700,4,30.991,81.585,10,11,3,2,3,2
61,4.4130,4,4,4,1111,66700,4,31.079,82.437,10,11,3,2,3,2
62,4.4453,4,4,4,1111,66700,4,31.402,79.185,10,11,3,2,3,2
63,4.4815,4,4,4,1111,66700,4,31.620,82.138,10,11,3,2,3,2
64,4.5132,4,4,4,1111,66700,4,30.822,81.744,10,11,3,2,3,2
65,4.5452,4,4,4,1111,66700,4,31.272,78.837,10,11,3,2,3,2
66,4.6225,4,4,4,1111,66700,4,72.163,123.657,10,11,3,2,3,2
67,4.6414,4,4,4,1111,66700,4,59.035,109.793,10,11,3,2,3,2
68,4.6719,4,4,4,1111,66700,4,57.821,104.201,10,11,3,2,3,2
69,4.6838,4,4,4,1111,66700,4,33.404,84.153,9,11,3,2,2,2
70,4.7213,4,4,4,1111,66700,4,38.772,89.678,9,11,3,2,2,2
71,4.7478,4,4,4,1111,66700,4,33.476,84.251,9,11,3,2,2,2
72,4.7815,4,4,4,1111,66700,4,31.444,81.581,9,11,3,2,2,2
73,4.8125,4,4,4,1111,66700,4,30.238,80.872,10,11,3,2,3,2
74,4.8451,4,4,4,1111,66700,4,31.302,78.458,9,11,3,2,2,2
75,4.8815,4,4,4,1111,66700,4,31.410,81.864,9,11,3,2,2,2
76,4.9135,4,4,4,1111,66700,4,31.212,81.778,9,11,3,2,2,2
77,4.9447,4,4,4,1111,66700,4,30.320,77.972,9,11,3,2,2,2
78,4.9771,4,4,4,1111,66700,4,31.192,77.882,10,11,3,2,3,2
79,5.0130,4,4,4,1111,66700,4,31.170,81.278,9,11,3,2,2,2
80,5.0444,4,4,4,1111,66700,4,30.505,77.723,9,11,3,2,2,2
81,5.0765,4,4,4,1111,66700,4,30.647,76.634,10,11,3,2,3,2
82,5.1458,4,4,4,1111,66700,4,46.509,111.076,10,11,3,2,3,2
83,5.1793,4,4,4,1111,66700,4,48.117,112.817,10,11,3,2,3,2
84,5.2050,4,4,4,1111,66700,4,41.692,99.660,10,11,3,2,3,2
85,5.2317,4,4,4,1111,66700,4,32.735,94.404,9,11,3,1,3,2
86,5.2615,4,4,4,1111,66700,4,30.460,92.053,10,11,3,2,3,2
87,5.2942,4,4,4,1111,66700,4,31.056,88.490,10,11,3,2,3,2
88,5.3300,4,4,4,1111,66700,4,31.027,93.085,9,11,3,2,2,2
89,5.3636,4,4,4,1111,66700,4,32.654,94.379,10,11,3,2,3,2
90,5.3967,4,4,4,1111,66700,4,32.512,91.785,9,11,3,2,2,2
91,5.4296,4,4,4,1111,66700,4,30.561,93.854,10,11,3,2,3,2
92,5.4621,4,4,4,1111,66700,4,31.114,95.140,10,11,3,2,3,2
93,5.4940,4,4,4,1111,66700,4,31.278,89.088,9,11,3,2,2,2
94,5.5325,4,4,4,1111,66700,4,33.297,95.525,9,11,3,2,2,2
95,5.5764,4,4,4,1111,66700,4,44.928,107.727,10,11,3,2,3,2
96,5.6193,4,4,4,1111,66700,4,51.959,117.061,10,11,3,2,3,2
97,5.6672,4,4,4,1111,66700,4,67.977,130.643,10,11,3,2,3,2
98,5.6696,4,4,4,1111,66700,4,38.245,101.527,10,11,3,2,3,2
99,5.6998,4,4,4,1111,66700,4,32.163,94.624,10,11,3,2,3,2
100,5.7330,4,4,4,1111,66700,4,32.583,95.292,10,11,3,2,3,2
101,5.7618,4,4,4,1111,66700,4,31.365,92.696,10,11,3,2,3,2
102,5.7986,4,4,4,1111,66700,4,31.230,95.350,10,11,3,2,3,2
103,5.8317,4,4,4,1111,66700,4,32.284,95.225,10,11,3,2,3,2
104,5.8647,4,4,4,1111,66700,4,32.447,98.607,10,11,3,2,3,2
105,5.8940,4,4,4,1111,66700,4,31.296,89.622,10,11,3,2,3,2
106,5.9300,4,4,4,1111,66700,4,31.288,94.906,10,11,3,2,3,2
107,5.9636,4,4,4,1111,66700,4,32.304,94.979,10,11,3,2,3,2
108,5.9966,4,4,4,1111,66700,4,32.352,91.922,10,11,3,2,3,2
109,6.0384,4,4,4,1111,66700,4,39.073,102.209,10,11,3,2,3,2
110,6.0731,4,4,4,1111,66700,4,41.438,106.079,10,11,3,2,3,2
111,6.1149,4,4,4,1111,66700,4,46.919,109.297,10,11,3,2,3,2
112,6.1345,4,4,4,1111,66700,4,34.941,97.788,10,11,3,2,3,2
113,6.1624,4,4,4,1111,66700,4,31.195,95.628,10,11,3,2,3,2
114,6.1958,4,4,4,1111,66700,4,32.458,91.184,10,11,3,2,3,2
115,6.2317,4,4,4,1111,66700,4,32.353,94.280,10,11,3,2,3,2
116,6.2686,4,4,4,1111,66700,4,31.212,102.507,11,12,3,3,3,2
117,6.3052,4,4,4,1111,66700,4,31.600,103.167,11,12,3,3,3,2
118,6.3375,4,4,4,1111,66700,4,31.465,103.171,11,12,3,3,3,2
119,6.3692,4,4,4,1111,66700,4,30.834,102.798,11,12,3,3,3,2
120,6.4042,4,4,4,1111,66700,4,30.726,101.798,11,12,3,3,3,2
121,6.4367,4,4,4,1111,66700,4,31.066,103.383,11,12,3,3,3,2
122,6.4689,4,4,4,1111,66700,4,31.115,102.444,11,12,3,3,3,2
123,6.5047,4,4,4,1111,66700,4,31.113,102.180,10,12,3,2,3,2
124,6.5368,4,4,4,1111,66700,4,31.007,102.505,10,12,3,2,3,2
125,6.5690,4,4,4,1111,66700,4,31.288,103.006,10,12,3,2,3,2
126,6.6047,4,4,4,1111,66700,4,31.039,102.768,10,12,3,2,3,2
127,6.6369,4,4,4,1111,66700,4,31.037,102.710,10,12,3,2,3,2
128,6.6688,4,4,4,1111,66700,4,31.037,102.169,10,12,3,2,3,2
129,6.7050,4,4,4,1111,66700,4,31.326,102.653,10,12,3,2,3,2
130,6.7373,4,4,4,1111,66700,4,31.274,103.003,10,12,3,2,3,2
131,6.7692,4,4,4,1111,66700,4,31.040,102.865,10,12,3,2,3,2
132,6.8316,3,3,4,1111,66700,4,24.586,129.216,7,12,3,2,0,2
133,6.8689,4,4,4,1111,66700,4,31.340,134.508,10,12,3,2,3,2
134,6.9016,4,4,4,1111,66700,4,31.878,134.948,10,12,3,2,3,2
135,6.9363,4,4,4,1111,66700,4,30.908,134.009,10,12,3,2,3,2
136,6.9692,4,4,4,1111,66700,4,31.476,134.654,10,12,3,2,3,2
137,7.0028,4,4,4,1111,66700,4,32.655,131.670,10,12,3,2,3,2
138,7.0400,4,4,4,1111,66700,4,32.896,136.137,10,12,3,2,3,2
139,7.0764,4,4,4,1111,66700,4,38.766,137.794,10,12,3,2,3,2
140,7.1035,4,4,4,1111,66700,4,32.378,131.673,10,12,3,2,3,2
141,7.1373,4,4,4,1111,66700,4,31.618,132.141,10,12,3,2,3,2
142,7.1944,4,4,4,1111,66700,4,31.241,150.590,10,12,3,2,3,2
143,7.2300,4,4,4,1111,66700,4,31.159,151.239,10,12,3,2,3,2
144,7.2626,4,4,4,1111,66700,4,31.604,156.057,10,12,3,2,3,2
145,7.2951,4,4,4,1111,66700,4,32.015,155.528,10,12,3,2,3,2
146,7.3299,4,4,4,1111,66700,4,31.231,133.144,10,12,3,2,3,2
147,7.3626,4,4,4,1111,66700,4,31.504,130.314,10,12,3,2,3,2
148,7.3951,4,4,4,1111,66700,4,31.651,130.548,10,12,3,2,3,2
149,7.4681,3,3,4,1111,66700,4,35.683,170.709,7,12,3,2,0,2
150,7.4915,4,4,4,1111,66700,4,54.078,159.337,10,12,3,2,3,2
151,7.5037,4,4,4,1111,66700,4,35.007,138.635,10,12,3,2,3,2
152,7.5364,4,4,4,1111,66700,4,31.600,139.313,10,12,3,2,3,2
153,7.5693,4,4,4,1111,66700,4,31.776,99.151,10,12,3,2,3,2
154,7.6018,4,4,4,1111,66700,4,31.847,108.421,10,12,3,2,3,2
155,7.6360,4,4,4,1111,66700,4,30.656,130.338,10,12,3,2,3,2
156,7.6686,4,4,4,1111,66700,4,31.473,130.060,10,12,3,2,3,2
157,7.7013,4,4,4,1111,66700,4,31.815,128.556,10,12,3,2,3,2
158,7.7371,4,4,4,1111,66700,4,31.455,132.953,10,12,3,2,3,2
159,7.7698,4,4,4,1111,66700,4,31.819,131.788,10,12,3,2,3,2
160,7.8000,4,4,4,1111,66700,4,30.742,129.245,10,12,3,2,3,2
161,7.8363,4,4,4,1111,66700,4,30.762,132.582,10,12,3,2,3,2
162,7.8690,4,4,4,1111,66700,4,31.254,129.624,10,12,3,2,3,2
163,7.9045,4,4,4,1111,66700,4,30.966,129.662,10,12,3,2,3,2
164,7.9371,4,4,4,1111,66700,4,31.846,134.834,10,12,3,2,3,2
165,7.9694,4,4,4,1111,66700,4,31.856,130.597,10,12,3,2,3,2
166,8.0380,3,3,4,1111,66700,4,32.176,166.542,7,12,3,2,0,2
167,8.0946,4,4,4,1111,66700,4,57.435,187.874,10,12,3,2,3,2
168,8.1270,4,4,4,1111,66700,4,57.343,188.227,10,12,3,2,3,2
169,8.1608,4,4,4,1111,66700,4,55.098,189.021,10,12,3,2,3,2
170,8.1849,4,4,4,1111,66700,4,47.021,143.768,10,12,3,2,3,2
171,8.2018,4,4,4,1111,66700,4,32.867,105.040,10,12,3,2,3,2
172,8.2372,4,4,4,1111,66700,4,30.904,107.544,10,12,3,2,3,2
173,8.2706,4,4,4,1111,66700,4,33.405,106.497,10,12,3,2,3,2
174,8.3008,4,4,4,1111,66700,4,31.358,113.635,10,12,3,2,3,2
175,8.3367,4,4,4,1111,66700,4,31.324,132.711,10,12,3,2,3,2
176,8.3704,4,4,4,1111,66700,4,32.954,130.484,10,12,3,2,3,2
177,8.4005,4,4,4,1111,66700,4,31.127,124.936,10,12,3,2,3,2
178,8.4365,4,4,4,1111,66700,4,31.072,133.392,10,12,3,2,3,2
179,8.4706,4,4,4,1111,66700,4,32.834,130.626,10,12,3,2,3,2
180,8.5082,4,4,4,1111,66700,4,39.247,133.113,10,12,3,2,3,2
181,8.5489,4,4,4,1111,66700,4,43.991,146.102,10,12,3,2,3,2
182,8.5709,4,4,4,1111,66700,4,33.154,132.111,10,12,3,2,3,2
183,8.6307,3,3,4,1111,66700,4,24.727,155.703,7,12,3,2,0,2
184,8.6682,4,4,4,1111,66700,4,31.275,157.295,10,12,3,2,3,2
185,8.7023,4,4,4,1111,66700,4,32.877,150.949,10,12,3,2,3,2
186,8.7385,4,4,4,1111,66700,4,31.350,165.225,10,12,3,2,3,2
187,8.7686,4,4,4,1111,66700,4,31.148,135.655,10,12,3,2,3,2
188,8.8027,4,4,4,1111,66700,4,33.267,132.115,10,12,3,2,3,2
189,8.8385,4,4,4,1111,66700,4,31.232,133.845,10,12,3,2,3,2
190,8.8695,4,4,4,1111,66700,4,31.813,126.111,10,12,3,2,3,2
191,8.9107,4,4,4,1111,66700,4,40.247,139.734,10,12,3,2,3,2
192,8.9387,4,4,4,1111,66700,4,32.876,133.736,10,12,3,2,3,2
193,8.9691,4,4,4,1111,66700,4,31.499,125.477,10,12,3,2,3,2
194,9.0033,4,4,4,1111,66700,4,33.205,131.362,10,12,3,2,3,2
195,9.0548,4,4,4,1111,66700,4,48.962,141.682,10,12,3,2,3,2
196,9.0708,4,4,4,1111,66700,4,33.020,127.268,10,12,3,2,3,2
197,9.1013,4,4,4,1111,66700,4,31.508,129.781,10,12,3,2,3,2
198,9.1372,4,4,4,1111,66700,4,31.209,130.462,10,12,3,2,3,2
199,9.1700,4,4,4,1111,66700,4,32.066,112.759,10,12,3,2,3,2
200,9.2319,3,3,4,1111,66700,4,25.048,156.095,7,12,3,2,0,2
201,9.2696,4,4,4,1111,66700,4,32.098,166.035,10,12,3,2,3,2
202,9.3028,4,4,4,1111,66700,4,32.322,163.309,9,12,3,2,2,2
203,9.3389,4,4,4,1111,66700,4,31.472,166.440,10,12,3,2,3,2
204,9.3742,4,4,4,1111,66700,4,36.361,140.121,10,12,3,2,3,2
205,9.4162,4,4,4,1111,66700,4,46.742,143.845,10,12,3,2,3,2
206,9.4426,4,4,4,1111,66700,4,36.622,137.495,10,12,3,2,3,2
207,9.4706,4,4,4,1111,66700,4,32.944,126.359,10,12,3,2,3,2
208,9.5083,4,4,4,1111,66700,4,38.566,131.519,10,12,3,2,3,2
209,9.5391,4,4,4,1111,66700,4,33.188,120.362,10,12,3,2,3,2
210,9.5682,4,4,4,1111,66700,4,30.932,123.302,10,12,3,2,3,2
211,9.6016,4,4,4,1111,66700,4,32.588,125.942,10,12,3,2,3,2
212,9.6373,4,4,4,1111,66700,4,31.375,125.505,10,12,3,2,3,2
213,9.6710,4,4,4,1111,66700,4,33.145,128.051,10,12,3,2,3,2
214,9.7083,4,4,4,1111,66700,4,32.633,137.830,10,12,3,2,3,2
215,9.7362,4,4,4,1111,66700,4,30.439,132.594,10,12,3,2,3,2
216,9.7700,4,4,4,1111,66700,4,32.253,130.890,10,12,3,2,3,2
217,9.8308,3,3,4,1111,66700,4,24.235,157.530,7,12,3,2,0,2
218,9.8678,4,4,4,1111,66700,4,30.291,156.027,9,12,3,2,2,2
219,9.9024,4,4,4,1111,66700,4,32.916,163.843,9,12,3,2,2,2
220,9.9350,4,4,4,1111,66700,4,33.392,163.214,9,12,3,2,2,2
221,9.9704,4,4,4,1111,66700,4,32.864,137.845,9,12,3,2,2,2
222,10.0001,4,4,4,1111,66700,4,30.777,129.789,9,12,3,2,2,2
223,10.0363,4,4,4,1111,66700,4,30.878,129.938,9,12,3,2,2,2
224,10.0701,4,4,4,1111,66700,4,32.698,131.767,9,12,3,2,2,2
225,10.1040,4,4,4,1111,66700,4,33.322,128.837,9,12,3,2,2,2
226,10.1382,4,4,4,1111,66700,4,32.412,135.899,9,12,3,2,2,2
227,10.1698,4,4,4,1111,66700,4,32.277,131.510,9,12,3,2,2,2
228,10.2004,4,4,4,1111,66700,4,31.182,128.028,9,12,3,2,2,2
229,10.2366,4,4,4,1111,66700,4,31.314,129.990,9,12,3,2,2,2
230,10.2705,4,4,4,1111,66700,4,32.852,128.090,9,12,3,2,2,2
231,10.3066,4,4,4,1111,66700,4,31.419,131.537,9,12,3,2,2,2
232,10.3330,4,4,4,1111,66700,4,31.744,130.415,9,12,3,2,2,2
233,10.3688,4,4,4,1111,66700,4,31.185,129.908,9,12,3,2,2,2
234,10.4311,3,3,4,1111,66700,4,24.584,158.218,7,12,3,2,0,2
235,10.4683,4,4,4,1111,66700,4,31.516,159.329,9,12,3,2,2,2
236,10.5033,4,4,4,1111,66700,4,33.569,167.979,9,12,3,2,2,2
237,10.5394,4,4,4,1111,66700,4,33.627,168.329,8,12,2,2,2,2
238,10.5684,4,4,4,1111,66700,4,30.637,135.114,9,13,3,2,2,2
239,10.6035,4,4,4,1111,66700,4,34.252,132.843,9,13,3,2,2,2
240,10.6389,4,4,4,1111,66700,4,34.021,132.295,9,13,3,2,2,2
241,10.6694,4,4,4,1111,66700,4,31.606,125.546,9,13,3,2,2,2
242,10.7064,4,4,4,1111,66700,4,36.123,135.612,9,13,3,2,2,2
