batch_idx,t_mono,n_in_batch,n_real,n_active,active_mask,timeout_us,mux_batch,compute_ms,e2e_ms,total_dets,new_ids_cum,dets_cam0,dets_cam1,dets_cam2,dets_cam3
0,2.2936,1,1,4,1111,33300,4,1249.748,1283.544,0,0,0,0,0,0
1,2.2946,1,1,4,1111,33300,4,1215.237,1275.002,0,0,0,0,0,0
2,2.2956,1,1,4,1111,33300,4,1181.905,1254.749,0,0,0,0,0,0
3,2.2970,1,1,4,1111,33300,4,1148.764,1223.229,0,0,0,0,0,0
4,2.4215,3,3,4,1111,33300,4,90.085,844.546,0,0,0,0,0,0
5,2.4221,3,3,4,1111,33300,4,55.631,840.742,1,1,1,0,0,0
6,2.4477,3,3,4,1111,33300,4,46.499,840.102,1,1,1,0,0,0
7,2.4883,3,3,4,1111,33300,4,36.387,848.899,1,1,1,0,0,0
8,2.6025,3,3,4,1111,33300,4,115.862,179.083,1,1,1,0,0,0
9,2.6072,3,3,4,1111,33300,4,85.674,180.099,1,1,1,0,0,0
10,2.6430,3,3,4,1111,33300,4,86.150,193.191,1,1,1,0,0,0
11,2.6507,3,3,4,1111,33300,4,58.452,159.170,1,1,1,0,0,0
12,2.6727,3,3,4,1111,33300,4,34.429,68.018,1,1,1,0,0,0
13,2.7401,3,3,4,1111,33300,4,63.844,130.638,3,3,1,1,0,1
14,2.7805,3,3,4,1111,33300,4,39.776,134.802,3,3,1,1,0,1
15,2.9251,4,4,4,1111,33300,4,143.917,272.640,3,3,1,1,0,1
16,2.9357,4,4,4,1111,33300,4,147.163,260.893,3,3,1,1,0,1
17,2.9450,4,4,4,1111,33300,4,151.616,203.042,3,3,1,1,0,1
18,2.9520,4,4,4,1111,33300,4,149.650,164.731,2,3,1,1,0,0
19,3.0377,4,4,4,1111,33300,4,107.068,110.536,2,3,1,1,0,0
20,3.0407,4,4,4,1111,33300,4,98.992,102.349,4,4,1,1,1,1
21,3.0427,4,4,4,1111,33300,4,90.124,93.023,4,4,1,1,1,1
22,3.0450,4,4,4,1111,33300,4,86.395,91.376,4,4,1,1,1,1
23,3.1835,4,4,4,1111,33300,4,139.484,143.432,4,4,1,1,1,1
24,3.1861,4,4,4,1111,33300,4,135.345,141.849,4,4,1,1,1,1
25,3.1905,4,4,4,1111,33300,4,132.859,138.208,4,4,1,1,1,1
26,3.1913,4,4,4,1111,33300,4,117.054,133.275,4,4,1,1,1,1
27,3.3039,4,4,4,1111,33300,4,114.501,117.239,3,4,1,1,1,0
28,3.3317,4,4,4,1111,33300,4,134.051,141.622,5,5,1,2,1,1
29,3.3368,4,4,4,1111,33300,4,133.258,138.549,4,5,1,2,1,0
30,3.3509,4,4,4,1111,33300,4,142.315,146.976,5,5,1,2,1,1
31,3.3632,4,4,4,1111,33300,4,53.903,57.108,5,5,1,2,1,1
32,3.4480,4,4,4,1111,33300,4,110.506,113.907,4,5,1,1,1,1
33,3.4499,4,4,4,1111,33300,4,104.533,110.953,5,5,1,2,1,1
34,3.4522,4,4,4,1111,33300,4,94.556,98.735,4,5,1,1,1,1
35,3.4551,4,4,4,1111,33300,4,80.834,90.135,4,5,1,1,1,1
36,3.5829,4,4,4,1111,33300,4,129.214,132.344,5,5,1,2,1,1
37,3.5947,4,4,4,1111,33300,4,132.745,140.124,5,5,1,2,1,1
38,3.5969,4,4,4,1111,33300,4,122.640,134.207,5,5,1,2,1,1
39,3.6063,4,4,4,1111,33300,4,98.965,135.147,5,5,1,2,1,1
40,3.6709,4,4,4,1111,33300,4,82.335,85.625,5,5,1,2,1,1
41,3.6732,4,4,4,1111,33300,4,72.009,75.319,5,5,1,2,1,1
42,3.6827,4,4,4,1111,33300,4,75.166,80.604,4,5,1,2,1,0
43,3.7465,4,4,4,1111,33300,4,103.587,135.036,4,5,1,2,1,0
44,3.7839,4,4,4,1111,33300,4,106.084,109.625,5,5,1,2,1,1
45,3.7934,4,4,4,1111,33300,4,85.901,114.843,5,5,1,2,1,1
46,3.8425,4,4,4,1111,33300,4,99.421,134.228,4,5,1,2,1,0
47,3.8472,4,4,4,1111,33300,4,72.234,97.120,5,5,1,2,1,1
48,3.8819,4,4,4,1111,33300,4,74.619,95.673,5,5,1,2,1,1
49,3.8841,4,4,4,1111,33300,4,41.137,80.373,5,5,1,2,1,1
